№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Электронная почта
1	Государственное бюджетное учреждение культуры города Москвы «Московский музыкально-драматический цыганский театр «Ромэн»	125040, г.Москва, Ленинградский пр-т, д.32/2	Северный АО	Беговой	125040, г.Москва, Ленинградский пр-т, д.32/2	(495) 612-03-33, (495) 614-80-79	(495) 614-80-79	teatr-romen.ru	morozov@teatr-romen.ru
2	Государственное бюджетное учреждение культуры города Москвы «Международный театрально-культурный центр Славы Полунина»	125009, г.Москва, Леонтьевский пер., д.21/1	Центральный АО	Пресненский	125009, г.Москва, Леонтьевский пер., д.21/1	(495) 609-00-21, (495) 768-21-26, (495) 694-38-68	(495) 694-38-68	slava-polunin.com	nskom@sias.ru
3	Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр под руководством Армена Джигарханяна»	119311, г.Москва, Ломоносовский пр-т, д.17	Юго-Западный АО	Гагаринский	119311, г.Москва, Ломоносовский пр-т, д.17	(495) 930-75-08, (499) 133-53-01, (495) 930-03-47, (495) 930-75-08	(495) 930-03-47	dzigartheater.ru	buhteatr@mail.ru
4	Государственное бюджетное учреждение культуры города Москвы «Московский театр «Киноспектакль»	123001, г.Москва, Малый Козихинский пер., д.4	Центральный АО	Пресненский	123001, г.Москва, Малый Козихинский пер., д.4	(495) 697-57-97	(495) 697-57-97	kinospektakl.ru	kinospektakl@mail.ru
5	Государственное бюджетное учреждение культуры города Москвы «Московский детский театр марионеток»	107078, г.Москва, Малый Харитоньевский пер., д.7 стр.2	Центральный АО	Басманный	107078, г.Москва, Малый Харитоньевский пер., д.7 стр.2	(495) 624-29-65	(495) 624-29-65	marionetki.ru	marionetki @mail.ru
6	Государственное бюджетное учреждение культуры города Москвы «Московский театр юного зрителя»	123001, г.Москва, Мамоновский пер., д.10	Центральный АО	Тверской	123001, г.Москва, Мамоновский пер., д.10	(495) 699-87-06, (495) 699-26-05	(495) 699-26-05	moscowtyz.ru	mtyz@mail.ru
7	Государственное бюджетное учреждение культуры города Москвы «Московский театр «Мастерская П.Н.Фоменко»	112165, г.Москва, наб. Шевченко Тараса, д.29	Западный АО	Дорогомилово	112165, г.Москва, Кутузовский пр-т, д.30/32	(495) 645-33-55, (495) 645-33-18	(499) 249-51-29	fomenko.theatre.ru	fomenko@theatre.ru
8	Государственное бюджетное учреждение культуры города Москвы «Московское театрально-концертное музыкальное объединение под руководством А.Градского»	103051, г.Москва, Петровский б-р, д.23	Центральный АО	Тверской	103051, г.Москва, Петровский б-р, д.23	(495) 629-74-61, (903) 661-39-30	(495) 629-04-14	maptype.com/object/4841	mtkmo@inbox.ru
9	Государственное бюджетное учреждение культуры города Москвы «Детский музыкально-драматический театр «А-Я»	107031, г.Москва, Петровский пер., д.5 стр.9	Центральный АО	Тверской	107031, г.Москва, Петровский пер., д.5 стр.9	(495) 621-30-47	(495) 621-30-47	a-ia.ru	teatraya@cumail.ru
10	Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр «АпАРТе»	125009, г.Москва, Тверской б-р, д.8 стр.1	Центральный АО	Пресненский	125009, г.Москва, Тверской б-р, д.8 стр.1	(495) 695-78-76, (495) 691-59-08	(495) 691-59-08	aparte.ru	aparte@mail.ru
11	Государственное бюджетное учреждение культуры города Москвы «Экспериментальный театральный центр новой драмы «Практика»	123001, г.Москва, Трехпрудный пер., д.11/13 стр.1	Центральный АО	Пресненский	123001, г.Москва, Трехпрудный пер., д.11/13 стр.1	(495) 258-55-65, (495) 699-44-92, (495) 699-44-73	(495) 694-44-73	praktikatheatre.ru	teh@praktikatheatre.ru
12	Государственное бюджетное учреждение культуры города Москвы «Московский академический театр сатиры»	125009, г.Москва, Триумфальная пл., д.2	Центральный АО	Тверской	125009, г.Москва, Триумфальная пл., д.2	(495) 699-64-93, (495) 699-47-54	(495) 699-94-83	satire.ru	info@satire.ru
13	Государственное бюджетное учреждение культуры города Москвы «Московский детский музыкальный театр под руководством Геннадия Чихачева»	109377, г.Москва, ул. 1-я Новокузьминская, д.1	Юго-Восточный АО	Рязанский	109377, г.Москва, ул. 1-я Новокузьминская, д.1	(495) 379-64-21	(495) 379-64-21	teatr-chikhachev.ru	dir-teatr@yandex.ru
14	Государственное бюджетное учреждение культуры города Москвы «Московский театр миниатюр»	125047, г.Москва, ул. 1-я Тверская-Ямская, д.16/23, стр.1	Центральный АО	Тверской	125047, г.Москва, ул. 1-я Тверская-Ямская, д.16	(499) 250-38-93, (499) 250-37-21, (499) 251-24-87	(499) 251-24-87	www.jvanetsky.ru	humorboss@mail.ru
