№ строки	Название	Адрес	Телефон	0_Электронная почта	Режим работы
1	Государственное казенное учреждение Дирекция ЖКХиБ ЮЗАО	г.Москва, ул.Гарибальди, д.14	8 (499) 132-58-33	dzuzao@mail.ru	пн.-чт. 08.00-17.00 (перерыв 12.00-12.45) , пт. 8.00-15.45 (перерыв 12.00-12.45) , сб., вс. - выходной
2	Филиал Государственное казенное учреждение Дирекция ЖКХиБ ЮЗАО	г.Москва, ул.Миклухо-Маклая, д.44	8 (495) 335-17-25	dzuzao@bk.ru; guisuzao@mail.ru	пн.-чт. 08.00-17.00 (перерыв 12.00-12.45) , пт. 8.00-15.45 (перерыв 12.00-12.45) , сб., вс. - выходной
3	ГБУ МФЦ ЮВАО	г.Москва, пр-д Завода Серп и Молот, д.10	(495) 531-00-80	rodina_ta@uvao.asueirc.ru	пн.-пт. 08.00-20.00, без перерыва, сб. 09.00-15.45,  вс.-выходной
4	Государственное казенное учреждение ""Дирекция ЖКХиБ ЮАО""	г.Москва, ул.Шипиловский проезд , д.43	(495) 343-21-22	gudezuao@mail.ru	пн.-чт. 09.00-18.00, пт. 09.00-16.45, без перерыва, сб.,вс. - выходной
5	Государственное казенное учреждение ""Дирекция ДЖКХиБ СЗАО""	ул.Туристская, д.16, корп.3	9480003@bk.ru	8(499)948-00-03	пн.-чт. 09.00-18.00, пт. 09.00-16.45, без перерыва, сб.,вс. - выходной
6	Государственное казенное учреждение ""Дирекция ЖКХиБ ЗелАО""	124365, г.Москва, г.Зеленоград, корп. 2022, н.п. IV	(499) 210-29-20	zel_guis@mail.ru	Государственное казенное учреждение ""Дирекция ЖКХиБ ЗелАО""
7	Филиал Государственное казенное учреждение ""Дирекция ЖКХиБ ЦАО""	119146, г. Москва, 2-я Фрунзенская ул.,д.7	8-495-609-12-24	guis-cao77@mail.ru	пн.-чт. 09.00-18.00, пт. 09.00-16.45, без перерыва, сб.,вс. - выходной
8	Государственное казенное учреждение ""Дирекция ЖКХиБ ЗАО""	119602, г. Москва, ул. Академика Анохина, д.6, кор. 5	8-499-739-96-87	gd-zao@mail.ru	Государственное казенное учреждение ""Дирекция ЖКХиБ ЗАО""
9	Государственное казенное учреждение Дирекция ЖКХиБ ЦАО	105066, г. Москва, ул.Н.Басманная,д.37	8-499-267-37-34	direkciacao@mail.ru	пн. 16.00-18.00
10	Филиал Государственное казенное учреждение ""Дирекция ЖКХиБ САО""	Москва, ул.Дубнинская, д.37 , корп.2	8 (499) 767-57-18	is200700@bk.ru	пн.-чт. 09.00-18.00, пт. 09.00-16.45, без перерыва, сб.,вс. - выходной
11	Дирекция ЖКХиБ САО	127434, г. Москва, Дмитровское шоссе д. 5	8(499)977-39 92	gendircom@list.ru	пн.-чт. 09.00-18.00, пт. 09.00-16.45, без перерыва, сб.,вс. - выходной
12	Филиал Государственное казенное учреждение Дирекция ЖКХиБ СВАО	Москва, пр.Шокальского, д.55, стр.3	8 496 619-92-80	zvbsvao@yandex.ru	пн.-чт. 09.00-18.00, пт. 09.00-16.45, без перерыва, сб.,вс. - выходной
13	Государственное казенное учреждение ""Дирекция ЖКХиБ СВАО""	127322, Москва, ул. Милашенкова, д. 14,	8 497 619-92-80	zvbsvao@yandex.ru	пн.-чт. 09.00-18.00, пт. 09.00-16.45, без перерыва, сб.,вс. - выходной
14	Государственное казенное учреждение ""Дирекция ЖКХиБ ВАО""	107023, г. Москва, ул. Буженинова, д.12	8 963-77-00	gku@dgkhb.ru	пн.-пт. 09.00-18.00, без  перерыва, сб., вс.-выходной
15	Филиал Государственное казенное учреждение ""Дирекция ЖКХиБ ВАО""	107076, г. Москва, Колодезный переулок, д.14/23, стр.1	8-499-748-00-64	guisvao@mail.ru	пн.-чт. 09.00-18.00, пт. 09.00-16.45, без перерыва, сб.,вс. - выходной
16	филиал Государственное казенное учреждение ""Дирекции ЖКХиБ ЗАО""	г.Москва, ул.Коштоянца, д.12	8-499-726-81-93	gvs@komhozzao.ru	пн.-пт. - приём населения осуществляется по предварительной записи
