№ строки	Название	Муниципальное образование
1	Сельское поселение Филимонковское	Сельское поселение Филимонковское
2	Сельское поселение Роговское	Сельское поселение Роговское
3	Городское поселение Московский	Городское поселение Московский
4	Городское поселение Киевский	Городское поселение Киевский
5	Сельское поселение Мосрентген	Сельское поселение Мосрентген
6	Сельское поселение Воскресенское	Сельское поселение Воскресенское
7	Сельское поселение Краснопахорское	Сельское поселение Краснопахорское
8	Сельское поселение Новофедоровское	Сельское поселение Новофедоровское
9	Городской округ Щербинка	Городской округ Щербинка
10	Городское поселение Кокошкино	Городское поселение Кокошкино
11	Сельское поселение Михайлово-Ярцевское	Сельское поселение Михайлово-Ярцевское
12	Сельское поселение Марушкинское	Сельское поселение Марушкинское
13	Сельское поселение Сосенское	Сельское поселение Сосенское
14	Сельское поселение Первомайское	Сельское поселение Первомайское
15	Сельское поселение Кленовское	Сельское поселение Кленовское
16	Сельское поселение Щаповское	Сельское поселение Щаповское
17	Сельское поселение Вороновское	Сельское поселение Вороновское
18	Муниципальный округ Савеловский	Муниципальный округ Савеловский
19	Муниципальный округ Аэропорт	Муниципальный округ Аэропорт
20	Муниципальный округ Дорогомилово	Муниципальный округ Дорогомилово
21	Муниципальный округ Нагатино-Садовники	Муниципальный округ Нагатино-Садовники
22	Муниципальный округ Царицыно	Муниципальный округ Царицыно
23	Муниципальный округ Ломоносовский	Муниципальный округ Ломоносовский
24	Муниципальный округ Бескудниковский	Муниципальный округ Бескудниковский
25	Муниципальный округ Бабушкинский	Муниципальный округ Бабушкинский
26	Муниципальный округ Свиблово	Муниципальный округ Свиблово
27	Муниципальный округ Коптево	Муниципальный округ Коптево
28	Муниципальный округ Замоскворечье	Муниципальный округ Замоскворечье
29	Муниципальный округ Преображенское	Муниципальный округ Преображенское
30	Муниципальный округ Головинский	Муниципальный округ Головинский
31	Муниципальный округ Войковский	Муниципальный округ Войковский
32	Муниципальный округ Зябликово	Муниципальный округ Зябликово
33	Муниципальный округ Гагаринский	Муниципальный округ Гагаринский
34	Муниципальный округ Хамовники	Муниципальный округ Хамовники
35	Муниципальный округ Фили-Давыдково	Муниципальный округ Фили-Давыдково
36	Муниципальный округ Раменки	Муниципальный округ Раменки
37	Муниципальный округ Черемушки	Муниципальный округ Черемушки
38	Муниципальный округ Филевский парк	Муниципальный округ Филевский парк
39	Муниципальный округ Марьино	Муниципальный округ Марьино
40	Муниципальный округ Обручевский	Муниципальный округ Обручевский
41	Муниципальный округ Южное Медведково	Муниципальный округ Южное Медведково
42	Сельское поселение Рязановское	Сельское поселение Рязановское
43	Сельское поселение Десеновское	Сельское поселение Десеновское
44	Муниципальный округ Новогиреево	Муниципальный округ Новогиреево
45	Сельское поселение Внуковское	Сельское поселение Внуковское
46	Муниципальный округ Академический	Муниципальный округ Академический
47	Городской округ Троицк	Городской округ Троицк
48	Муниципальный округ Мещанский	Муниципальный округ Мещанский
49	Муниципальный округ Якиманка	Муниципальный округ Якиманка
50	Муниципальный округ Южнопортовый	Муниципальный округ Южнопортовый
51	Муниципальный округ Марьина роща	Муниципальный округ Марьина роща
52	Муниципальный округ Измайлово	Муниципальный округ Измайлово
53	Муниципальный округ Печатники	Муниципальный округ Печатники
54	Муниципальный округ Бутырский	Муниципальный округ Бутырский
55	Муниципальный округ Беговой	Муниципальный округ Беговой
56	Муниципальный округ Даниловский	Муниципальный округ Даниловский
57	Муниципальный округ Нагатинский затон	Муниципальный округ Нагатинский затон
58	Муниципальный округ Москворечье-Сабурово	Муниципальный округ Москворечье-Сабурово
59	Муниципальный округ Нагорный	Муниципальный округ Нагорный
60	Муниципальный округ Южное Тушино	Муниципальный округ Южное Тушино
61	Муниципальный округ Покровское-Стрешнево	Муниципальный округ Покровское-Стрешнево
62	Муниципальный округ Донской	Муниципальный округ Донской
63	Муниципальный округ Таганский	Муниципальный округ Таганский
64	Муниципальный округ Щукино	Муниципальный округ Щукино
65	Муниципальный округ Нижегородский	Муниципальный округ Нижегородский
66	Муниципальный округ Чертаново Центральное	Муниципальный округ Чертаново Центральное
67	Муниципальный округ Сокол	Муниципальный округ Сокол
68	Муниципальный округ Орехово-Борисово Северное	Муниципальный округ Орехово-Борисово Северное
69	Муниципальный округ Хорошево-Мневники	Муниципальный округ Хорошево-Мневники
70	Муниципальный округ Арбат	Муниципальный округ Арбат
71	Муниципальный округ Зюзино	Муниципальный округ Зюзино
72	Муниципальный округ Чертаново Северное	Муниципальный округ Чертаново Северное
73	Муниципальный округ Коньково	Муниципальный округ Коньково
74	Муниципальный округ Красносельский	Муниципальный округ Красносельский
75	Муниципальный округ Котловка	Муниципальный округ Котловка
76	Муниципальный округ Рязанский	Муниципальный округ Рязанский
77	Муниципальный округ Вешняки	Муниципальный округ Вешняки
78	Муниципальный округ Ростокино	Муниципальный округ Ростокино
79	Муниципальный округ Богородское	Муниципальный округ Богородское
80	Муниципальный округ Перово	Муниципальный округ Перово
81	Муниципальный округ Текстильщики	Муниципальный округ Текстильщики
82	Муниципальный округ Отрадное	Муниципальный округ Отрадное
83	Муниципальный округ Восточное Дегунино	Муниципальный округ Восточное Дегунино
84	Муниципальный округ Басманный	Муниципальный округ Басманный
85	Муниципальный округ Марфино	Муниципальный округ Марфино
86	Муниципальный округ Тверской	Муниципальный округ Тверской
87	Муниципальный округ Проспект Вернадского	Муниципальный округ Проспект Вернадского
88	Муниципальный округ Останкинский	Муниципальный округ Останкинский
89	Муниципальный округ Тимирязевский	Муниципальный округ Тимирязевский
90	Муниципальный округ Соколиная гора	Муниципальный округ Соколиная гора
91	Муниципальный округ Лефортово	Муниципальный округ Лефортово
92	Муниципальный округ Пресненский	Муниципальный округ Пресненский
93	Муниципальный округ Хорошевский	Муниципальный округ Хорошевский
94	Муниципальный округ Кузьминки	Муниципальный округ Кузьминки
95	Муниципальный округ Алексеевский	Муниципальный округ Алексеевский
96	Муниципальный округ Сокольники	Муниципальный округ Сокольники
97	Муниципальный округ Алтуфьевский	Муниципальный округ Алтуфьевский
98	Муниципальный округ Капотня	Муниципальный округ Капотня
99	Муниципальный округ Северное Бутово	Муниципальный округ Северное Бутово
100	Муниципальный округ Чертаново Южное	Муниципальный округ Чертаново Южное
101	Муниципальный округ Бирюлево Западное	Муниципальный округ Бирюлево Западное
102	Муниципальный округ Косино-Ухтомский	Муниципальный округ Косино-Ухтомский
103	Муниципальный округ Новокосино	Муниципальный округ Новокосино
104	Муниципальный округ Братеево	Муниципальный округ Братеево
105	Муниципальный округ Выхино-Жулебино	Муниципальный округ Выхино-Жулебино
106	Муниципальный округ Кунцево	Муниципальный округ Можайский
107	Муниципальный округ Солнцево	Муниципальный округ Солнцево
108	Муниципальный округ Ново-Переделкино	Муниципальный округ Ново-Переделкино
109	Муниципальный округ Южное Бутово	Муниципальный округ Южное Бутово
110	Муниципальный округ Люблино	Муниципальный округ Люблино
111	Муниципальный округ Восточное Измайлово	Муниципальный округ Восточное Измайлово
112	Муниципальный округ Северное Измайлово	Муниципальный округ Северное Измайлово
113	Муниципальный округ Северный	Муниципальный округ Северный
114	Муниципальный округ Лосиноостровский	Муниципальный округ Лосиноостровский
115	Муниципальный округ Дмитровский	Муниципальный округ Дмитровский
116	Муниципальный округ Молжаниновский	Муниципальный округ Молжаниновский
117	Муниципальный округ Митино	Муниципальный округ Митино
118	Муниципальный округ Строгино	Муниципальный округ Строгино
119	Муниципальный округ Очаково-Матвеевское	Муниципальный округ Очаково-Матвеевское
120	Муниципальный округ Бибирево	Муниципальный округ Бибирево
121	Муниципальный округ Ясенево	Муниципальный округ Ясенево
122	Муниципальный округ Гольяново	Муниципальный округ Гольяново
123	Муниципальный округ Ивановское	Муниципальный округ Ивановское
124	Муниципальный округ Ярославский	Муниципальный округ Ярославский
125	Муниципальный округ Лианозово	Муниципальный округ Лианозово
126	Муниципальный округ Орехово-Борисово Южное	Муниципальный округ Орехово-Борисово Южное
127	Муниципальный округ Бирюлево Восточное	Муниципальный округ Бирюлево Восточное
128	Муниципальный округ Метрогородок	Муниципальный округ Метрогородок
129	Муниципальный округ Западное Дегунино	Муниципальный округ Западное Дегунино
130	Муниципальный округ Северное Медведково	Муниципальный округ Северное Медведково
131	Муниципальный округ Ховрино	Муниципальный округ Ховрино
132	Муниципальный округ Левобережный	Муниципальный округ Левобережный
133	Муниципальный округ Северное Тушино	Муниципальный округ Северное Тушино
134	Муниципальный округ Куркино	Муниципальный округ Куркино
135	Муниципальный округ Кунцево	Муниципальный округ Кунцево
136	Муниципальный округ Восточный	Муниципальный округ Восточный
137	Муниципальный округ Кунцево	Муниципальный округ Кунцево
138	Муниципальный округ Силино	Муниципальный округ Силино
139	Муниципальный округ Крюково	Муниципальный округ Крюково
140	Муниципальный округ Савелки	Муниципальный округ Савелки
141	Муниципальный округ Внуково	Муниципальный округ Внуково
142	Муниципальный округ Восточный	Муниципальный округ Восточный
143	Муниципальный округ Внуково	Муниципальный округ Внуково
144	Муниципальный округ Восточный	Муниципальный округ Восточный
145	Муниципальный округ Восточный	Муниципальный округ Восточный
146	Муниципальный округ Старое Крюково	Муниципальный округ Старое Крюково
147	Муниципальный округ Крылатское	Муниципальный округ Крылатское
148	Муниципальный округ Кунцево	Муниципальный округ Кунцево
149	Муниципальный округ Можайский	Муниципальный округ Можайский
150	Муниципальный округ Тропарево-Никулино	Муниципальный округ Тропарево-Никулино
151	Муниципальный округ Теплый Стан	Муниципальный округ Теплый Стан
152	Муниципальный округ Кунцево	Муниципальный округ Кунцево
153	Муниципальный округ Некрасовка	Муниципальный округ Некрасовка
154	Муниципальный округ Матушкино	Муниципальный округ Матушкино
155	Муниципальный округ Можайский	Муниципальный округ Можайский
