1_Номер;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;0_fax;0_site;0_email
1;Государственное бюджетное учреждение культуры города Москвы «Московский государственный культурный центр «Октябрь»                                                                                                                                            ;ГБУК г.Москвы «Московский государственный культурный центр «Октябрь»                                                                                                                                                                                          ;127055, г.Москва, ул. Новослободская, д.73 стр.1                                                                                                                                                                                                              ;-9235,693197;29808,2824;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Савеловский                                                                                                                                                                                                                                                   ;127055, г.Москва, ул. Новослободская, д.73 стр.1                                                                                                                                                                                                              ;(499) 973-17-27, (499) 973-11-40, (499) 978-99-14                                                                                                                                                                                                             ;(499) 973-19-18                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;mgkcoctober@mail.ru                                                                                                                                                                                                                                           
2;Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Стимул»                                                                                                                                                                            ;ГБУК г.Москвы «Дом культуры «Стимул»                                                                                                                                                                                                                          ;109029, г.Москва, Сибирский пр-д, д.2 стр.5                                                                                                                                                                                                                   ;11682,28572;7325,254559;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Таганский                                                                                                                                                                                                                                                     ;109029, г.Москва, Сибирский пр-д, д.2 стр.5                                                                                                                                                                                                                   ;(495) 670-94-96, (495) 670-47-10                                                                                                                                                                                                                              ;(495) 670-47-10                                                                                                                                                                                                                                               ;dkstimul.ru                                                                                                                                                                                                                                                   ;dkstimul@mail.ru                                                                                                                                                                                                                                              
3;Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Стимул»                                                                                                                                                                            ;ГБУК г.Москвы «Дом культуры «Стимул»                                                                                                                                                                                                                          ;109029, г.Москва, ул. Нижегородская, д.26 стр.1                                                                                                                                                                                                               ;11826,75949;7827,743398;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Таганский                                                                                                                                                                                                                                                     ;109029, г.Москва, Сибирский пр-д, д.2 стр.5                                                                                                                                                                                                                   ;(495) 670-94-96, (495) 670-47-10                                                                                                                                                                                                                              ;(495) 670-47-10                                                                                                                                                                                                                                               ;dkstimul.ru                                                                                                                                                                                                                                                   ;dkstimul@mail.ru                                                                                                                                                                                                                                              
4;Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Стимул»                                                                                                                                                                            ;ГБУК г.Москвы «Дом культуры «Стимул»                                                                                                                                                                                                                          ;109316, г.Москва, Волгоградский пр-т, д.7                                                                                                                                                                                                                     ;11023,66258;7207,791572;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Таганский                                                                                                                                                                                                                                                     ;109029, г.Москва, Сибирский пр-д, д.2 стр.5                                                                                                                                                                                                                   ;(495) 670-94-96, (495) 670-47-10                                                                                                                                                                                                                              ;(495) 670-47-10                                                                                                                                                                                                                                               ;dkstimul.ru                                                                                                                                                                                                                                                   ;dkstimul@mail.ru                                                                                                                                                                                                                                              
5;Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Молодежный»                                                                                                                                                                        ;ГБУК г.Москвы «Дом культуры «Молодежный»                                                                                                                                                                                                                      ;119034, г.Москва, Еропкинский пер., д.11                                                                                                                                                                                                                      ;5887,803713;8166,798951;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Хамовники                                                                                                                                                                                                                                                     ;119034, г.Москва, Еропкинский пер., д.11                                                                                                                                                                                                                      ;(495) 637-47-69, (495) 637-26-28                                                                                                                                                                                                                              ;(495) 637-26-28                                                                                                                                                                                                                                               ;molodezhnyj.ru                                                                                                                                                                                                                                                ;gkmol@rambler.ru                                                                                                                                                                                                                                              
6;Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Молодежный»                                                                                                                                                                        ;ГБУК г.Москвы «Дом культуры «Молодежный»                                                                                                                                                                                                                      ;119034, г.Москва, ул. Пречистенка, д.33/19 стр.1                                                                                                                                                                                                              ;5737,7275;8102,631821;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Хамовники                                                                                                                                                                                                                                                     ;119034, г.Москва, Еропкинский пер., д.11                                                                                                                                                                                                                      ;(495) 637-47-69, (495) 637-26-28                                                                                                                                                                                                                              ;(495) 637-26-28                                                                                                                                                                                                                                               ;molodezhnyj.ru                                                                                                                                                                                                                                                ;gkmol@rambler.ru                                                                                                                                                                                                                                              
7;Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Молодежный»                                                                                                                                                                        ;ГБУК г.Москвы «Дом культуры «Молодежный»                                                                                                                                                                                                                      ;119021, г.Москва, Фрунзенская наб., д.8                                                                                                                                                                                                                       ;6074,548925;7353,191398;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Хамовники                                                                                                                                                                                                                                                     ;119034, г.Москва, Еропкинский пер., д.11                                                                                                                                                                                                                      ;(495) 637-47-69, (495) 637-26-28                                                                                                                                                                                                                              ;(495) 637-26-28                                                                                                                                                                                                                                               ;molodezhnyj.ru                                                                                                                                                                                                                                                ;gkmol@rambler.ru                                                                                                                                                                                                                                              
8;Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Гайдаровец»                                                                                                                                                                        ;ГБУК г.Москвы «Дом культуры «Гайдаровец»                                                                                                                                                                                                                      ;103062, г.Москва, Лялин пер., д.11-13/1 стр.1                                                                                                                                                                                                                 ;9678,3376;10243,50462;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Басманный                                                                                                                                                                                                                                                     ;105064, г.Москва, Большой Казенный пер., д.8 стр.2                                                                                                                                                                                                            ;(495) 510-92-56                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dkgaydarovets.samomu.net                                                                                                                                                                                                                                      ;9179103@mail.ru                                                                                                                                                                                                                                               
9;Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Гайдаровец»                                                                                                                                                                        ;ГБУК г.Москвы «Дом культуры «Гайдаровец»                                                                                                                                                                                                                      ;"105064, г.Москва, Яковоапостольский пер.,
д.15 стр.1                                                                                                                                                                                                          ";9902,2876;10264,91071;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Басманный                                                                                                                                                                                                                                                     ;105064, г.Москва, Большой Казенный пер., д.8 стр.2                                                                                                                                                                                                            ;(495) 510-92-56                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dkgaydarovets.samomu.net                                                                                                                                                                                                                                      ;9179103@mail.ru                                                                                                                                                                                                                                               
10;Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Гайдаровец»                                                                                                                                                                        ;ГБУК г.Москвы «Дом культуры «Гайдаровец»                                                                                                                                                                                                                      ;105064, г.Москва, Большой Казенный пер., д.8 стр.2                                                                                                                                                                                                            ;9902,362294;10340,47503;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Басманный                                                                                                                                                                                                                                                     ;105064, г.Москва, Большой Казенный пер., д.8 стр.2                                                                                                                                                                                                            ;(495) 510-92-56                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dkgaydarovets.samomu.net                                                                                                                                                                                                                                      ;9179103@mail.ru                                                                                                                                                                                                                                               
