1_Номер;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
1;Государственное автономное учреждение культуры города Москвы «Центральный парк культуры и отдыха имени М.Горького»                                                                                                                                            ;ГАУК г.Москвы «Центральный парк культуры и отдыха имени М.Горького»                                                                                                                                                                                           ;119049, г.Москва, ул. Крымский вал, д.9                                                                                                                                                                                                                       ;37,603338;55,731411;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Якиманка                                                                                                                                                                                                                                                      ;119049, г.Москва, ул. Крымский вал, д.9                                                                                                                                                                                                                       ;(495) 237-11-00, (499) 237-11-00, (499) 237-35-24                                                                                                                                                                                                             ;(495) 237-35-24                                                                                                                                                                                                                                               ;gorkypark.info                                                                                                                                                                                                                                                ;cpko-gorky@mail.ru                                                                                                                                                                                                                                            
2;Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»                                                                                                                                                              ;ГАУК г.Москвы «Московский городской сад «Эрмитаж»                                                                                                                                                                                                             ;127006, г.Москва, ул. Каретный ряд, д.3                                                                                                                                                                                                                       ;37,609154;55,770802;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Тверской                                                                                                                                                                                                                                                      ;127006, г.Москва, ул. Каретный ряд, д.3 стр.7                                                                                                                                                                                                                 ;(495) 699-08-49, (495) 650-65-85                                                                                                                                                                                                                              ;(495) 699-43-79                                                                                                                                                                                                                                               ;mosgorsad.ru                                                                                                                                                                                                                                                  ;info@mosgorsad.ru                                                                                                                                                                                                                                             
3;Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Красная Пресня»                                                                                                                                                         ;ГАУК г.Москвы «Парк культуры и отдыха «Красная Пресня»                                                                                                                                                                                                        ;123100, г.Москва, ул. Мантулинская, д.5                                                                                                                                                                                                                       ;37,552642;55,754393;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Пресненский                                                                                                                                                                                                                                                   ;123100, г.Москва, ул. Мантулинская, д.5 стр.2                                                                                                                                                                                                                 ;(499) 256-33-42, (499) 256-23-06                                                                                                                                                                                                                              ;(499) 256-23-06                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;pkiokp@gmail.com                                                                                                                                                                                                                                              
4;Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Таганский»                                                                                                                                                              ;ГАУК г.Москвы «Парк культуры и отдыха «Таганский»                                                                                                                                                                                                             ;109147, г.Москва, ул. Таганская, д.40/42                                                                                                                                                                                                                      ;37,667749;55,737743;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Таганский                                                                                                                                                                                                                                                     ;109147, г.Москва, ул. Таганская, д.40-42                                                                                                                                                                                                                      ;(495) 912-27-17                                                                                                                                                                                                                                               ;(495) 912-27-17                                                                                                                                                                                                                                               ;parktaganskiy. ru                                                                                                                                                                                                                                             ;gpkiotag@mail.ru                                                                                                                                                                                                                                              
5;Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»                                                                                                                                                        ;ГАУК г.Москвы «Сад культуры и отдыха имени Н.Э.Баумана»                                                                                                                                                                                                       ;105064, г.Москва, ул. Старая Басманная, д.15                                                                                                                                                                                                                  ;37,6595;55,767217;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Басманный                                                                                                                                                                                                                                                     ;105064, г.Москва, ул. Старая Басманная, д.15                                                                                                                                                                                                                  ;(495) 261-58-83, (495) 265-11-05                                                                                                                                                                                                                              ;(495) 265-11-05                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;info@sbaumana.ru                                                                                                                                                                                                                                              
6;Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»                                                                                                                                                           ;ГАУК г.Москвы «Парк культуры и отдыха «Бабушкинский»                                                                                                                                                                                                          ;129327, г.Москва, ул. Менжинского, д.6                                                                                                                                                                                                                        ;37,683332;55,867631;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Бабушкинский                                                                                                                                                                                                                                                  ;129327, г.Москва, ул. Менжинского, д.6                                                                                                                                                                                                                        ;(495) 184-34-22, (495) 184-09-18                                                                                                                                                                                                                              ;(495) 184-34-22                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;babkapark@yandex.ru                                                                                                                                                                                                                                           
7;Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»                                                                                                                                                            ;ГАУК г.Москвы «Лианозовский парк культуры и отдыха»                                                                                                                                                                                                           ;127572, г.Москва, ул. Угличская, д.13                                                                                                                                                                                                                         ;37,570774;55,899862;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Лианозово                                                                                                                                                                                                                                                     ;127572, г.Москва, ул. Угличская, д.13                                                                                                                                                                                                                         ;(499) 908-35-00                                                                                                                                                                                                                                               ;(499) 908-35-00                                                                                                                                                                                                                                               ;lia-park.ru                                                                                                                                                                                                                                                   ;liapark@yandex.ru                                                                                                                                                                                                                                             
8;Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Сокольники»                                                                                                                                                             ;ГАУК г.Москвы «Парк культуры и отдыха «Сокольники»                                                                                                                                                                                                            ;107113, г.Москва, Сокольнический вал, д.1 стр.1                                                                                                                                                                                                               ;37,676525;55,794663;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Сокольники                                                                                                                                                                                                                                                    ;107113, г.Москва, Сокольнический вал, д.1 стр.1                                                                                                                                                                                                               ;(499) 268-54-30 , (499) 268-76-37                                                                                                                                                                                                                             ;(499) 268-76-37                                                                                                                                                                                                                                               ;park-sokolniki.ru                                                                                                                                                                                                                                             ;info@park.sokolniki.com                                                                                                                                                                                                                                       
9;Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Измайловский»                                                                                                                                                           ;ГАУК г.Москвы «Парк культуры и отдыха «Измайловский»                                                                                                                                                                                                          ;105187, г.Москва, Народный пр-т, д.17                                                                                                                                                                                                                         ;37,757528;55,77253;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Измайлово                                                                                                                                                                                                                                                     ;105187, г.Москва, Народный пр-т, д.17                                                                                                                                                                                                                         ;(499) 166-61-19, (495) 657-97-32                                                                                                                                                                                                                              ;(499) 657-97-32                                                                                                                                                                                                                                               ;izmailovsky-park.ru                                                                                                                                                                                                                                           ;izmpark@mail.ru                                                                                                                                                                                                                                               
10;Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»                                                                                                                                                               ;ГАУК г.Москвы «Перовский парк культуры и отдыха»                                                                                                                                                                                                              ;111141, г.Москва, ул. Лазо, вл.7                                                                                                                                                                                                                              ;37,774939;55,74049;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Перово                                                                                                                                                                                                                                                        ;111141, г.Москва, ул. Лазо, вл.7                                                                                                                                                                                                                              ;(495) 368-26-10                                                                                                                                                                                                                                               ;(495) 368-26-21                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;ppkio@mail.ru                                                                                                                                                                                                                                                 
