0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Руководитель;1_Телефон руководителя;1_Электронная почта руководителя;1_Режим работы;1_Площадь (кв.м);1_Направления деятельности
1;"Государственное бюджетное учреждение города Москвы ""Молодежный Центр ""Лидер""                                                                                                                                                                                  ";"Молодежный Центр ""Лидер""                                                                                                                                                                                                                                      ";Москва, Лермонтовский проспект д.2 к.2                                                                                                                                                                                                                        ;21786,65805;4080,313271;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Севалкин Игорь Юрьевич                                                                                                                                                                                                                                        ;(495)700-95-45                                                                                                                                                                                                                                                ;Junior.lider@mail.ru                                                                                                                                                                                                                                          ;Понедельник - воскресенье: 09.00-20.00                                                                                                                                                                                                                        ;1356;Гражданско-патриотическое воспитание молодежи, содействие формированию здорового образа жизни, развитие экстремальных видов спорта                                                                                                                            
2;"Государственное бюджетное учреждение города Москвы ""Центр молодежи ЮВАО ""Молодежное содружество""                                                                                                                                                              ";"Центр молодежи ЮВАО ""Молодежное содружество""                                                                                                                                                                                                                  ";Москва, Волгоградский прсопект д.145 к.2                                                                                                                                                                                                                      ;17538,26898;4195,483043;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Алексеев Александр Юрьевич                                                                                                                                                                                                                                    ;(499)722-69-90                                                                                                                                                                                                                                                ;info@msuvao.ru                                                                                                                                                                                                                                                ;Понедельник - пятница: 09.00-18.00                                                                                                                                                                                                                            ;385,8                                                                                                                                                                                                                                                         ;Информационно-коммуникативная деятельность, межрегиональное сотрудничество,  гражданско-патриотическое направление и развитие молодежного движения                                                                                                            
3;"Государственное бюджетное учреждение города Москвы ""Учебно-методический центр молодежно студенческих отрядов""                                                                                                                                                 ";Учебно-методический центр молодежно студенческих отрядов                                                                                                                                                                                                      ;Москва, ул. Таганрогская д.9 к.2                                                                                                                                                                                                                              ;16211,68649;1424,865833;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Сысоева Людмила Владиславовна                                                                                                                                                                                                                                 ;(495)350-09-55                                                                                                                                                                                                                                                ;office@mgshmso.ru                                                                                                                                                                                                                                             ;"Понедельник - четверг: 09.00-20.00; Пятница: 09.00-19.00; Суббота: 10.00-18.00                                                                                                                                                                                ";540,9                                                                                                                                                                                                                                                         ;Трудовое воспитание                                                                                                                                                                                                                                           
4;"Государственное бюджетное учреждение города Москвы ""Молодежный центр ""ПОТЕНЦИАЛ""                                                                                                                                                                              ";"Молодежный центр ""ПОТЕНЦИАЛ""                                                                                                                                                                                                                                  ";Москва, ул. Малая Черкизовская, д.22                                                                                                                                                                                                                          ;13725,0802;14943,69983;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Мейстер Вадим Юрьевич                                                                                                                                                                                                                                         ;(499)162-29-01                                                                                                                                                                                                                                                ;potential@dsmp.mos.ru                                                                                                                                                                                                                                         ;Понедельник - пятница: 09.00-18.00                                                                                                                                                                                                                            ;281,2                                                                                                                                                                                                                                                         ;Совершенствование системы профессиональной переподготовки молодых специалистов, содействие развитию молодежного предпринимательства, содействие трудоустройству молодых граждан, находящихся в трудной жизненной ситуации                                     
5;"Государственное бюджетное учреждение города Москвы ""Центр Досуга и Творчества Молодежи ""Россия""                                                                                                                                                               ";"Центр Досуга и Творчества Молодежи ""Россия""                                                                                                                                                                                                                   ";Москва, ул. Лазо, д. 12                                                                                                                                                                                                                                       ;17174,325;8494,501598;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Простомолотова Татьяна Владимировна                                                                                                                                                                                                                           ;(495)368-70-88, (495)306-47-20                                                                                                                                                                                                                                ;prostomolotova.tv@dsmp.mos.ru                                                                                                                                                                                                                                 ;Понедельник - воскресенье: 09.00-21.00                                                                                                                                                                                                                        ;площадь здания - 2184                                  площадь участка - 8668                                                                                                                                                                                 ;Реализация молодежной политики по оказанию поддержки  молодым инвалидам                                                                                                                                                                                       
6;"Государственное бюджетное учреждение города Москвы  Молодежный центр ""Созвездие""                                                                                                                                                                              ";" Молодежный центр ""Созвездие""                                                                                                                                                                                                                                 ";Москва, ул. Криворожская, дом 25А                                                                                                                                                                                                                             ;6945,8775;231,626909;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ; Таиров Сергей Алексеевич                                                                                                                                                                                                                                     ;(499)723-17-36                                                                                                                                                                                                                                                ;gu.sozvezdie@mail.ru                                                                                                                                                                                                                                          ;Понедельник - пятница: 09.00-20.00                                                                                                                                                                                                                            ;349,7                                                                                                                                                                                                                                                         ;Содействие самореализации личности и развитию молодежных инициатив, популяризация здорового образа жизни                                                                                                                                                      
7;"Государственное бюджетное учреждение города Москвы ""Московский молодежный центр ""Сетуньский стан""                                                                                                                                                             ";"Московский молодежный центр ""Сетуньский стан""                                                                                                                                                                                                                 ";Москва, 2-ой Сетуньский проезд, стр.5б                                                                                                                                                                                                                        ;2424,1666;7010,661882;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Слепнев Николай Сергеевич                                                                                                                                                                                                                                     ;(495)781-78-74                                                                                                                                                                                                                                                ;gbummcss@mail.ru                                                                                                                                                                                                                                              ;Понедельник - воскресенье: 09.00-23.00                                                                                                                                                                                                                        ;44100;Содействие развитию молодежной инициативы и молодежного общественного движения, вовлечение молодежи в социальную, культурную, экономическую и политическую  жизнь общества                                                                                    
8;"Государственное бюджетное учреждение города Москвы ""Центр социальной активности ""Молодые москвичи""                                                                                                                                                            ";"Центр социальной активности ""Молодые москвичи""                                                                                                                                                                                                                ";Москва, ул. Ельнинская, д.8                                                                                                                                                                                                                                   ;-4374,3722;7724,671;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Смирнов Сергей Витальевич                                                                                                                                                                                                                                     ;(499)141-07-30                                                                                                                                                                                                                                                ;gucsamm@gmail.com                                                                                                                                                                                                                                             ;Понедельник - пятница: 09.00-18.00                                                                                                                                                                                                                            ;580,2                                                                                                                                                                                                                                                         ;Вовлечение молодежи в социальную, культурную, экономическую и политическую жизнь общества, содействие становлению активной гражданской позиции молодежи                                                                                                       
9;"Государственное бюджетное учреждение города Москвы ""Многофункциональный центр «Молодежная республика»                                                                                                                                                         ";Многофункциональный центр «Молодежная республика»                                                                                                                                                                                                             ;Москва, Зеленоград, корпус 832, н.п. 5-7                                                                                                                                                                                                                      ;-20012,22473;35059,86408;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Зуева Тамара Энесовна                                                                                                                                                                                                                                         ;(499)729-74-68                                                                                                                                                                                                                                                ;zuach@mail.ru                                                                                                                                                                                                                                                 ;"Понедельник - суббота: 09.00-21.00; Воскресенье: 10.00-17.00                                                                                                                                                                                                  ";618,3                                                                                                                                                                                                                                                         ;Гражданско-патриотическое воспитание молодежи, воспитание транспортной культуры участников дорожного движения, содействие формированию здорового образа жизни                                                                                                 
10;"Государственное бюджетное учреждение города Москвы ""Многофункциональный центр «Молодежная республика»                                                                                                                                                         ";Многофункциональный центр «Молодежная республика»                                                                                                                                                                                                             ;Москва, Зеленоград, корпус 1209                                                                                                                                                                                                                               ;-18906,2419;36456,0663;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Зуева Тамара Энесовна                                                                                                                                                                                                                                         ;(499)729-74-68                                                                                                                                                                                                                                                ;zuach@mail.ru                                                                                                                                                                                                                                                 ;"Понедельник - суббота: 09.00-21.00; Воскресенье: 10.00-17.00                                                                                                                                                                                                  ";618,3                                                                                                                                                                                                                                                         ;Гражданско-патриотическое воспитание молодежи, воспитание транспортной культуры участников дорожного движения, содействие формированию здорового образа жизни                                                                                                 
