0_Код;1_Название;1_Адрес;1_Регистрационный знак;1_Допуск;1_Вид парка;1_Период действия талона-допуска на эксплуатацию
186;Аттракцион Wonder Flight;ГУК Измайловский ПКиО;1445-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
656;Паровозик;Сиреневый бульвар, дом 31;0844-77;Действующий, эксплуатация аттракциона разрешена;площадка;04.2013 - 10.2013
44;Аттракцион Мини-джет КАСКАД;ГУК Перовский ПКиО;01428-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
47;Аттракцион Фирменный поезд;ГУК Перовский ПКиО;0863-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
50;Аттракцион Прыгалка;ГУК Перовский ПКиО;01055-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
2590;Гусеница;Парк 850-летия Москвы;0637-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
150;Аттракцион Лодка бамперная Китенок;ГУК Перовский ПКиО;1525-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 11.2013
335;Мини-джет;проспект Андропова, дом 39;0858-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;07.2012 -07.2013
339;Дракон;проспект Андропова, дом 39;0908-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;07.2012 - 07.2013
2589;Вертолеты;Парк 850-летия Москвы;0328-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
2591;Колейдоскоп;Парк 850-летия Москвы;0879-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
226;Mini ruota panoramica;Большой Московский государственный цирк на проспекте Вернадского;0033-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
228;Marine Bay;Большой Московский государственный цирк на проспекте Вернадского;0034-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
232;Mini Scooter;Большой Московский государственный цирк на проспекте Вернадского;0031-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
441;Автодром;Парк Воронцовский;1489-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;08.2012 - 08.2013
1679;Поезд Деревенский;Парк Воронцовский ;1495 -77;Действующий, эксплуатация аттракциона разрешена;окружной парк;08.2012 - 08.2013
444;Горка Акула (Shark Trip);Парк Воронцовский;1499-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;08.2012 - 08.2013
367;Поезд Медвежонок;улица Щорса, дом 5;1485-77;Действующий, эксплуатация аттракциона разрешена;площадка;08.2012 - 08.2013
370;Карусель Манеж;улица Щорса, дом 5;1483-77;Действующий, эксплуатация аттракциона разрешена;площадка;08.2012 - 08.2013
2592;Каноэ;Парк 850-летия Москвы;0635-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 10.2013
2593;Мини-поезд;Парк 850-летия Москвы;0967-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
3215;Детский манеж;г. Зеленоград мкр. 15;01416-77;Действующий, эксплуатация аттракциона разрешена;площадка;05.2013 - 05.2014
3216;Автодром;г. Зеленоград мкр. 15;1415-77;Действующий, эксплуатация аттракциона разрешена;площадка;05.2013 - 05.2014
3217;Большая цепочная карусель;г Зеленоград мкр 15;01414-77;Действующий, эксплуатация аттракциона разрешена;площадка;05.2013 - 05.2014
197;Merry go round;ВВЦ;1467-77;Действующий, эксплуатация аттракциона разрешена;Площадка;07.2012 - 07.2013
200;Формула Пакс;ВВЦ;1321-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
203;Мини-джет;ВВЦ;0762-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 05.2014
206;Crazy Dance;ВВЦ;1539-77;Действующий, эксплуатация аттракциона разрешена;Площадка;10.2012 - 10.2013
209;Космос;ВВЦ;0094-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
212;Mini Tug;ВВЦ;01345-77;Действующий, эксплуатация аттракциона разрешена;Площадка;07.2012 - 07.2013
216;Карусель цепочная SWIG RIDE;ВВЦ;0146-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
2910;Детсакая цепочка;улица Клинская дом 2;1438-77;Действующий, эксплуатация аттракциона разрешена;окружной парк;05.2012 - 05.2013
223;Катальная гора City Jet;ВВЦ;0201-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
393;Падающая звезда;Новопесчаная улица дом 12;01147-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
396;"Качалка ""Дракон""";Новопесчаная улица дом 12;0983-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
