1_Номер;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Телефон;1_Электронная почта;0_moddate;0_moduser
1;"Московское государственное унитарное предприятие ""Мосводоканал""                                                                                                                                                                                               ";                                                                                                                                                                                                                                                              ;Плетешковский переулок, дом 2                                                                                                                                                                                                                                 ;11039,48705;11619,746;0;                                                                                                                                                                                                                                                              ;Плетешковский переулок                                                                                                                                                                                                                                        ;2;                                                                                                                                                                                                                                                              ;8(499) 763 34 34  (круглосуточно)                                                                                                                                                                                                                             ;www.mosvodokanal.ru                                                                                                                                                                                                                                           ;12:00:00 AM;                                                                                                    
3;"Государственное унитарное предприятие города Москвы  по техническому обеспечению дорожного хозяйства и  благоустройства ""ДОРИНВЕСТ""                                                                                                                           ";                                                                                                                                                                                                                                                              ;2-я Тверская-Ямская, дом 2                                                                                                                                                                                                                                    ;6173,477135;11546,32505;0;                                                                                                                                                                                                                                                              ;2-я Тверская-Ямская                                                                                                                                                                                                                                           ;2;                                                                                                                                                                                                                                                              ;8(499) 250-06-30                                                                                                                                                                                                                                              ;www.dorinvest.ru                                                                                                                                                                                                                                              ;12:00:00 AM;                                                                                                    
4;"Государственное унитарное предприятие ""Москоллектор""                                                                                                                                                                                                          ";                                                                                                                                                                                                                                                              ;1-й Коптельский переулок,  дом 14-16, строение 4                                                                                                                                                                                                              ;8834,017078;11922,2432;0;                                                                                                                                                                                                                                                              ;1-й Коптельский переулок                                                                                                                                                                                                                                      ;14-16                                                                                                                                                                                                                                                         ;4;8(499) 975-30-34                                                                                                                                                                                                                                              ;www.moscollector.ru                                                                                                                                                                                                                                           ;12:00:00 AM;                                                                                                    
5;"Государственное бюджетное учреждение по эксплуатации и ремонту инженерных сооружений ""ГОРМОСТ""                                                                                                                                                                ";                                                                                                                                                                                                                                                              ;Верхний Золоторожский переулок, дом 5, корп. 3                                                                                                                                                                                                                ;11485,6857;9292,937645;0;                                                                                                                                                                                                                                                              ;Верхний Золоторожский переулок                                                                                                                                                                                                                                ;5;3;8(495) 632-58-03                                                                                                                                                                                                                                              ;gormost@mcn.ru                                                                                                                                                                                                                                                ;12:00:00 AM;                                                                                                    
6;"Государственное казенное учреждение ""Экспертавтодор""                                                                                                                                                                                                          ";                                                                                                                                                                                                                                                              ;Авиамоторная, дом 6                                                                                                                                                                                                                                           ;13561,39731;10188,3068;0;                                                                                                                                                                                                                                                              ;Авиамоторная                                                                                                                                                                                                                                                  ;6;                                                                                                                                                                                                                                                              ;8(495) 632-58-85                                                                                                                                                                                                                                              ;mosdornadzor@mail.ru                                                                                                                                                                                                                                          ;12:00:00 AM;                                                                                                    
7;"Государственное казенное учреждение ""Кольцевые магистрали""                                                                                                                                                                                                    ";                                                                                                                                                                                                                                                              ;Тетеринский переулок, дом 12, строение 2                                                                                                                                                                                                                      ;9684,913211;8684,224968;0;                                                                                                                                                                                                                                                              ;Тетеринский переулок                                                                                                                                                                                                                                          ;12;2;8(495) 915-50-07                                                                                                                                                                                                                                              ;www.ringroads.ru                                                                                                                                                                                                                                              ;12:00:00 AM;                                                                                                    
9;Государственное казенное учреждение «Единая городская служба заказчика по озеленительным работам в Москве»                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;Трубная, дом 26А                                                                                                                                                                                                                                              ;7987,931543;11583,07336;0;                                                                                                                                                                                                                                                              ;Трубная                                                                                                                                                                                                                                                       ;26А                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;8(495) 621-88-68                                                                                                                                                                                                                                              ;info@guzelenhoz.ru                                                                                                                                                                                                                                            ;25.01.2013;opens\fedinaon                                                                                      
10;"Государственное унитарное предприятие г.Москвы ""Дорожно-механизированное управление №1""                                                                                                                                                                       ";                                                                                                                                                                                                                                                              ;1-я Магистральная дом 23                                                                                                                                                                                                                                      ;1376,92005;11494,83671;0;                                                                                                                                                                                                                                                              ;1-я Магистральная                                                                                                                                                                                                                                             ;23;                                                                                                                                                                                                                                                              ;8(495) 940-09-37                                                                                                                                                                                                                                              ;dmu1@mcn.ru                                                                                                                                                                                                                                                   ;25.01.2013;opens\fedinaon                                                                                      
11;"Московское государственное унитарное предприятие ""Мослифт""                                                                                                                                                                                                    ";                                                                                                                                                                                                                                                              ;Ленинградский проспект, дом 26 корпус 1                                                                                                                                                                                                                       ;4662,3684;12955,43081;0;                                                                                                                                                                                                                                                              ;Ленинградский проспект                                                                                                                                                                                                                                        ;26;1;8(499) 755-22-00                                                                                                                                                                                                                                              ;www.moslift.ru                                                                                                                                                                                                                                                ;12:00:00 AM;                                                                                                    
12;"Открытое акционерное общество ""МOC ОТИС""                                                                                                                                                                                                                      ";                                                                                                                                                                                                                                                              ;Кирпичная, дом 21                                                                                                                                                                                                                                             ;14511,43223;12354,00444;0;                                                                                                                                                                                                                                                              ;Кирпичная                                                                                                                                                                                                                                                     ;21;                                                                                                                                                                                                                                                              ;8(495) 974-2440                                                                                                                                                                                                                                               ;www.otis.com                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    
