0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Телефон;1_Адрес электронной почты;1_Режим работы;0_moddate;0_moduser
13;Государственное казенное учреждение инженерная служба Молжаниновского района                                                                                                                                                                                  ;ГУ ИС Молжаниновского района                                                                                                                                                                                                                                  ;г.Москва, ул.4-я Новоселки, д.2                                                                                                                                                                                                                               ;-6719,907001;29008,03312;0;                                                                                                                                                                                                                                                              ;4-я Новоселки                                                                                                                                                                                                                                                 ;2;                                                                                                                                                                                                                                                              ;(495) 510-57-53                                                                                                                                                                                                                                               ;mey@nao.mos.ru                                                                                                                                                                                                                                                ;пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной                                                                                                                                                                                                       ;25.01.2013;opens\fedinaon                                                                                      
14;Государственное казенное учреждение инженерная служба Левобережного района                                                                                                                                                                                    ;ГКУ ИС Левобережного района                                                                                                                                                                                                                                   ;125195 г.Москва, ул. Смольная, д.37                                                                                                                                                                                                                           ;-1305,928775;21488,06434;0;                                                                                                                                                                                                                                                              ;Смольная                                                                                                                                                                                                                                                      ;37;                                                                                                                                                                                                                                                              ;457-62-71                                                                                                                                                                                                                                                     ;islev@bk.ru                                                                                                                                                                                                                                                   ;пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной                                                                                                                                                                                                       ;12:00:00 AM;                                                                                                    
15;Государственное казенное учреждение инженерная служба района Коптево                                                                                                                                                                                          ;ГКУ ИС района Коптево                                                                                                                                                                                                                                         ;г.Москва, ул.Коптевская, д.22                                                                                                                                                                                                                                 ;1382,8727;18379,30655;0;                                                                                                                                                                                                                                                              ;.Коптевская                                                                                                                                                                                                                                                   ;22;                                                                                                                                                                                                                                                              ;"(495) 450-68-15; (499) 767-00-55                                                                                                                                                                                                                              ";odno.okno25@mail.ru                                                                                                                                                                                                                                           ;пн.-пт. 09.00-20.00 (без перерыва) , сб.,вс. - выходной                                                                                                                                                                                                       ;12:00:00 AM;                                                                                                    
16;Государственное казенное учреждение ИC Тимирязевского района                                                                                                                                                                                                  ;ГКУ ИC Тимирязевского района                                                                                                                                                                                                                                  ;г.Москва, ул.Тимирязевская, д.8, к.1                                                                                                                                                                                                                          ;4556,773606;15997,46746;0;                                                                                                                                                                                                                                                              ;Тимирязевская                                                                                                                                                                                                                                                 ;8;1;8 (495) 533-00-04                                                                                                                                                                                                                                             ;eirc-tim@mail.ru                                                                                                                                                                                                                                              ;пн.-пт. 08.00-20.00 (без перервывов) , сб.,вс.-выходной                                                                                                                                                                                                       ;12:00:00 AM;                                                                                                    
17;Государственное казенное учреждение инженерная служба района Ховрино                                                                                                                                                                                          ;ГКУ ИС района Ховрино                                                                                                                                                                                                                                         ;125414 г.Москва ул. Клинская, д. 9                                                                                                                                                                                                                            ;147,6007171;22236,89455;0;                                                                                                                                                                                                                                                              ;Клинская                                                                                                                                                                                                                                                      ;9;                                                                                                                                                                                                                                                              ;8(499)767-1793                                                                                                                                                                                                                                                ;guishovrino@mail.ru                                                                                                                                                                                                                                           ;пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной                                                                                                                                                                                                       ;12:00:00 AM;                                                                                                    
18;Государственное казенное учреждение инженерная служба Хорошевского района                                                                                                                                                                                     ;ГКУ ИС Хорошевского района                                                                                                                                                                                                                                    ;г.Москва, Хорошевское ш., д.68, корп.1                                                                                                                                                                                                                        ;1798,425425;12386,90075;0;                                                                                                                                                                                                                                                              ;Хорошевское шоссе                                                                                                                                                                                                                                             ;68;1;8-495-941-18-17                                                                                                                                                                                                                                               ;guis_ks@mail.ru                                                                                                                                                                                                                                               ;пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной                                                                                                                                                                                                       ;12:00:00 AM;                                                                                                    
19;ГУ инженерная служба района Западное Дегунино                                                                                                                                                                                                                 ;ГУ ИС района Западное Дегунино                                                                                                                                                                                                                                ;"127486 г. Москва ул. Дегунинская д.1,
корп.1 
                                                                                                                                                                                                                ";2634,4878;21830,70819;0;                                                                                                                                                                                                                                                              ;Дегунинская                                                                                                                                                                                                                                                   ;1;1;8-495-488-99-54                                                                                                                                                                                                                                               ;guis.zd@mail.ru                                                                                                                                                                                                                                               ;пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной                                                                                                                                                                                                       ;12:00:00 AM;                                                                                                    
20;Государственное казенное учреждение инженерная служба района Аэропорт                                                                                                                                                                                         ;ГКУ ИС района Аэропорт                                                                                                                                                                                                                                        ;125319 г.Москва ул. Часовая, д.7,корп. 1                                                                                                                                                                                                                      ;2187,1015;15642,37284;0;                                                                                                                                                                                                                                                              ;Часовая                                                                                                                                                                                                                                                       ;7;1;8(499)155-8201                                                                                                                                                                                                                                                ;is_aeroport@mail.ru                                                                                                                                                                                                                                           ;пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс - выходной                                                                                                                                                                                                        ;12:00:00 AM;                                                                                                    
21;Государственное казенное учреждение инженерная служба района Беговой                                                                                                                                                                                          ;ГКУ ИС района Беговой                                                                                                                                                                                                                                         ;125040 г.Москва ул. Марины Расковой, д.14                                                                                                                                                                                                                     ;4658,41535;13274,07575;0;                                                                                                                                                                                                                                                              ;Марины Расковой                                                                                                                                                                                                                                               ;14;                                                                                                                                                                                                                                                              ;8-495-613-30-68                                                                                                                                                                                                                                               ;guisbeg@mail.ru                                                                                                                                                                                                                                               ;пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной                                                                                                                                                                                                       ;12:00:00 AM;                                                                                                    
22;Государственное казенное учреждение инженерная служба Бескудниковского района                                                                                                                                                                                 ;ГКУ ИС Бескудниковского района                                                                                                                                                                                                                                ;124474, г. Москва,Бескудниковский бульвар, д.32А                                                                                                                                                                                                              ;3606,94111;22816,50863;0;                                                                                                                                                                                                                                                              ;Бескудниковский бульвар                                                                                                                                                                                                                                       ;32А                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;8-495-488-20-80                                                                                                                                                                                                                                               ;guisbesk@mail.ru                                                                                                                                                                                                                                              ;пн.-пт. 08.00-20.00 (без перерыва) , сб. 08.00-15.45, вс.-выходной                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
