0_Код;1_Название;1_Адрес;1_Телефон;1_Режим работы;0_Доп.компания;0_Тип;0_Тип Выходного;0_Доп информация
2696;ООО БизнесХолл;127287, город Москва, Генерала Белова улица, дом 29, строение 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный киоск;14048,0388;-5781,0993
2706;ООО РЕСУРС;115230, город Москва, Ломоносовский Проспект, дом 19А;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;2582,389;2571,658
2357;ООО ДИАСФАРМ - 3;119180, город Москва, Большая Полянка улица, дом 30, строение 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;7581,245;7473,7926
2358;ООО НАТАЛИ-ФАРМ;0, город Москва, Россолимо улица, дом 11;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;5199,5887;7548,7557
2361;ООО Наша Аптека - 2;109382, город Москва, Островитянова улица, дом 27А;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;1297,444;-3351,1957
2362;ООО Наша Аптека - 3;109382, город Москва, Островитянова улица, дом 21А;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный киоск;922,7933;-3320,504
2369;ООО Здоровые Люди Москва - 4;119002, город Москва, Болотниковская улица, дом 53;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;5118,2984;-430,0918
2372;ООО Фармлек - 2;127572, город Москва, Василисы Кожиной улица, дом 12, строение 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;13,5912;7726,5727
2379;ООО Источник здоровья - 1;129343, город Москва, Измайловский Проспект, дом 63А;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;18044,5949;13580,9775
2381;ООО Аптека Шуваловская;117556, город Москва, Вернадского Проспект, дом 18А;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;227,4417;913,6897
2694;ООО Желаем Здоровья - 2;117105, город Москва, Госпитальный вал улица, дом;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;13326,2855;11896,1401
2797;ООО Уездный врач;109147, город Москва, Марксистская улица, дом 5, строение 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный киоск;10416,3351;7810,8547
2802;ООО Строитель-2+;125167, город Москва, Мирской переулок, дом 8/1, строение 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;4256,7029;14550,108
2809;ООО Перспектива-РН;123007, город Москва, Хорошевское шоссе, дом 33/1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;1520,5309;12228,1342
2823;ООО Фирма Дива фармацевтика;121433, город Москва, Малая Филевская улица, дом , корпус 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;-2154,5146;7654,2119
2830;ООО Оптима - 1;123368, город Москва, Чаянова улица, дом 14/10, строение 2;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный киоск;6154,5716;12161,0766
2835;ООО АНТЕЛ ФАРМ;125167, город Москва, Хорошевское шоссе, дом;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;2084,4977;12188,4789
2840;ООО ЦИТО-Фарм;125284, город Москва, 2-й Боткинский проезд, дом 6/2;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;3554,8548;12862,1662
2847;ООО БЕРКУТ;115432, город Москва, метро Улица Академика Янгеля , дом;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;6468,6373;-7922,8418
2848;ООО ФАРМАДЕНТ - 4;109444, город Москва, Паперника улица, дом 13/2;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;18215,4904;6063,5284
2851;ООО Фарм-Форум - 1;115211, город Москва, Люблинская улица, дом 112А;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;15277,3001;-1810,3684
2861;ЗАО Айпара и Компания - 2;117513, город Москва, Новогиреевская улица, дом 11/36, строение 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;18642,4781;10339,4554
