0_Код;1_Название;1_Адрес;1_Административный округ по территориальной принадлежности;1_Руководитель;1_Телефон;0_POINT_X;0_POINT_Y
147;Городская поликлиника № 5;107045, город Москва, Даев переулок, дом 3, корпус 1;ЦАО;Тяжельников Андрей Александрович;(495) 608-16-80;8539,6077;11580,1997
607;Городская поликлиника № 5 филиал № 1;422000, город Москва, Большой Харитоньевский переулок, дом 8;ЦАО;Лихачева Фрида Яковлевна;(495) 624-17-15;9168,0303;10832,3898
593;Городская поликлиника № 5 филиал № 2;127051, город Москва, Неглинная улица, дом 14;ЦАО;Иорданян Альберт Вардович;(495) 621-15-28;7667,9415;10810,186
595;Городская поликлиника № 5 филиал № 3;105066, город Москва, Ольховская улица, дом 35;ЦАО;Караева Светлана Халидовна;(499) 261-10-94;10938,9089;12277,6301
594;Городская поликлиника № 5 филиал № 4;107045, город Москва, Протопоповский переулок, дом 19/15;ЦАО;Обрезкова Наталия Егоровна;(495) 680-29-33;8791,3751;12701,439
392;Городская поликлиника № 6 филиал № 1;127015, город Москва, Квесисская 1-я улица, дом 8/10;САО;Любимый Олег Александрович;(495) 685-68-83;5222,2325;14150,5992
759;Городская поликлиника № 23 филиал № 3;109456, город Москва, Вострухина улица, дом 5;ЮВАО;Синопальников Владимир Игоревич;(495) 371-96-08;18800,5968;5899,2383
296;Городская поликлиника № 195 филиал № 4;121596, город Москва, Маршала Неделина улица, дом 2;ЗАО;Аврас Ревекк Александровна;(495) 448-05-15;-6084,3889;6298,7478
697;Городская поликлиника № 67 филиал № 2;115114, город Москва, Дербеневский 1-й переулок, дом 3;ЮАО;Сидоркин Владимир Анатольевич;(499) 235-88-05;9730,5249;6455,2655
31;Городская поликлиника № 80;111395, город Москва, Молдагуловой улица, дом 10а;ВАО;Паскачев Абдулбек Баклуевич;(499) 373-37-00;19392,5;6593,3132
293;Городская поликлиника № 195 филиал № 2;121355, город Москва, Молодогвардейская улица, дом 40, корпус 1;ЗАО;Кузнецов Сергей Владимирович;(499) 141-40-90;-5258,4355;7520,9045
765;Городская поликлиника № 36 филиал № 2;109562, город Москва, Карачаровская 3-я улица, дом 11;ЮВАО;Киреев Сергей Анатольевич;(499) 170-02-47;15882,45;7610,2158
14;Городская поликлиника № 175 филиал № 1;111539, город Москва, Старый Гай улица, дом 5;ВАО;Мертенс Мария Валерьевна;(495) 375-67-75;20849,1375;8019,4975
842;Городская поликлиника № 207;117042, город Москва, Академика Семенова улица, дом 13, корпус 1;ЮЗАО;Сафарян Сергей Левони;(495) 715-37-01;564,3984;-14012,1213
855;Городская поликлиника № 99;117624, город Москва, Веневская улица, дом 27;ЮЗАО;Сафарян Сергей Левони;(495) 716-68-81;3480,155;-13870,5577
279;Городская поликлиника № 52;117546, город Москва, Медынская улица, дом 7, корпус 1;ЮАО;Ульяшина Татьяна Григорьевна;(495) 383-40-52;9517,099;-9164,7173
687;Городская поликлиника № 52 филиал № 3;115372, город Москва, Лебедянская улица, дом 10;ЮАО;Ульяшина Татьяна Григорьевна;(495) 329-87-55;10797,2289;-8963,362
681;Городская поликлиника № 52 филиал № 2;117546, город Москва, Булатниковский проезд, дом 8;ЮАО;Ульяшина Татьяна Григорьевна;(495) 385-09-54;9798,3014;-8473,8872
839;Городская поликлиника № 176;117463, город Москва, Новоясеневский проспект, дом 30, корпус 2;ЮЗАО;Гордеев Михаил Александрович;(495) 422-47-55;2350,7733;-7056,0281
689;Городская поликлиника № 166 филиал № 3;115582, город Москва, Домодедовская улица, дом 29, корпус 1;ЮАО;Артемова Тамара Михайловна;(495) 391-91-35;13631,9849;-7003,6542
833;Городская поликлиника № 134;117574, город Москва, Новоясеневский проспект, дом 24, корпус 2;ЮЗАО;Кузнецова Надежда Александровна;(495) 422-11-11;1971,2704;-6910,2272
686;Городская поликлиника № 170;117545, город Москва, Подольских Курсантов улица, дом 2, корпус 2;ЮАО;Полунина Ирина Станиславна;(495) 381-99-34;6977,9314;-6783,6971
684;Городская поликлиника № 166;115551, город Москва, Домодедовская улица, дом 9;ЮАО;Артемова Тамара Михайловна;(495) 343-35-40;13257,1104;-6097,1035
685;Городская поликлиника № 214 филиал № 1;115573, город Москва, Ореховый бульвар, дом 35, корпус 2;ЮАО;Шокова Наталья Валерьевна;(495) 393-13-09;14928,8162;-5618,5478
834;Городская поликлиника № 135;117465, город Москва, Теплый Стан улица, дом 13, корпус 2;ЮЗАО;Кузнецова Надежда Александровна;(495) 338-71-44;-590,5016;-4805,0251
853;Городская поликлиника № 94;117321, город Москва, Профсоюзная улица, дом 154, корпус 4;ЮЗАО;Кузнецова Надежда Александровна;(495) 338-91-44;216,5542;-4913,3785
683;Городская поликлиника № 166 филиал № 2;115551, город Москва, Кавказский бульвар, дом 45;ЮАО;Артемова Тамара Михайловна;(495) 325-58-97;9573,2453;-4371,3909
695;Городская поликлиника № 166 филиал № 1;115551, город Москва, Ереванская улица, дом 23;ЮАО;Артемова Тамара Михайловна;(495) 321-09-92;11239,3319;-4197,2483
841;Городская поликлиника № 205;117485, город Москва, Профсоюзная улица, дом 111а;ЮЗАО;Ермолаева Татьяна Игоревна;(495) 420-31-33;1529,3666;-3935,9664
455;Городская поликлиника № 107;127273, город Москва, Декабристов улица, дом 24;СВАО;Большакова Елена Викторовна;(499) 404-14-22;6873,3103;21659,2474
469;Городская поликлиника № 218 филиал № 1;129344, город Москва, Печорская улица, дом 10, корпус 2;СВАО;Дьякова Элеонора Николаевна;(495) 471-32-55;10564,5247;22015,6663
473;Городская поликлиника № 107 филиал № 2;127273, город Москва, Бестужевых улица, дом 15;СВАО;Коломиец Алла Николаевна;(499) 201-00-49;6681,0216;22692,6494
467;Городская поликлиника № 218 филиал № 5;129347, город Москва, Ротерта улица, дом 12;СВАО;Дьякова Элеонора Николаевна;(499) 188-14-44;14258,0645;23417,8323
458;Городская поликлиника № 218 филиал № 3;129346, город Москва, Напрудная 1-я улица, дом 15;СВАО;Дьякова Элеонора Николаевна;(495) 471-07-22;12156,274;23734,2013
459;Городская поликлиника № 107 филиал № 3;127221, город Москва, Полярная улица, дом 28;СВАО;Пантелеев Вадим Вячеславович;(495) 477-05-33;8902,78;23936,5315
460;Городская поликлиника № 218 филиал № 4;127224, город Москва, Грекова улица, дом 12;СВАО;Дьякова Элеонора Николаевна;(495) 479-08-02;10304,1024;24758,562
466;Городская поликлиника № 219 филиал № 4;125466, город Москва, Родионовская улица, дом 10, корпус 2;СЗАО;Азизов Гюли Азизович; ;-6682,16;25285,0818
835;Городская поликлиника № 14;117042, город Москва, Плавский проезд, дом 3;ЮЗАО;Сафарян Сергей Левони;(495) 793-05-45;2306,1599;-13127,3526
704;Городская поликлиника № 170 филиал № 3;117545, город Москва, Газопровод улица, дом 11;ЮАО;Полунина Ирина Станиславна;(495) 381-89-00;6957,6114;-8559,0543
680;Городская поликлиника № 52 филиал № 1;117546, город Москва, Ряжская улица, дом 13;ЮАО;Ульяшина Татьяна Григорьевна;(495) 326-01-06;10741,1594;-8510,3084
692;Городская поликлиника № 170 филиал № 2;117519, город Москва, Варшавское шоссе, дом 148, корпус 1;ЮАО;Кувшинова Вера Федоровна;(495) 388-16-18;6509,1239;-7340,4815
694;Городская поликлиника № 214;115583, город Москва, Елецкая улица, дом 14;ЮАО;Шокова Наталья Валерьевна;(495) 397-02-37;14759,415;-6623,9359
700;Городская поликлиника № 210 филиал № 1;115211, город Москва, Борисовские Пруды улица, дом 12, корпус 4;ЮАО;Грузд Анатолий Давыдович;(495) 341-82-29;15384,746;-3672,9779
298;Городская поликлиника № 212 филиал № 2;119620, город Москва, Солнцевский проспект, дом 8;ЗАО;Дмитриев Дмитрий Геннадьевич;(495) 435-22-41;-6181,834;-1680,6184
304;Городская поликлиника № 212 филиал № 4;119027, город Москва, Насосная улица, дом 1а;ЗАО;Абраамян Буден Анушаванович;(495) 436-75-38;-12620,6022;-5687,0909
468;Городская поликлиника № 218;127642, город Москва, Шокальского проезд, дом 8;СВАО;Дьякова Элеонора Николаевна;(495) 479-72-61;9282,7146;23117,3804
546;Городская поликлиника № 219 филиал № 1;125480, город Москва, Фрунзенская улица, дом 23, корпус 2;СЗАО;Чередниченко Лариса Сергеевна;(495) 494-22-19;-4751,1336;21711,6717
696;Городская поликлиника № 27 филиал № 1;115533, город Москва, Высокая улица, дом 19, корпус 1;ЮАО;Кладова Лидия Ивановна;(499) 612-55-58;10251,4389;1612,813
397;Городская поликлиника № 62 филиал № 1;125057, город Москва, Дербеневский 4-й переулок, дом;САО;Соколова Татьяна Васильевна;(499) 157-12-58;1325,0939;15023,9653
769;Городская поликлиника № 36;109652, город Москва, Новомарьинская улица, дом 2;ЮВАО;Киреев Сергей Анатольевич; ;15673,6558;-1797,8524
837;Городская поликлиника № 150;119421, город Москва, Новаторов улица, дом 5;ЮЗАО;Антипова Людмила Петровна;(495) 936-40-36;1785,5155;-390,8823
763;Городская поликлиника № 19;109451, город Москва, Верхние Поля улица, дом 34, корпус 4;ЮВАО;Суанов Артур Николаевич;(495) 654-99-83;16626,7357;-47,756
297;Городская поликлиника № 8 филиал № 3;119361, город Москва, Большая Очаковская улица, дом 38;ЗАО;Смирнов Андрей Павлович;(495) 430-29-66;-3102,3575;1251,5388
831;Городская поликлиника № 11;119331, город Москва, Кравченко улица, дом 14;ЮЗАО;Мосейчук Анжелика Викторовна;(499) 138-00-09;1235,543;1351,0479
774;Городская поликлиника № 109 филиал № 1;109388, город Москва, Шоссейная улица, дом 41;ЮВАО;Мглинец Виктор Павлович;(495) 353-71-87;14243,6971;1236,3532
140;Городская поликлиника № 202;119991, город Москва, Ленинские Горы улица, дом 1, строение 53;ЗАО;Карташов Владимир Тимофеевич; ;2230,6015;3317,9618
21;Городская поликлиника № 196;111621, город Москва, Красносолнечная улица, дом 40а;ВАО;Паскачев Абдулбек Баклуевич;(495) 700-01-20;21900,3977;5506,2953
30;Городская поликлиника № 78;111625, город Москва, Рудневка улица, дом 8;ВАО;Тарасов Константин Михайлович;(499) 721-40-20;24617,7878;5518,6649
27;Городская поликлиника № 66;111672, город Москва, Салтыковская улица, дом 11б;ВАО;Паскачев Абдулбек Баклуевич;(495) 701-76-55;22889,2173;7602,2093
11;Городская поликлиника № 175 филиал № 3;111555, город Москва, Молостовых улица, дом 7а;ВАО;Зеленская Елена Борисовна;(495) 300-41-41;21016,5738;10436,6841
299;Городская поликлиника № 195;121614, город Москва, Крылатские холмы улица, дом 51;ЗАО;Фуфаев Евгений Николаевич;(495) 413-25-24;-5425,867;10751,3676
533;Городская поликлиника № 115;123308, город Москва, Демьяна Бедного улица, дом 8;СЗАО;Погорелова Людмила Григорьевна;(499) 191-50-14;-640,1604;11708,6617
310;Городская поликлиника № 195  филиал;121500, город Москва, Советская улица, дом 2;ЗАО;Красненкова Инна Вадимовна;(499) 727-12-28;-9129,4152;13059,455
34;Городская поликлиника № 191 филиал № 2;105484, город Москва, Сиреневый бульвар, дом 71а;ВАО;Сеничкина Ольга Ивановна;(495) 468-12-48;20592,8938;15433,6778
148;Городская поликлиника № 6;127206, город Москва, Вучетича улица, дом 7б;САО;Любимый Олег Александрович;(495) 611-27-29;3665,9406;15652,0043
23;Городская поликлиника № 191 филиал № 4;107241, город Москва, Амурская улица, дом 36;ВАО;Коровкина Наталья Александровна;(495) 462-02-02;17652,4514;16234,6593
33;Городская поликлиника № 191 филиал № 1;107207, город Москва, Чусовская улица, дом 9;ВАО;Почечуева Марина Владимировна;(495) 467-69-10;19626,1501;16360,6101
471;Городская поликлиника № 218 филиал № 2;129347, город Москва, Лосевская улица, дом 2;СВАО;Дьякова Элеонора Николаевна;(499) 183-17-38;13270,9552;22888,8624
767;Городская поликлиника № 23;109431, город Москва, Авиаконструктора Миля улица, дом 6, корпус 1;ЮВАО;Афанасьева Елена Юрьевна;(499) 796-05-07;22245,9195;2081,347
832;Городская поликлиника № 110;119296, город Москва, Университетсткий проспект, дом 9;ЮЗАО;Мосейчук Анжелика Викторовна;(495) 938-00-56;3192,2441;3277,8316
24;Городская поликлиника № 69 филиал № 1;111558, город Москва, Федеративный проспект, дом 31;ВАО;Ермилов Юрий Иванович;(495) 302-15-68;20421,0052;9746,7458
141;Городская поликлиника № 220;123022, город Москва, Заморенова улица, дом 27;ЦАО;Шастина Вера Ростиславовна;(499) 255-19-37;4353,8751;10378,4517
699;Городская поликлиника № 214 филиал № 2;115583, город Москва, Генерала Белова улица, дом 19, корпус 2;ЮАО;Шокова Наталья Валерьевна;(495) 394-78-11;14014,6051;-5460,0171
776;Городская поликлиника № 9;109451, город Москва, Перервинский бульвар, дом 4, корпус 2;ЮВАО;Кондрашова Александра Артемовна;(495) 347-70-10;16647,7681;-523,1062
294;Городская поликлиника № 209 филиал № 3;119501, город Москва, Веерная улица, дом 34;ЗАО;Морозова Светлана Владимировна;(495) 441-74-56;-1223,2335;5047,0286
291;Городская поликлиника № 209 филиал № 2;119330, город Москва, Мосфильмовская улица, дом 29а;ЗАО;Кумалагова Зоя Ильинична;(495) 143-34-51;960,2216;5033,3779
758;Городская поликлиника № 9 филиал № 2;109451, город Москва, Федора Полетаева улица, дом 6;ЮВАО;Пятигорская Стелла Рахмильевна;(499) 172-66-52;17441,2001;5295,9444
305;Городская поликлиника № 209 филиал № 1;121352, город Москва, Кременчугская улица, дом 7, корпус 1;ЗАО;Зизекалова Ольга Владимировна;(499) 445-03-78;-2249,6215;6078,8921
591;Городская поликлиника № 68 филиал № 3;119270, город Москва, Фрунзенская набережная, дом 38/1;ЦАО;Черниенко Елена Васильевна; ;5365,6951;6019,2792
756;Городская поликлиника № 109 филиал № 2;109518, город Москва, Грайвороновская улица, дом 18, корпус 1;ЮВАО;Романов Сергей Николаевич;(499) 173-66-90;14882,4501;5880,8112
849;Городская поликлиника № 74;117342, город Москва, Введенского улица, дом 14а;ЮЗАО;Патрикеева Елена Борисовна;(495) 333-60-30;2701,583;-2647,8435
760;Городская поликлиника № 36 филиал № 1;109652, город Москва, Новочеркасский бульвар, дом 48;ЮВАО;Киреев Сергей Анатольевич;(495) 357-08-80;15145,5579;-2416,5284
303;Городская поликлиника № 212;119620, город Москва, Солнцевский проспект, дом 11а;ЗАО;Пиддэ Ольга Васильевна;(495) 233-94-21;-5922,3234;-2060,3937
143;Городская поликлиника № 25;117198, город Москва, Миклухо-Маклая улица, дом 10;ЮЗАО;Ходорович Александр Михайлович;(495) 434-25-70;397,9915;-1915,1157
850;Городская поликлиника № 84;117303, город Москва, Азовская улица, дом 20, корпус 1;ЮЗАО;Иванец Николай Валерьевич;(499) 613-05-66;6266,8018;-1295,1189
289;Городская поликлиника № 8 филиал № 2;119526, город Москва, 26 Бакинских Комиссаров улица, дом 5;ЗАО;Советкин Сергей Викторович;(495) 433-44-10;-689,2654;-924,281
851;Городская поликлиника № 88;117393, город Москва, Архитектора Власова улица, дом 31;ЮЗАО;Измайлов Андрей Алексеевич;(499) 128-67-33;2944,0485;524,7579
288;Городская поликлиника № 8 филиал № 1;119454, город Москва, Вернадского проспект, дом 30;ЗАО;Одарюк Оксана Анатольевна;(495) 431-19-85;74,748;1025,5298
852;Городская поликлиника № 90;117186, город Москва, Ремизова улица, дом 6;ЮЗАО;Кадухина Валентина Михайловна;(499) 127-22-21;6258,5495;1186,0934
771;Городская поликлиника № 19 филиал № 2;109451, город Москва, Армавирская улица, дом 2/20;ЮВАО;Суанов Артур Николаевич;(495) 359-37-59;16040,075;1027,9707
543;Городская поликлиника № 180 филиал № 4;125222, город Москва, Дубравная улица, дом 41;СЗАО;Борисенко Евгений Федорович; ;-8833,3343;19535,7628
541;Городская поликлиника № 219;125373, город Москва, Яна Райниса улица, дом 47;СЗАО;Тедтоев Таймураз Асламбекович;(495) 948-32-00;-5799,3716;20323,2596
534;Городская поликлиника № 219 филиал № 2;125480, город Москва, Яна Райниса бульвар, дом 5;СЗАО;Петрова Наталья Владимировна;(495) 494-12-84;-3852,7751;20285,4966
470;Городская поликлиника № 107 филиал № 1;129323, город Москва, Снежная улица, дом 22;СВАО;Кузичкина Светлана Федоровна;(499) 180-80-55;9481,3298;20640,7392
537;Городская поликлиника № 219 филиал № 3;125481, город Москва, Планерная улица, дом 8;СЗАО;Борисов Константин Николаевич;(499) 493-91-67;-3905,9726;21622,4232
679;Городская поликлиника № 170 филиал № 1;117534, город Москва, Чертановская улица, дом 62, корпус 1;ЮАО;Сапунар Евгения Олеговна;(495) 386-34-64;5622,2884;-7541,9867
308;Городская поликлиника № 212 филиал № 1;119634, город Москва, Скульптора Мухиной улица, дом 14;ЗАО;Гобеджашвили Спартак Дмитриевич;(495) 733-82-78;-9966,138;-3128,7599
300;Городская поликлиника № 212 филиал № 3;119633, город Москва, Новоорловская улица, дом 4;ЗАО;Фатеев Александр Иванович;(495) 733-52-62;-8387,7804;-3170,3374
693;Городская поликлиника № 210 филиал № 3;115211, город Москва, Кошкина улица, дом 21;ЮАО;Баринов Василий Владимирович;(495) 320-30-22;11048,1649;-3132,3384
691;Городская поликлиника № 210;115211, город Москва, Каширское шоссе, дом 57, корпус 1;ЮАО;Винокуров Владимир Геннадьевич;(495) 344-65-68;12423,1261;-3269,2837
840;Городская поликлиника № 203;117513, город Москва, Академика Бакулева улица, дом 18;ЮЗАО;Гудиев Черси Гарсолтович;(495) 438-40-70;-1335,9714;-2907,9548
688;Городская поликлиника № 210 филиал № 2;115211, город Москва, Алма-Атинская улица, дом 3, корпус 3;ЮАО;Рожкова Надежда Ивановна;(495) 341-36-84;17241,9189;-2728,7349
399;Городская поликлиника № 6 филиал № 3;127206, город Москва, Бутырская улица, дом 65;САО;Любимый Олег Александрович;(495) 685-39-52;5304,8512;14974,8507
17;Городская поликлиника № 64 филиал № 1;105425, город Москва, Сиреневый бульвар, дом 8, корпус 1;ВАО;Юсуфов Камиль Магомедович;(499) 164-49-86;17597,3579;15062,8067
10;Городская поликлиника № 64 филиал № 3;107061, город Москва, Пугачевская 2-я улица, дом 8;ВАО;Хряпов Борис Тимофеевич;(499) 161-00-05;14231,0179;14090,4389
702;Городская поликлиника № 67;113105, город Москва, Варшавское шоссе, дом 19, корпус 3;ЮАО;Герасимов Валерий Викторович;(495) 954-73-53;7849,8538;3271,3121
29;Городская поликлиника № 69 филиал № 2;111524, город Москва, Плющева улица, дом 20;ВАО;Ермилов Юрий Иванович;(495) 309-39-27;16499,078;8170,2649
22;Городская поликлиника № 206;111672, город Москва, Новокосинская улица, дом 42;ВАО;Добуляк Людмила Михайловна;(495) 702-32-31;23664,8292;8482,6517
608;Городская поликлиника № 220 филиал № 2;123290, город Москва, Шелепихинская набережная, дом 12;ЦАО;Зинченко Александр Александрович;(499) 256-22-93;1446,7905;9593,3001
28;Городская поликлиника № 69;111401, город Москва, Владимирская 2-я улица, дом 31а;ВАО;Ермилов Юрий Иванович;(495) 304-30-15;18004,412;9827,4171
755;Городская поликлиника № 9 филиал № 3;111116, город Москва, Лефортовский Вал улица, дом 7;ЮВАО;Мозговая Татьяна Петровна;(495) 361-12-80;12815,3;10330,9758
301;Городская поликлиника № 195 филиал;121601, город Москва, Филевский бульвар, дом 18;ЗАО;Маер Руслан Юрьевич;(495) 145-09-86;-1213,0788;10788,0157
598;Городская поликлиника № 220 филиал № 3;123022, город Москва, Расторгуевский переулок, дом 3;ЦАО;Михалевская Татьяна Ивановна;(495) 253-99-91;4277,825;10943,0142
596;Городская поликлиника № 46 филиал № 4;105005, город Москва, Бригадирский переулок, дом 14;ЦАО;Орлова Лидия Александровна;(499) 261-09-95;11543,4301;10911,836
380;Городская поликлиника № 62 филиал № 3;123308, город Москва, Куусинена улица, дом 6б;САО;Титова Ангелина Георгиевна;(499) 195-30-71;1357,0204;13006,907
142;Городская психотерапевтическая поликлиника № 223;129110, город Москва, Пантелеевская улица, дом 10;ЦАО;Кыров Николай Евгеньевич;(495) 680-16-07;9168,6841;12858,5187
