0_Код;1_Название;1_Адрес;0_Признак закрытого ЛПУ;0_Полное наименование согласно документам;1_Краткое наименование;0_Причина закрытия;0_Дата закрытия;0_Дата повторного открытия после закрытия;1_Административный округ по территориальной принадлежности;0_Главное ЛПУ;1_Руководитель;0_Пол руководителя;1_Должность руководителя;1_Телефон руководителя;1_Общий телефон;0_факс;0_Доп информация;0_X;0_Y
800;Дом ребенка № 20;109382, город Москва, Верхние поля улица, дом 19, корпус 3; ; ;ДР № 20; ;;;ЮВАО; ;Довбенко Галина Михайловна;женский;И.о. Главного врача;(495) 351-42-43;(495) 351-42-43; ; ;15806,8802;121,0719
874;Специализированный дом ребенка № 12 филиал НПЦ ДП;119313, город Москва, Гарибальди улица, дом 8, корпус 6;true; ;ДР № 12;реорганизация;01.01.2012;; ;163;Репина Светлана Анатольевна;женский;Главный врач;(499) 138-19-44;(499) 138-19-44; ; ;2347,093;769,1171
799;Дом ребенка № 14 для детей с органическим поражением цнс и нарушением психики;111020, город Москва, Синичкина 2-я улица, дом 18; ; ;ДР № 14; ;;;ЮВАО; ;Сергеев Андрей Викторович;мужской;Главный врач;(495) 361-63-68;(495) 361-63-68; ; ;13461,1577;10614,8551
623;Дом ребенка № 13 филиал НПЦ ДП;105005, город Москва, Плетешковский переулок, дом 19;true; ;ДР № 13;реорганизация;01.01.2012;; ;163;Талыпова Юлия Николаевна;женский;Главный врач;(499) 261-99-68;(499) 261-99-68; ; ;11143,2799;11337,5782
417;Дом ребенка № 5;125167, город Москва, Расковой улица, дом 16/26, корпус 1; ; ;ДР № 5; ;;;САО; ;Рыжова Елена Альбертовна;женский;Главный врач;(495) 612-80-77;(495) 612-80-77; ; ;4673,4331;13332,8573
55;Дом ребенка № 24;107061, город Москва, Пугачевская 2-я улица, дом 12а; ; ;ДР № 24; ;;;ВАО; ;Караневская Наталья Михайловна;женский;Главный врач;(499) 161-31-10;(499) 161-31-10; ; ;14281,8982;13899,1605
57;Дом ребенка № 7 для вич инфицированных детей сирот;107113, город Москва, Лучевой 1-й просек, дом 10;;;ДР № 7;;;;ВАО;;Крейдич Виктор Юрьевич;мужской;Главный врач;(499) 268-64-11;(499) 268-64-11;;;9743,9997;14726,8068
497;Специализированный дом ребенка № 8;129128, город Москва, Бажова улица, дом 11, корпус 4; ; ;ДР № 8; ;;;СВАО; ;Штыфлюк Марина Ивановна;женский;Главный врач;(499) 181-18-34;(499) 181-18-34; ; ;10174,1306;18889,4255
558;Специализированный дом ребенка № 2 для детей с органическим поражением центральной нервной системы;125480, город Москва, Вилиса Лациса улица, дом 31, корпус 3; ; ;ДР № 2; ;;;СЗАО; ;Усачева Галина Анатольевна;женский;Главный врач;(495) 496-42-18;(495) 496-42-18; ; ;-5411,7516;21414,9168
875;Специализированный дом ребенка № 9;117437, город Москва, Профсоюзная улица, дом 118а; ; ;ДР № 9; ;;;ЮЗАО; ;Клевачева Наталья Петровна;женский;И.о. Главного врача;(495) 335-14-00;(495) 335-14-00; ; ;1271,5242;-3416,8159
53;Специализированный дом ребенка № 15 для детей с поражением центральной нервной системой;111538, город Москва, Вешняковская улица, дом 27а; ; ;ДР № 15; ;;;ВАО; ;Лазаров Игорь Бексултанович;мужской;Главный врач;(499) 373-95-10;(499) 373-95-10; ; ;20874,918;6492,1643
54;Специализированный дом ребенка № 19 для детей с поражением центральной нервной системой;107143, город Москва, Открытое шоссе, дом 29, корпус 12; ; ;ДР № 19; ;;;ВАО; ;Музякова Людмила Платоновна;женский;Главный врач;(499) 167-84-71;(499) 167-84-71; ; ;16320,2758;18193,1983
496;Специализированный дом ребенка № 23;127221, город Москва, Молодцова улица, дом 1б; ; ;ДР № 23; ;;;СВАО; ;Садикова Елена Николаевна;женский;Главный врач;(499) 478-45-01;(499) 478-45-01; ; ;9432,2257;23299,548
328;Специализированный дом ребенка № 21;119517, город Москва, Нежинская улица, дом 12; ; ;ДР № 21; ;;;ЗАО; ;Белкина Елена Борисовна;женский;Главный врач;(495) 442-15-94;(495) 442-15-94; ; ;-2034,3125;4686,8856
801;Дом ребенка № 3 для детей с органическим поражением цнс и нарушением психики;109439, город Москва, Юных Леннинцев улица, дом 96, корпус 2; ; ;ДР № 3; ;;;ЮВАО; ;Адрианова Элеонора Юрьевна;женский;Главный врач;(499) 172-46-08;(499) 172-46-08; ; ;17893,1798;3417,8621
164;Дом ребенка № 6;119017, город Москва, Пятницкая улица, дом 40/42; ; ;ДР № 6; ;;;ЦАО; ;Околот Наталья Владимировна;женский;Главный врач;(495) 953-22-22;(495) 953-22-22; ; ;8147,0069;7944,3629
