0_Код;0_Признак закрытого ЛПУ;0_Полное наименование согласно документам;1_Название;1_Краткое наименование;1_Дата закрытия;1_Дата повторного открытия после закрытия;1_Причина закрытия;1_Административный округ по территориальной принадлежности;1_Главное ЛПУ, ИД другого ЛПУ;1_Руководитель;0_Пол руководителя;1_Должность руководителя;1_Адрес;0_Идентификатор в адресном реестре;1_Телефон руководителя;1_Общий телефон;1_Факс;1_Доп информация;1_Специализация
347;true;Государственное бюджетное  учреждение здравоохранения города Москвы «Родильный дом  № 3  Департамента здравоохранения города Москвы»;Родильный дом № 3;РД № 3;30.09.2013;27.10.2013;профилактическая санитарно-гигиеническая обработка;ЗАО;;Иванова Оксана Геннадьевна;женский;Главный врач;119501, город Москва, Нежинская улица, дом 3;;(495)442-46-66;(495)442-22-89;;;детская реанимация, консультационно-диагностическое отделение
107;true;Акушерский стационар при городской клинической больнице № 20;Акушерский стационар при ГКБ № 20;АС при ГКБ № 20;25.02.2013;24.03.2013;профилактическая санитарно-гигиеническая обработка;СВАО;Городская клиническая больница № 20;Крапивин Андрей Александрович;мужской;Главный врач;129327, город Москва, Ленская улица, дом 15;;(495)471-10-44;(495)471-10-44;;;
131;true;Акушерский стационар при городской клинической больнице № 70;Акушерский стационар при ГКБ № 70;АС при ГКБ № 70;08.07.2013;04.08.2013;профилактическая санитарно-гигиеническая обработка;;Городская клиническая больница № 70;Предтеченская Анна Вячеславовна;женский;Главный врач;111399, город Москва, Федеративный проспект, дом 17;;(495)304-42-16;(495)304-42-16;;;
2001;true;Акушерский стационар при инфекционной клинической больнице № 1;Акушерский стационар при ИКБ № 1;АС при ИКБ № 1;10.06.2013;27.10.2013;профилактическая санитарно-гигиеническая обработка;СЗАО;Инфекционная клиническая больница № 1;Малышев Николай Александрович;мужской;Главный врач;125367, город Москва, Волоколамское шоссе, дом 63;;(495)490-14-14;(495)490-14-14;;;
2002;true;Акушерский стационар при инфекционной клинической больнице № 2;Акушерский стационар при ИКБ № 2;АС при ИКБ № 2;21.01.2013;17.02.2013;профилактическая санитарно-гигиеническая обработка;ВАО;Инфекционная клиническая больница № 2;Крахмалова Татьяна Арсентьевна;женский;Заместитель главного врача;105275, город Москва, 8-я Соколиной горы улица, дом 15;;(495)365-57-92;(495)365-19-41;;;
2003;true;Акушерский стационар при городской больнице № 3;Акушерский стационар при ГБ № 3;АС при ГБ № 3;20.05.2013;16.06.2013;профилактическая санитарно-гигиеническая обработка;ЗелАО;Городская больница № 3;Лесняк Павел Иванович;мужской;Заместитель главного врача;103489, город Зеленоград, Медицинский комплекс , дом ;;(499)735-55-53;(499)735-02-66;;;
2005;true;Акушерский стационар при туберкулезной клинической больнице № 7;Акушерский стационар при ТКБ № 7;АС при ТКБ № 7;03.06.2013;30.06.2013;профилактическая санитарно-гигиеническая обработка;ДЗ;Туберкулезная клиническая больница № 7;Тютикова Татьяна Ивановна;женский;Заведующая отделением;107014, город Москва, Барболина улица, дом 3;;(499)268-28-65;(499)268-28-26;;;
2006;true;Акушерский стационар при городской клинической больнице № 15;Акушерский стационар при ГКБ № 15;АС при ГКБ № 15;03.06.2013;30.06.2013;профилактическая санитарно-гигиеническая обработка;ВАО;Городская клиническая больница № 15 им. О.М.Филатова;Бурдули Георгий Михайлович;мужской;Заместитель главного врача;111539, город Москва, Вешняковская улица, дом 23;;(495)375-28-00;(495)375-31-00;;;
2007;true;Акушерский стационар при городской клинической больнице № 29;Акушерский стационар при ГКБ № 29;АС при ГКБ № 29;05.08.2013;01.09.2013;профилактическая санитарно-гигиеническая обработка;ЮВАО;Городская клиническая больница № 29 им. Н.Э. Баумана;Златовратская Татьяна Викторовна;женский;Заместитель главного врача;111020, город Москва, Госпитальная площадь, дом 2;;(495)360-00-67;(495)360-04-45;;;
2008;true;Акушерский стационар при городской клинической больнице № 36;Акушерский стационар при ГКБ № 36;АС при ГКБ № 36;01.01.2013;31.12.2013;капитальный ремонт;ВАО;Городская клиническая больница № 36;Хареба Людмила Викторовна;женский;Заместитель главного врача;105318, город Москва, Фортунатовская улица, дом 1;;(499)369-75-92;(499)369-34-40;;;
