0_Код;1_Название;1_Адрес;0_Признак закрытого ЛПУ;0_Полное наименование согласно документам;1_Краткое наименование;0_Причина закрытия;0_Дата закрытия;0_Дата повторного открытия после закрытия;1_Административный округ по территориальной принадлежности;0_Главное ЛПУ;1_Руководитель;0_Пол руководителя;1_Должность руководителя;1_Телефон руководителя;0_Общий телефон;0_Факс;0_Доп информация;0_X;0_Y
106;Городская клиническая больница № 19;123022, город Москва, Предтеченский Большой переулок, дом 15; ;Городская клиническая больница № 19;ГКБ № 19; ;;;ЦАО; ;Бутырина Светлана Федоровна;Женский;Главный врач; ; ; ; ;4342,6044;10291,7733
107;Городская клиническая больница № 20;129327, город Москва, Ленская улица, дом 15; ;Городская клиническая больница № 20;ГКБ № 20; ;;;СВАО; ;Каприн Андрей Дмитриевич;мужской;Главный врач;(495) 471-10-44; ; ; ;10350,2671;22109,9987
108;Городская клиническая больница № 23 им. Медсантруд;109240, город Москва, Яузская улица, дом 11; ;Городская клиническая больница № 23 им. Медсантруд;ГКБ № 23 им. Медсантруд; ;;;ЦАО; ;Хрупкин Валерий Иванович;мужской;Главный врач;(495) 915-36-48; ; ; ;9365,9219;8926,6272
110;Городская клиническая больница № 29 им. Н.Э. Баумана;111020, город Москва, Госпитальная площадь, дом 2; ;Городская клиническая больница № 29 им. Н.Э. Баумана;ГКБ № 29 им. Баумана; ;;;ЮВАО; ;Дубровский Андрей Викторович;мужской;Главный врач;(499) 263-26-30; ; ; ;12735,6279;11145,5714
117;Городская клиническая больница № 50;127206, город Москва, Вучетича улица, дом 21; ;Городская клиническая больница № 50;ГКБ № 50; ;;;САО; ;Переходов Сергей Николаевич;мужской;Главный врач;(499) 760-79-33; ; ; ;3589,4883;16101,7438
120;Городская клиническая больница № 53;115432, город Москва, Трофимова улица, дом 26; ;Городская клиническая больница № 53;ГКБ № 53; ;;;ЮВАО; ;Аракелов Сергей Эрнестович;мужской;Главный врач;(495) 958-95-59; ; ; ;11402,1447;3912,1011
122;Городская клиническая больница № 57;105077, город Москва, Парковая 11-я улица, дом 32; ;Городская клиническая больница № 57;ГКБ № 57; ;;;ВАО; ;Назарова Ирина Александровна;Женский;Главный врач;(495) 465-83-52; ; ; ;19347,266;14658,5891
123;Городская клиническая больница № 59;127473, город Москва, Достоевского улица, дом 31/33; ;Городская клиническая больница № 59;ГКБ № 59; ;;;ЦАО; ;Бахитов Вячеслав Витальевич;мужской;Главный врач;(499) 978-65-21; ; ; ;6712,2898;13079,1779
124;Городская клиническая больница № 6;105066, город Москва, Басманная Новая улица, дом 26; ;Городская клиническая больница № 6;ГКБ № 6; ;;;ЦАО; ;Шапкин Николай Михайлович;мужской;Главный врач;(499) 261-04-08; ; ; ;10482,8672;11425,6218
588;Городская клиническая больница № 61;119048, город Москва, Доватора улица, дом 15; ;Городская клиническая больница № 61;ГКБ № 61; ;;;ЦАО; ;Соболев Константин Эдуардович;мужской;Главный врач;(499) 246-96-20; ; ; ;4259,1141;6144,4456
126;Городская клиническая больница № 63;129090, город Москва, Дурова улица, дом 26; ;Городская клиническая больница № 63;ГКБ № 63; ;;;ЦАО; ;Калинин Владимир Анатольевич;мужской;Главный врач;(495) 681-20-66; ; ; ;8047,4121;12379,5428
127;Городская клиническая больница № 64;117292, город Москва, Вавилова улица, дом 61; ;Городская клиническая больница № 64;ГКБ № 64; ;;;ЮЗАО; ;Крапивин Андрей Александрович;мужской;Главный врач;(499) 134-64-79; ; ; ;3758,4774;2273,5601
129;Городская клиническая больница № 68;109263, город Москва, Шкулева улица, дом 4; ;Городская клиническая больница № 68;ГКБ № 68; ;;;ЮВАО; ;Галь Игорь Геннадиевич;мужской;Главный врач;(499) 179-66-22; ; ; ;15824,1294;2947,103
132;Городская клиническая больница № 71;121374, город Москва, Можайское шоссе, дом 14; ;Городская клиническая больница № 71;ГКБ № 71; ;;;ЗАО; ;Мясников Александр Леонидович;мужской;Главный врач;(495) 440-20-93; ; ; ;-4036,1678;6055,3021
135;Городская клиническая больница им. С.П.Боткина;125284, город Москва, Боткинский 2-й проезд, дом 5; ;Городская клиническая больница им. С.П.Боткина;ГКБ им. Боткина; ;;;ДЗ; ;Яковлев Владимир Николаевич;мужской;Главный врач;(495) 945-26-16; ; ; ;3469,4299;12815,8399
93;Городская больница № 3;124489, город Москва, Каштановая аллея, дом 2, корпус 1; ;Городская больница № 3;ГБ № 3; ;;;ЗелАО; ;Голоусиков Иван Яковлевич;мужской;Главный врач;(499) 735-64-29; ; ; ;-16615,1482;35298,1493
454;Городская больница № 43;127204, город Москва, Северный 1-я линия поселок, дом 27; ;Городская больница № 43;ГБ № 43; ;;;СВАО; ;Семерчев Демьян Петрович;мужской;Главный врач;(499) 767-87-11; ; ; ;3731,1914;30249,4755
754;Городская больница № 49;109429, город Москва, Капотня 2-й квартал, дом 16; ;Городская больница № 49;ГБ № 49; ;;;ЮВАО; ;Леков Руслан Муратович;мужской;Главный врач;(495) 355-36-38; ; ; ;19223,0444;-3119,7061
5;Городская клиническая больница № 54;107370, город Москва, Шитова набережная, дом 72; ;Городская клиническая больница № 54;ГБ № 54; ;;;ВАО; ;Нахаев Виктор Иванович;мужской;Главный врач;(499) 168-33-28; ; ; ;14581,3867;15544,2309
99;Городская больница № 56 филиал № 1;115093, город Москва, Щипковский 1-й переулок, дом 19; ;Городская больница № 56 филиал № 1;ГБ № 56 филиал № 1; ;;;ЮАО;ГБ № 56;Воднева Галина Михайловна;Женский;Главный врач;(499) 237-25-81; ; ; ;8311,3177;6372,2215
1040;ГБУЗ города Москвы Внуковская больница Департамента здравоохранения города Москвы;, город Москва, Внуковское поселок; ;ГБУЗ города Москвы Внуковская больница Департамента здравоохранения города Москвы;ГБ Внуковская; ;;;ТНАО; ;Словеснова Ираида Викторовна;Женский;Главный врач; ; ; ; ;-12403,4267;-6853,2969
1036;ГБУЗ города Москвы Вороновская больница Департамента здравоохранения города Москвы;, город Москва, Вороновское поселение; ;ГБУЗ города Москвы Вороновская больница Департамента здравоохранения города Москвы;ГБ Вороновская; ;;;ТНАО; ;Кисилева Марина Борисовна;Женский;Главный врач; ; ; ; ;-8349,3796;-16507,3864
1029;ГАУЗ города Москвы Троицкая городская больница Департамента здравоохранения города Москвы;, город Троицк, Октябрьский проспект, дом 5; ;ГАУЗ города Москвы Троицкая городская больница Департамента здравоохранения города Москвы;ГБ Троицкая; ;;;ТНАО; ;Герасименко Жаннетта Александровна;Женский;Главный врач; ; ; ; ;-9036,3716;-16828,7235
