0_Код;1_Название;1_Адрес;0_Признак закрытого ЛПУ;0_Полное наименование согласно документам;1_Краткое наименование;0_Причина закрытия;0_Дата закрытия;0_Дата повторного открытия после закрытия;1_Административный округ по территориальной принадлежности;0_Главное ЛПУ;1_Руководитель;0_Пол руководителя;1_Должность руководителя;1_Телефон руководителя;0_Общий телефон;0_Факс;0_Часы работы;0_Рабочие дни;1_Выходные дни;0_Тип Выходного;0_Платные услуги;0_Беслатные услуги;0_Обнспечение лекарствами;0_Доп информация;0_X;0_Y
445;Городская стоматологическая поликлиника № 49;125413, город Москва, Солнечногорский проезд, дом 9; ;Государственное  бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 49  Департамента здравоохранения  города Москвы»;СП № 49; ;;;САО; ;Аверина Светлана Дмитриевна;женский;Главный врач;(495) 453-01-32;(495) 453-01-32; ; ; ; ; ; ; ; ; ;1626,5232;21452,5081
522;Стоматологическая поликлиника № 32;129327, город Москва, Чукотский проезд, дом 8; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 32  Департамента здравоохранения  города Москвы»;СП № 32; ;;;СВАО; ;Михайлова Любовь Александровна;женский;Главный врач;(499) 186-94-01;(499) 186-94-01; ; ; ; ; ; ; ; ; ;9674,7348;22508,763
524;Городская стоматологическая поликлиника № 61;127572, город Москва, Череповецкая улица, дом 15; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 61  Департамента здравоохранения города Москвы»;СП № 61; ;;;СВАО; ;Мансуров Фарит Фанович;мужской;Главный врач;(000) 000-00-00;(000) 000-00-00; ; ; ; ; ; ; ; ; ;5424,1469;25870,9393
822;Стоматологическая поликлиника № 34;109263, город Москва, Текстильщиков 7-я улица, дом 16; ;Государственное  бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 34  Департамента здравоохранения города Москвы»;СП № 34; ;;;ЮВАО; ;Крутер Ирина Викторовна;женский;Главный врач;(499) 179-10-10;(499) 179-10-10; ; ; ; ; ; ; ; ; ;15695,2623;3136,3623
667;Стоматологическая поликлиника № 66;109316, город Москва, Сосинский проезд, дом 8; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 66  Департамента здравоохранения города Москвы»;СП № 66; ;;;ЦАО; ;Фролова Александра Ивановна;женский;Главный врач;(495) 674-34-97;(495) 674-34-97; ; ; ; ; ; ; ; ; ;11063,8254;6800,3858
823;Стоматологическая поликлиника № 4;109052, город Москва, Рязанский проспект, дом 11; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 4  Департамента здравоохранения  города Москвы»;СП № 4; ;;;ЮВАО; ;Аперян Манвел Седракович;мужской;Главный врач;(495) 657-17-02;(495) 657-17-02; ; ; ; ; ; ; ; ; ;15291,1767;7153,0157
83;Стоматологическая поликлиника № 22;111141, город Москва, Зеленый проспект, дом 10; ;Государственное бюджетное  учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 22  Департамента здравоохранения города Москвы»;СП № 22; ;;;ВАО; ;Батырбиев Эдуард Мухдинович;мужской;Главный врач;(495) 306-02-00;(495) 306-02-00; ; ; ; ; ; ; ; ; ;17660,2411;9213,0342
242;Городская стоматологическая поликлиника № 50;107140, город Москва, Красносельская Верхняя улица, дом 19; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 50 Департамента здравоохранения города Москвы»;СП № 50; ;;;ЦАО; ;Тамазов Мурат Владимирович;мужской;Главный врач;(499) 264-65-21;(499) 264-65-21; ; ; ; ; ; ; ; ; ;10426,7001;12760,755
896;Городская стоматологическая поликлиника № 64;117628, город Москва, Дмитрия Донского бульвар, дом 9, корпус 2; ;Государственное  бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 64  Департамента здравоохранения города Москвы»;СП № 64; ;;;ЮЗАО; ;Соколаев Ильман Идрисович;мужской;Главный врач;(495) 711-12-11;(495) 711-12-11; ; ; ; ; ; ; ; ; ;5102,9268;-10942,8624
747;Стоматологическая поликлиника № 62;115516, город Москва, Каспийская улица, дом 38; ;Государственное  бюджетное учреждение здравоохранения города Москвы «Городская стоматологическая поликлиника № 62  Департамента здравоохранения  города Москвы»;СП № 62; ;;;ЮАО; ;Харченко Олег Иванович;мужской;Главный врач;(495) 321-68-68;(495) 321-68-68; ; ; ; ; ; ; ; ; ;10560,4997;-5398,2056
895;Городская стоматологическая поликлиника № 48;117485, город Москва, Профсоюзная улица, дом 100; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 48  Департамента здравоохранения города Москвы»;СП № 48; ;;;ЮЗАО; ;Сидоренко Ирина Анатольевна;женский;Главный врач;(495) 336-67-75;(495) 336-67-75; ; ; ; ; ; ; ; ; ;1694,5679;-2439,0082
243;Стоматологическая поликлиника № 51;109651, город Москва, Донецкая улица, дом 9; ;Государственное  бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 51 Департамента здравоохранения города Москвы»;СП № 51; ;;;ЮВАО; ;Рабинович Леонид Михайлович;мужской;Главный врач;(495) 356-74-51;(495) 356-74-51; ; ; ; ; ; ; ; ; ;13827,995;-1892,567
746;Стоматологическая поликлиника № 24;117556, город Москва, Симферопольский бульвар, дом 15; ;Государственное бюджетное учреждение здравоохранения города Москвы «Городская стоматологическая поликлиника № 24  Департамента здравоохранения города Москвы»;СП № 24; ;;;ЮАО; ;Макарова Наталия Борисовна;женский;Главный врач;(499) 610-73-52;(499) 610-73-52; ; ; ; ; ; ; ; ; ;6789,0222;-1317,0175
348;Стоматологическая поликлиника № 2;119415, город Москва, Удальцова улица, дом 8; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 2 Департамента здравоохранения  города Москвы»;СП № 2; ;;;ЗАО; ;Кочеров Александр Михайлович;мужской;Главный врач;(000) 000-00-00;(000) 000-00-00; ; ; ; ; ; ; ; ; ;1080,1819;820,1939
821;Стоматологическая поликлиника № 27;115193, город Москва, Кожуховская 6-я улица, дом 21; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 27  Департамента здравоохранения города Москвы;СП № 27; ;;;ЮВАО; ;Коваленко Алексей Николаевич;мужской;Главный врач;(495) 677-58-86;(495) 677-58-86; ; ; ; ; ; ; ; ; ;11197,2633;4496,7669
349;Стоматологическая поликлиника № 23;121059, город Москва, Дорогомиловская Большая улица, дом 1; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 23  Департамента здравоохранения города Москвы»;СП № 23; ;;;ЗАО; ;Стилиди Галина Георгиевна;женский;Главный врач;(499) 243-44-14;(499) 243-44-14; ; ; ; ; ; ; ; ; ;4087,8458;8742,0885
820;Городская стоматологическая поликлиника № 13;111116, город Москва, Энергетическая улица, дом 22; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 13  Департамента здравоохранения города Москвы»;СП № 13; ;;;ЮВАО; ;Шияфетдинов Абдулбарий Абдурахманович;мужской;Главный врач;(495) 362-04-09;(495) 362-04-09; ; ; ; ; ; ; ; ; ;13621,425;9994,9814
350;Стоматологическая поликлиника № 5;121614, город Москва, Крылатская улица, дом 21; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 5  Департамента здравоохранения   города Москвы»;СП № 5; ;;;ЗАО; ;Маркин Юрий Валентинович;мужской;Главный врач;(495) 415-16-64;(495) 415-16-64; ; ; ; ; ; ; ; ; ;-5088,3919;11621,0211
575;Стоматологическая поликлиника № 55;123154, город Москва, Генерала Карбышева бульвар, дом 19, корпус 5; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 55  Департамента здравоохранения города Москвы»;СП № 55; ;;;СЗАО; ;Уманская Наталья Гульвардовна;женский;Главный врач;(499) 192-17-83;(499) 192-17-83; ; ; ; ; ; ; ; ; ;-1933,2186;12931,6263
665;Стоматологическая поликлиника № 33;127055, город Москва, Тихвинский переулок, дом 20; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 33  Департамента здравоохранения города Москвы»;СП № 33; ;;;ЦАО; ;Непряхина Галина Владимировна;женский;Главный врач;(499) 978-19-04;(499) 978-19-04; ; ; ; ; ; ; ; ; ;6367,3529;13423,6351
443;Городская стоматологическая поликлиника № 11;127015, город Москва, Квесисская 2-я улица, дом 4; ;Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 11  Департамента здравоохранения  города Москвы»;СП № 11; ;;;САО; ;Ярыгин Сергей Викторович;мужской;Главный врач;(495) 685-79-85;(495) 685-79-85; ; ; ; ; ; ; ; ; ;5209,9723;14328,4248
