№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 514	115142 г. Москва, Коломенская наб. д.16	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	(499) 615-76-18	http://sch514.edusite.ru
2	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (греческим) компонентом образования № 551	113556 г.Москва, Чонгарский б-р, д.12	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	(499) 610-56-98; (499) 619-37-19	http://sch551.edusite.ru/
3	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа города Москвы с этнокультурным (русским) компонентом образования № 996	115563 г.Москва, Борисовский проезд, д. 13	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	390-07-09	http://www.sch996.edusite.ru
4	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским)компонентом образования № 667	117403 г. Москва Востряковский проезд, 13а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	(495) 383-36-66	http://sch667.edusite.ru/
5	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным корейским компонентом образования № 1086	117279, г.Москва, ул.Введенского, д.32-А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	420-23-66	http://koreanschool1086.mosuzedu.ru
6	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным русским компонентом образования № 1316	127221, г. Москва, улица Молодцова, дом 4, строение 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	(495) 477-00-72; (495) 477-31-10; (495) 477-45-41	http://www.schn1316.svao.mskobr.ru
7	Государственное бюджетное образовательное учреждение города Москвы средняя  общеобразовательная  школа с этнокультурным (национальным) компонентом образования №1650	109240 г.Москва, ул.Солянка, д.14 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	(495) 623-74-93; (495) 625-12-02; (495) 623-13-95	http://schoolofelia.com/
8	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 838	115487 г. Москва, ул. Новинки,дом 8	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	(499) 618-13-03	http://sch838.edusite.ru/
9	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 868	115516 г. Москва, ул. Севанская, дом №13 корп.2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	325-28-66	http://sch868.edusite.ru/
10	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 877	115404 Москва, Бирюлевская, 23 к.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	(495) 327-19-41	http://sch877.edusite.ru/
11	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным русским компонентом  образования № 1148 имени Ф.М.Достоевского	109387, г. Москва, ул. Краснодонская д.2, кор.4	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	350-56-88	http://sch1148.uvuo.ru
12	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным(еврейским)компонентом образования № 1871	101000 г. Москва, ул. Мясницкая, д.40	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	730-87-51	
13	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 1107	117593, г.Москва, Соловьиный проезд, дом 4, корпус 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	426-95-11	http://shc1107.my1.ru
14	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (грузинским) компонентом образования № 1331	121002 г.Москва, Сивцев Вражек пер., д.18	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	(499) 978-97-58; (499) 973-56-55; (499) 978-70-58	http://www.school1331.ru
15	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным  (русским) компонентом образования № 1022	111621, г.Москва, Муромская ул., д.1А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	700-00-80	http://1022.ucoz.ru
16	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным русским компонентом образования № 141	123308,  г. Москва, ул. Зорге, д. 4	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	(499) 943-07-88	http://s141.ru
17	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным азербайджанским компонентом образования № 157 имени К.А. Керимова	125493 г. Москва, Кронштадский б-р, д.33	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	453-91-07	http://schse157.mskobr.ru
18	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 167 имени Маршала Л.А.Говорова	125195, г. Москва, ул. Смольная, д.37-А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	457-70-41	-
19	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным татарским компонентом образования № 1186 имени Мусы Джалиля	109559 Белореченская улица, 19, к.2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	359-57-47	http://www.tatschool1186.ru
20	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным литовским компонентом образования № 1247 имени Юргиса Балтрушайтиса	105005 г.Москва, Госпитальный пер., д.3, стр.1 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	(499) 267-75-36; (499) 267-28-81; (499) 267-20-48	http://sch1247.ru/
21	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (еврейским) компонентом образования № 1621	107078 Москва, Малый Козловский пер., д.3а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	624-01-58	http://sch1621.ru
22	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (грузинским) компонентом образования №223	125171 3-я Радиаторская улица, д. 8а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	(499) 159-13-24	http://sch223.ucoz.org
