1_Номер;0_name;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Количество квартир;0_moddate;0_moduser
93;Ялтинская 10 к.1                                                                                                                                                                                                                                              ;Ялтинская 10 к.1                                                                                                                                                                                                                                              ;Ялтинская 10 к.1                                                                                                                                                                                                                                              ;6922,3977;-2046,958237;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;401;12:00:00 AM;                                                                                                    
94;Нагатинская набережная 60 кор.4.                                                                                                                                                                                                                              ;Нагатинская набережная 60 кор.4.                                                                                                                                                                                                                              ;Нагатинская набережная 60 кор.4.                                                                                                                                                                                                                              ;12002,71974;2409,458589;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;124;12:00:00 AM;                                                                                                    
95;Высокая 12                                                                                                                                                                                                                                                    ;Высокая 12                                                                                                                                                                                                                                                    ;Высокая 12                                                                                                                                                                                                                                                    ;9975,9656;1434,983443;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;390;12:00:00 AM;                                                                                                    
96;Борисовские пруды 15 к.1                                                                                                                                                                                                                                      ;Борисовские пруды 15 к.1                                                                                                                                                                                                                                      ;Борисовские пруды 15 к.1                                                                                                                                                                                                                                      ;13957,58358;-3433,476113;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;134;12:00:00 AM;                                                                                                    
97;Кубанская 12 к.3                                                                                                                                                                                                                                              ;Кубанская 12 к.3                                                                                                                                                                                                                                              ;Кубанская 12 к.3                                                                                                                                                                                                                                              ;15218,64166;1816,110013;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;82;12:00:00 AM;                                                                                                    
98;Варшавское ш. 108                                                                                                                                                                                                                                             ;Варшавское ш. 108                                                                                                                                                                                                                                             ;Варшавское ш. 108                                                                                                                                                                                                                                             ;7556,96405;-2698,027322;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;263;12:00:00 AM;                                                                                                    
99;Наметкина 11 к.1                                                                                                                                                                                                                                              ;Наметкина 11 к.1                                                                                                                                                                                                                                              ;Наметкина 11 к.1                                                                                                                                                                                                                                              ;3577,067429;-317,4457365;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;272;12:00:00 AM;                                                                                                    
100;Вильнюсская 17                                                                                                                                                                                                                                                ;Вильнюсская 17                                                                                                                                                                                                                                                ;Вильнюсская 17                                                                                                                                                                                                                                                ;1298,4589;-7805,899499;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;192;12:00:00 AM;                                                                                                    
101;Симферопольский бульвар 24 к.6                                                                                                                                                                                                                                ;Симферопольский бульвар 24 к.6                                                                                                                                                                                                                                ;Симферопольский бульвар 24 к.6                                                                                                                                                                                                                                ;6643,59634;-2103,809887;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;184;12:00:00 AM;                                                                                                    
102;Боровское ш. 20 к.1                                                                                                                                                                                                                                           ;Боровское ш. 20 к.1                                                                                                                                                                                                                                           ;Боровское ш. 20 к.1                                                                                                                                                                                                                                           ;-8214,2591;-1924,199539;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;254;12:00:00 AM;                                                                                                    
103;Боровское ш. 20 к.2                                                                                                                                                                                                                                           ;Боровское ш. 20 к.2                                                                                                                                                                                                                                           ;Боровское ш. 20 к.2                                                                                                                                                                                                                                           ;-8323,637611;-1858,129333;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;424;12:00:00 AM;                                                                                                    
104;Боровское ш. 18 к.3                                                                                                                                                                                                                                           ;Боровское ш. 18 к.3                                                                                                                                                                                                                                           ;Боровское ш. 18 к.3                                                                                                                                                                                                                                           ;-8190,2049;-1814,937584;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;330;12:00:00 AM;                                                                                                    
105;Чечерский проезд 56 к.2                                                                                                                                                                                                                                       ;Чечерский проезд 56 к.2                                                                                                                                                                                                                                       ;Чечерский проезд 56 к.2                                                                                                                                                                                                                                       ;1952,2982;-14913,33756;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;186;12:00:00 AM;                                                                                                    
106;Большая Очаковская 32                                                                                                                                                                                                                                         ;Большая Очаковская 32                                                                                                                                                                                                                                         ;Большая Очаковская 32                                                                                                                                                                                                                                         ;-2971,71365;1465,384937;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;130;12:00:00 AM;                                                                                                    
107;Большая Очаковская 28                                                                                                                                                                                                                                         ;Большая Очаковская 28                                                                                                                                                                                                                                         ;Большая Очаковская 28                                                                                                                                                                                                                                         ;-2826,69225;1579,117735;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;102;12:00:00 AM;                                                                                                    
108;Большая Очаковская 26                                                                                                                                                                                                                                         ;Большая Очаковская 26                                                                                                                                                                                                                                         ;Большая Очаковская 26                                                                                                                                                                                                                                         ;-2773,393225;1622,547256;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;112;12:00:00 AM;                                                                                                    
109;Высокая 12                                                                                                                                                                                                                                                    ;Высокая 12                                                                                                                                                                                                                                                    ;Высокая 12                                                                                                                                                                                                                                                    ;9975,9656;1434,983443;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;390;12:00:00 AM;                                                                                                    
110;Богданова 10 к.2                                                                                                                                                                                                                                              ;Богданова 10 к.2                                                                                                                                                                                                                                              ;Богданова 10 к.2                                                                                                                                                                                                                                              ;-6308,66015;-1296,367096;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;254;12:00:00 AM;                                                                                                    
111;Мичуринский проспект 27 к.3                                                                                                                                                                                                                                   ;Мичуринский проспект 27 к.3                                                                                                                                                                                                                                   ;Мичуринский проспект 27 к.3                                                                                                                                                                                                                                   ;166,88245;3246,423054;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;224;12:00:00 AM;                                                                                                    
112;Матвеевская 36                                                                                                                                                                                                                                                ;Матвеевская 36                                                                                                                                                                                                                                                ;Матвеевская 36                                                                                                                                                                                                                                                ;-2415,9032;4216,028045;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;264;12:00:00 AM;                                                                                                    
113;Можайское ш. 45 к.2                                                                                                                                                                                                                                           ;Можайское ш. 45 к.2                                                                                                                                                                                                                                           ;Можайское ш. 45 к.2                                                                                                                                                                                                                                           ;-5670,32995;5352,11935;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;128;12:00:00 AM;                                                                                                    
114;Ватутина 18 к.2                                                                                                                                                                                                                                               ;Ватутина 18 к.2                                                                                                                                                                                                                                               ;Ватутина 18 к.2                                                                                                                                                                                                                                               ;-2897,025399;6167,233294;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;124;12:00:00 AM;                                                                                                    
115;Героев Панфиловцев 4                                                                                                                                                                                                                                          ;Героев Панфиловцев 4                                                                                                                                                                                                                                          ;Героев Панфиловцев 4                                                                                                                                                                                                                                          ;-3658,574806;20741,07036;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;216;12:00:00 AM;                                                                                                    
