0_Номер;Наименование организации;Сумма задолженности на дату представления, руб.;Примечание
1;"Открытое акционерное общество ""Хлебозавод № 6""";876702245.10;
2;"Открытое акционерное общество ""ПРОИЗВОДСТВЕННО-ТОРГОВЫЙ КОМПЛЕКС ""ЗЕЛЕНОГРАДСКИЙ"" ";110994123.16;*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности 
3;"Государственное унитарное предприятие города Москвы ""Центр-Сити""";95233546.77;
4;"Открытое акционерное общество ""Московский металлургический завод ""Серп и Молот""";52630989.96;*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности 
5;"Открытое акционерное общество Инвестиционная компания ""МИР ФАНТАЗИЙ""";51854769.83;
6;"Закрытое акционерное общество ""Строительное управление № 155""";47321845.71;*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности 
7;"Общество с ограниченной ответственностью ""ПСФ ""Крост""";44967580.48;*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности 
8;"Закрытое акционерное общество ""Станкострой-8""";44736189.44;
9;"Общество с ограниченной ответственностью ""Комплекс-Строй""";44021169.74;
10;"Закрытое акционерное общество ""СК Строймонтаж""";41522238.82;
11;"Открытое акционерное общество ""Московский завод холодильного машиностроения ""Компрессор""";35318297.90;*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности 
12;"Общество с ограниченной ответственностью ""Роки Бридж""";33938805.44;
13;"Открытое акционерное общество ""КАЛИБРОВСКИЙ ЗАВОД""";32569886.35;
14;"Открытое акционерное общество ""ТУШИНСКИЙ МАШИНОСТРОИТЕЛЬНЫЙ ЗАВОД""";30474502.84;*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности 
15;"Государственное унитарное предприятие  города Москвы ""Мосавтотранс""";29274465.20;*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности 
16;"Общество с ограниченной ответственностью ""МаркСтрой""";28908351.86;
17;"Закрытое акционерное общество ""Европейское экологическое сообщество""";26802372.66;*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности 
18;"Открытое акционерное московское общество ""ЗАВОД ИМЕНИ И.А.ЛИХАЧЕВА"" (АМО ЗИЛ)";24814886.93;*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности 
19;"Закрытое акционерное общество ""ИНК-строй""";24562197.68;
20;"Открытое акционерное общество ""Московское производственное химико-фармацевтическое объединение имени Н.А.Семашко""";20450415.07;
21;"Общество с ограниченной ответственностью ""Рибералта Инвестмент Лимитед""";19690060.55;
22;"Закрытое акционерное общество ""Флейнер-Сити""";19518715.35;
23;"Открытое акционерное общество ""ПАССАЖИРСКИЙ ПОРТ""";17579843.46;
