№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа надомного обучения" №196	117334 г. Москва, 5-ый  Донской пр-д, д.21а,корп.29	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа надомного обучения"	(495) 954-47-47; (495) 954-41-75; (495) 954-52-02	http://school196.ru
2	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа надомного обучения" № 542	119602 г.Москва, ул.Покрышкина, д. 9	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа надомного обучения"	(499) 792-08-51	http://shnd542.mskzapad.ru
3	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа надомного обучения" № 410	129226, г. Москва, ул. Докукина, д. 5 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа надомного обучения"	(499) 187-89-97	http://shnd410.svao.mskobr.ru/
4	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа надомного обучения" № 1975	119634 г.Москва, ул. Шолохова, д.9, корп.3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа надомного обучения"	732-96-80	http://shnd1975.zao.mskzapad.ru
5	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа надомного обучения" № 334	105425, г. Москва, ул. 7-я Парковая, д.33, кор.5	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа надомного обучения"	(499) 164-57-59	http://schv334.mskobr.ru
6	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа надомного обучения" № 370	119449, г. Москва, улица Винокурова, дом 3Б	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа надомного обучения"	(499) 126-75-23	http://shkola370.narod.ru
7	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа надомного обучения" № 379	121609 г.Москва, ул. Крылатские холмы, д.13	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа надомного обучения"	413-27-75	http://shnd379.mskzapad.ru
8	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа надомного обучения" № 367	124527, г. Москва, Зеленоград, корп. 864	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа надомного обучения"	(499) 729-81-82	http://zou.ru/s367test/
9	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа надомного обучения» № 265	127562, г. Москва, Алтуфьевское шоссе, д. 24 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа надомного обучения"	(499) 201-01-01	http://www.scnd265.svao.mskobr.ru
10	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа надомного обучения" № 388	127349, город Москва, Шенкурский проезд, дом 9	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа надомного обучения"	909-15-98	http://www.shnd388.svao.mskobr.ru
11	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа надомного обучения" № 371	115172 г.Москва, Краснохолмская набер., д.1/15	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа надомного обучения"	911-30-63	http://schn371.cao.mskobr.ru/
12	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа надомного обучения" № 526	125171 Г. Москва, Ленинрадское ш.,дом 8/2, строение 1Б	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа надомного обучения"	(495) 708-28-99	http://sch526.sao.mskobr.ru/
13	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа надомного обучения" № 1673 "Поддержка"	123458, г. Москва, ул. Таллинская, д. 3, корп. 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа надомного обучения"	758-67-02	http://sch1673sz.ucoz.ru/
