1_Номер;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Электронная почтаl
1;Государственное бюджетное учреждение культуры города Москвы «Центральная универсальная научная библиотека имени Н.А.Некрасова»                                                                                                                                ;ГБУК г.Москвы «Центральная универсальная научная библиотека имени Н.А.Некрасова»                                                                                                                                                                              ;105005, г.Москва, ул. Бауманская, д.58/25 стр.14                                                                                                                                                                                                              ;11333,4376;11160,22185;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Басманный                                                                                                                                                                                                                                                     ;123104, г.Москва, Тверской б-р, д.27/20/1                                                                                                                                                                                                                     ;(495) 916-90-68                                                                                                                                                                                                                                               ;(495) 916-90-68                                                                                                                                                                                                                                               ;nekrasovka.ru                                                                                                                                                                                                                                                 ;nekrasovka2006@yandex.ru                                                                                                                                                                                                                                      
2;Государственное бюджетное учреждение культуры города Москвы «Центральная универсальная научная библиотека имени Н.А.Некрасова»                                                                                                                                ;ГБУК г.Москвы «Центральная универсальная научная библиотека имени Н.А.Некрасова»                                                                                                                                                                              ;115088, г.Москва, ул. Угрешская, д.2 стр.35                                                                                                                                                                                                                   ;11780,40028;4896,474798;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Басманный                                                                                                                                                                                                                                                     ;123104, г.Москва, Тверской б-р, д.27/20/1                                                                                                                                                                                                                     ;(495) 916-90-68                                                                                                                                                                                                                                               ;(495) 916-90-68                                                                                                                                                                                                                                               ;nekrasovka.ru                                                                                                                                                                                                                                                 ;nekrasovka2006@yandex.ru                                                                                                                                                                                                                                      
3;Государственное бюджетное учреждение культуры города Москвы «Дом Н.В.Гоголя — мемориальный музей и научная библиотека»                                                                                                                                        ;ГБУК г.Москвы «Дом Н.В.Гоголя — мемориальный музей и научная библиотека»                                                                                                                                                                                      ;119019, г.Москва, Никитский б-р, д.7а                                                                                                                                                                                                                         ;6366,2126;9704,383202;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Арбат                                                                                                                                                                                                                                                         ;119019, г.Москва, Никитский б-р, д.7а                                                                                                                                                                                                                         ;(495) 691-15-50                                                                                                                                                                                                                                               ;(495) 691-15-50                                                                                                                                                                                                                                               ;domgogolya.ru                                                                                                                                                                                                                                                 ;sekretar@domgogolya.ru                                                                                                                                                                                                                                        
4;Государственное бюджетное учреждение культуры города Москвы «Центральная городская юношеская библиотека имени М.А.Светлова»                                                                                                                                   ;ГБУК г.Москвы «Центральная городская юношеская библиотека имени М.А.Светлова»                                                                                                                                                                                 ;123001, г.Москва, ул. Большая Садовая, д.1                                                                                                                                                                                                                    ;5798,14745;11058,97165;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Пресненский                                                                                                                                                                                                                                                   ;123001, г.Москва, ул. Большая Садовая, д.1                                                                                                                                                                                                                    ;(495) 650-49-83                                                                                                                                                                                                                                               ;(495) 650-49-83                                                                                                                                                                                                                                               ;svetlovka.ru                                                                                                                                                                                                                                                  ;svetlovka@inbox.ru                                                                                                                                                                                                                                            
5;Государственное бюджетное учреждение культуры города Москвы «Центральная городская юношеская библиотека имени М.А.Светлова»                                                                                                                                   ;ГБУК г.Москвы «Центральная городская юношеская библиотека имени М.А.Светлова»                                                                                                                                                                                 ;123001, г.Москва, ул. Садовая-Кудринская, д.23                                                                                                                                                                                                                ;5731,228691;10978,93661;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Пресненский                                                                                                                                                                                                                                                   ;123001, г.Москва, ул. Большая Садовая, д.2                                                                                                                                                                                                                    ;(495) 650-49-83                                                                                                                                                                                                                                               ;(495) 650-49-83                                                                                                                                                                                                                                               ;svetlovka.ru                                                                                                                                                                                                                                                  ;svetlovka@inbox.ru                                                                                                                                                                                                                                            
6;Государственное бюджетное учреждение культуры города Москвы «Центральная городская детская библиотека имени А.П.Гайдара»                                                                                                                                      ;ГБУК г.Москвы «Центральная городская детская библиотека имени А.П.Гайдара»                                                                                                                                                                                    ;119121, г.Москва, Ростовская наб., д.5                                                                                                                                                                                                                        ;4791,050025;8357,797778;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Хамовники                                                                                                                                                                                                                                                     ;119034, г.Москва, Коробейников пер., д.22 стр.2                                                                                                                                                                                                               ;(495) 637-14-90, (495) 637-14-89                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;gaidarovka.ru                                                                                                                                                                                                                                                 ;lib@gaidarovka.ru                                                                                                                                                                                                                                             
7;Государственное бюджетное учреждение культуры города Москвы «Центральная городская детская библиотека имени А.П.Гайдара»                                                                                                                                      ;ГБУК г.Москвы «Центральная городская детская библиотека имени А.П.Гайдара»                                                                                                                                                                                    ;119270, г.Москва, ул. 3-я Фрунзенская, д.9                                                                                                                                                                                                                    ;4938,597221;6036,448357;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Хамовники                                                                                                                                                                                                                                                     ;119034, г.Москва, Коробейников пер., д.22 стр.3                                                                                                                                                                                                               ;(495) 637-14-90, (495) 637-14-90                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;gaidarovka.ru                                                                                                                                                                                                                                                 ;lib@gaidarovka.ru                                                                                                                                                                                                                                             
8;Государственное бюджетное учреждение культуры города Москвы «ЦБС №1 ЦАО»                                                                                                                                                                                      ;ГБУК г.Москвы «ЦБС №1 ЦАО»                                                                                                                                                                                                                                    ;105066, г.Москва, ул. Спартаковская, д.9                                                                                                                                                                                                                      ;10925,45008;11711,39889;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Басманный                                                                                                                                                                                                                                                     ;105066, г.Москва, ул. Спартаковская, д.9                                                                                                                                                                                                                      ;(499) 261-35-05, (499) 267-57-20                                                                                                                                                                                                                              ;(499) 261-35-05, (499) 267-57-20                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;cb112pushkin@mail.ru                                                                                                                                                                                                                                          
9;Детская библиотека №6                                                                                                                                                                                                                                         ;Детская библиотека №6                                                                                                                                                                                                                                         ;105062, г.Москва, Чистопрудный б-р, д.19/1 стр.3                                                                                                                                                                                                              ;9274,7126;10479,83992;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Басманный                                                                                                                                                                                                                                                     ;105066, г.Москва, ул. Спартаковская, д.9                                                                                                                                                                                                                      ;(499) 261-35-05, (499) 267-57-20                                                                                                                                                                                                                              ;(499) 261-35-05, (499) 267-57-20                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;cb112pushkin@mail.ru                                                                                                                                                                                                                                          
10;Библиотека №7 им. В.А. Жуковского                                                                                                                                                                                                                             ;Библиотека №7 им. В.А. Жуковского                                                                                                                                                                                                                             ;103062, г.Москва, Лялин пер., д.24/26 стр.2                                                                                                                                                                                                                   ;9727,426093;10008,5839;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Басманный                                                                                                                                                                                                                                                     ;105066, г.Москва, ул. Спартаковская, д.9                                                                                                                                                                                                                      ;(499) 261-35-05, (499) 267-57-20                                                                                                                                                                                                                              ;(499) 261-35-05, (499) 267-57-20                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;cb112pushkin@mail.ru                                                                                                                                                                                                                                          
