0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Муниципальный район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
35;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств «Старт» архитектурно-художественного профиля»                                                                                    ;ГБОУ ДОД г.Москвы «Детская школа искусств «Старт» архитектурно-художественного профиля»                                                                                                                                                                       ;123242, г.Москва, ул. Зоологическая, д.18                                                                                                                                                                                                                     ;5294,14485;10930,77215;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Пресненский                                                                                                                                                                                                                                                   ;123242, г.Москва, ул. Зоологическая, д.18                                                                                                                                                                                                                     ;(495) 605-99-46, (495) 605-99-42                                                                                                                                                                                                                              ;(495) 605-99-42                                                                                                                                                                                                                                               ;startschool.narod.ru                                                                                                                                                                                                                                          ;startartschool@gmail.com                                                                                                                                                                                                                                      
38;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени И.С.Баха»                                                                                                                  ;ГБОУ ДОД г.Москвы «Детская школа искусств имени И.С.Баха»                                                                                                                                                                                                     ;127486, г.Москва, Бескудниковский б-р, д.53а                                                                                                                                                                                                                  ;2749,649325;22729,39048;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Бескудниковский                                                                                                                                                                                                                                               ;127486, г.Москва, Бескудниковский б-р, д.53а                                                                                                                                                                                                                  ;(495) 489-52-36                                                                                                                                                                                                                                               ;(495) 489-52-36                                                                                                                                                                                                                                               ;uksao.ru                                                                                                                                                                                                                                                      ;muzbach_21@mail.ru                                                                                                                                                                                                                                            
39;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств №6»                                                                                                                              ;ГБОУ ДОД г.Москвы «Детская школа искусств №6»                                                                                                                                                                                                                 ;125183, г.Москва, ул. Генерала Рычагова, д.20а                                                                                                                                                                                                                ;2586,8516;19320,39917;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Коптево                                                                                                                                                                                                                                                       ;125183, г.Москва, ул. Генерала Рычагова, д.20а                                                                                                                                                                                                                ;(499) 153-55-21, (499) 153-58-30                                                                                                                                                                                                                              ;(499) 153-55-21, (499) 153-58-30                                                                                                                                                                                                                              ;saoartshool.ru                                                                                                                                                                                                                                                ;shkola-iskysstv6@mail.ru                                                                                                                                                                                                                                      
47;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств №17»                                                                                                                             ;ГБОУ ДОД г.Москвы «Детская школа искусств №17»                                                                                                                                                                                                                ;125599, г.Москва, ул. Бусиновская горка, д.5                                                                                                                                                                                                                  ;-257,146269;23980,46536;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Западное Дегунино                                                                                                                                                                                                                                             ;125599, г.Москва, ул. Бусиновская горка, д.5                                                                                                                                                                                                                  ;(495) 486-57-51                                                                                                                                                                                                                                               ;(495) 486-57-51                                                                                                                                                                                                                                               ;uksao.ru                                                                                                                                                                                                                                                      ;dshi17@list.ru                                                                                                                                                                                                                                                
49;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени Е.Ф.Светланова»                                                                                                            ;ГБОУ ДОД г.Москвы «Детская школа искусств имени Е.Ф.Светланова»                                                                                                                                                                                               ;129626, г.Москва, Кулаков пер., д.7                                                                                                                                                                                                                           ;8855,9251;15341,73149;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Алексеевский                                                                                                                                                                                                                                                  ;129626, г.Москва, Кулаков пер., д.7                                                                                                                                                                                                                           ;(495) 615-68-56                                                                                                                                                                                                                                               ;(495) 615-68-56                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dsisvetlanova@mail.ru                                                                                                                                                                                                                                         
51;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств №7»                                                                                                                              ;ГБОУ ДОД г.Москвы «Детская школа искусств №7»                                                                                                                                                                                                                 ;129336, г.Москва, ул. Таймырская, д.5                                                                                                                                                                                                                         ;12436,11929;24218,54718;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Лосиноостровский                                                                                                                                                                                                                                              ;129336, г.Москва, ул. Таймырская, д.5                                                                                                                                                                                                                         ;(495) 474-57-07                                                                                                                                                                                                                                               ;(495) 474-57-07                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;4745707@list.ru                                                                                                                                                                                                                                               
52;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени С.И.Мамонтова»                                                                                                             ;ГБОУ ДОД г.Москвы «Детская школа искусств имени С.И.Мамонтова»                                                                                                                                                                                                ;129337, г.Москва, Ярославское ш., д.65                                                                                                                                                                                                                        ;12736,89065;22187,20981;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Ярославский                                                                                                                                                                                                                                                   ;129337, г.Москва, Ярославское ш., д.65                                                                                                                                                                                                                        ;(495) 183-40-38, (495) 183-18-10                                                                                                                                                                                                                              ;(495) 183-40-38                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;mamontovka_buh@mail.ru                                                                                                                                                                                                                                        
53;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени С.И.Мамонтова»                                                                                                             ;ГБОУ ДОД г.Москвы «Детская школа искусств имени С.И.Мамонтова»                                                                                                                                                                                                ;129337, г.Москва, Ярославское ш., д.118 корп.1                                                                                                                                                                                                                ;13260,44583;22384,36755;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Ярославский                                                                                                                                                                                                                                                   ;129337, г.Москва, Ярославское ш., д.65                                                                                                                                                                                                                        ;(495) 183-40-38, (495) 183-18-10                                                                                                                                                                                                                              ;(495) 183-40-38                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;mamontovka_buh@mail.ru                                                                                                                                                                                                                                        
56;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени А.С.Даргомыжского»                                                                                                         ;ГБОУ ДОД г.Москвы «Детская школа искусств имени А.С.Даргомыжского»                                                                                                                                                                                            ;129075, г.Москва, ул. Цандера, д.7 корп.2                                                                                                                                                                                                                     ;8192,500175;16915,39015;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Останкинский                                                                                                                                                                                                                                                  ;129075, г.Москва, ул. Цандера, д.7 корп.2                                                                                                                                                                                                                     ;(495) 602-21-69, (495) 602-21-67, (495) 686-21-61                                                                                                                                                                                                             ;(495) 602-21-69, (495) 686-21-61                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;dshi-darg@mail.ru                                                                                                                                                                                                                                             
73;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени Н.А.Римского-Корсакова                                                                                                     ;ГБОУ ДОД г.Москвы «Детская школа искусств имени Н.А.Римского-Корсакова                                                                                                                                                                                        ;111394, г.Москва, ул. Новогиреевская, д.58                                                                                                                                                                                                                    ;19011,50235;8990,218063;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Новогиреево                                                                                                                                                                                                                                                   ;111394, г.Москва, ул. Новогиреевская, д.58                                                                                                                                                                                                                    ;(495) 302-53-58                                                                                                                                                                                                                                               ;(495) 303-15-01                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;rimkor1@yandex.ru                                                                                                                                                                                                                                             
87;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств №14»                                                                                                                             ;ГБОУ ДОД г.Москвы «Детская школа искусств №14»                                                                                                                                                                                                                ;109145, г.Москва, ул. Пронская, д.7                                                                                                                                                                                                                           ;21871,36323;3869,46709;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Восточный АО                                                                                                                                                                                                                                              ;Выхино-Жулебино                                                                                                                                                                                                                                               ;109145, г.Москва, ул. Пронская, д.7                                                                                                                                                                                                                           ;(495) 705-57-22, (495) 705-61-71                                                                                                                                                                                                                              ;(495) 705-61-71                                                                                                                                                                                                                                               ;art14.ru                                                                                                                                                                                                                                                      ;art-school14@yandex.ru                                                                                                                                                                                                                                        
88;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени М.А.Балакирева»                                                                                                            ;ГБОУ ДОД г.Москвы «Детская школа искусств имени М.А.Балакирева»                                                                                                                                                                                               ;109444, г.Москва, ул. Ферганская, д.23                                                                                                                                                                                                                        ;20424,70705;4174,187632;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Восточный АО                                                                                                                                                                                                                                              ;Выхино-Жулебино                                                                                                                                                                                                                                               ;109444, г.Москва, ул. Ферганская, д.23                                                                                                                                                                                                                        ;(495) 709-19-09, (495) 709-26-33                                                                                                                                                                                                                              ;(495) 709-26-33                                                                                                                                                                                                                                               ;balakirevschool.ru                                                                                                                                                                                                                                            ;balakirevdsi@yandex.ru                                                                                                                                                                                                                                        
