0_OBJECTID;0_Shape;0_UID;1_Название объекта;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
1;POINT (4178895.0962999985 7518703.4086000025);4074.0;"Государственное автономное образовательное учреждение высшего профессионального образования города Москвы ""Московский институт открытого образования""";ГАОУ ВПО МИОО;125167, г. Москва, Авиационный пер., д. 6;2597.87658177;14805.6538479;18431.0;;;;;Автономное;Образовательное учреждение высшего профессионального образования;Институт;(495) 680-53-36;http://179.ru/
2;POINT (4137937.6338 7557225.358800001);4075.0;"Государственное бюджетное образовательное учреждение высшего профессионального образования города Москвы ""Московская государственная академия делового администрирования""";ГБОУ ВПО МГАДА;124460, г. Москва, Зеленоград, корп. 1140;-20373.6475469;36456.2703334;2135563.0;;;;;Бюджетное;Образовательное учреждение высшего профессионального образования;Академия;(499) 710-79-73;http://miba.ru/
3;POINT (4189000.5676000006 7513156.3352999985);4078.0;"Государственное бюджетное образовательное учреждение высшего профессионального образования города Москвы ""Московский городской психолого - педагогический университет""";ГБОУ ВПО МГППУ;127051 г. Москева, ул. Сретенка, д. 29;8296.85;11693.0335366;2128180.0;;;;;Бюджетное;Образовательное учреждение высшего профессионального образования;Университет;308-06-42;http://www.mgppu.ru/
4;POINT (4208760.594300002 7503828.238300003);8856.0;"Государственное автономное научное учреждение города Москвы ""Институт гуманитарного развития мегаполиса""";"ГАНУ ""ИГРМ""";105318 г. Москва, Семеновская пл., д. 4;19460.318795;6477.23147086;;;;;;Автономное;Образовательное учреждение высшего профессионального образования;Институт;(495) 694-52-26,(495) 694-11-89;http://igrm.info
5;POINT (4206307.0119 7499195.317400001);10227.0;Институт экономики и культуры;НОУ ВПО Институт экономики и культуры;109439 Волгоградский проспект, д. 138 корпус 3;18086.1126;3861.04562275;2128474.0;;;;;Негосударственное;Образовательное учреждение высшего профессионального образования;Институт;(495) 956-89-00,(495) 956-89-55;
6;POINT (4194966.400699999 7511781.877599999);5363.0;Межотраслевой институт повышения квалификации кадров по новым направлениям развития техники и технологии МГТУ имени Н. Э. Баумана;Межотраслевой институт повышения квалификации кадров по новым направлениям развити техники и технологии МГТУ имени Н. Э. Баумана;105005 2-я Бауманская улица, д.5;11662.28615;10927.3173789;2106203.0;;;;;;Образовательное учреждение высшего профессионального образования;Институт;263-69-61;
7;POINT (4189270.913800001 7512927.782300003);5271.0;Московский городской университет управления Правительства Москвы;Московский городской университет управления Правительства Москвы;107045 Сретенка улица, 28;8449.509575;11564.740697;4301287.0;;;;;;Образовательное учреждение высшего профессионального образования;Университет;957-91-38;
8;POINT (4175452.371199999 7516620.638800003);10243.0;"Негосударственное образовательное учреждение высшего профессионального образования ""Институт управления и информатики""";НОУ ВПО Институт управления и информатики;125252 Зорге улица, д. 24 корпус Б;658.47397897;13633.9614541;3404044.0;;;;;Негосударственное;Образовательное учреждение высшего профессионального образования;Институт;(499) 198-43-29;
9;POINT (4190453.585900001 7525369.519000001);9809.0;"Государственное бюджетное образовательное учреждение высшего профессионального образования города Москвы ""Московский городской педагогический университет""";ГБОУ ВПО МГПУ;129226 г. Москва, 2-й Сельскохозяйственный проезд, д. 4, кор. 1;9101.89233615;18560.0889761;2125336.0;;;;;Бюджетное;Образовательное учреждение высшего профессионального образования;Университет;"(495) 482-20-11; (499) 488-62-13; (499) 488-78-01";http://mhpi.ru/
10;POINT (4190133.5401999988 7510693.185900003);8767.0;"Государственное бюджетное научное учреждение города Москвы ""Научно-исследовательский институт развития профессионального образования""";ГБНУ НИИРПО;101000 Потаповский переулок, 16 стр.10;8938.387525;10308.3451794;2116375.0;;;;;Бюджетное;Образовательное учреждение высшего профессионального образования;Институт;(925) 865-94-11;http://www.mosniirpo.ru/
