0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Телефон;1_Сайт;1_Подчинение
6676;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1694 ""Ясенево""                                                                                                                                                         ";"ГБОУ ЦО № 1694 ""Ясенево""                                                                                                                                                                                                                                      ";117593, г. Москва, Литовский бульвар, дом 11, корпус 6                                                                                                                                                                                                        ;2915,0375;-6060,065108;3000594;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ; 426-77-88                                                                                                                                                                                                                                                    ;http://co1694.ru                                                                                                                                                                                                                                              ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6693;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1010                                                                                                                                                   ;ГБОУ СОШ № 1010                                                                                                                                                                                                                                               ;123308, город Москва, улица Мневники, дом 7, корус 5                                                                                                                                                                                                          ;-374,229225;11514,21093;2114763;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Средняя общеобразовательная школа                                                                                                                                                                                                                             ;(499) 191-35-12                                                                                                                                                                                                                                               ;http://sch1010.ru                                                                                                                                                                                                                                             ;Северо-Западное окружное управление образования                                                                                                                                                                                                               
6707;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка № 1212                                                                                                           ;ГБОУ СОШ № 1212                                                                                                                                                                                                                                               ;123060, г. Москва, ул. Маршала Рыбалко, д. 14                                                                                                                                                                                                                 ;-695,7776072;14712,62018;2114863;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Средняя общеобразовательная школа с углубленным изучением отдельных предметов                                                                                                                                                                                 ;(499) 728-40-02                                                                                                                                                                                                                                               ;http://www.ds1106.mskobr.ru                                                                                                                                                                                                                                   ;Северо-Западное окружное управление образования                                                                                                                                                                                                               
6871;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1840                                                                                                                                                                   ;ГБОУ ЦО № 1840                                                                                                                                                                                                                                                ;129110 г. Москва, Б. Переяславская ул., д.1, стр.1                                                                                                                                                                                                            ;9058,57855;12594,67555;2126216;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;680-08-44                                                                                                                                                                                                                                                     ;http://1840.ru/                                                                                                                                                                                                                                               ;Центральное окружное управление образования                                                                                                                                                                                                                   
6874;Государственное бюджетное образовательное учреждение города Москвы центр образования № 2030                                                                                                                                                                   ;ГБОУ ЦО № 2030                                                                                                                                                                                                                                                ;123022 г.Москва, ул. 2-ая Звенигородская, д.8                                                                                                                                                                                                                 ;3607,5477;10289,92354;4305884;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;205-79-57                                                                                                                                                                                                                                                     ;http://2030.edu.ru                                                                                                                                                                                                                                            ;Центральное окружное управление образования                                                                                                                                                                                                                   
7095;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1449                                                                                                                                                                   ;ГБОУ ЦО № 1449                                                                                                                                                                                                                                                ;127576, город Москва, улица Угличская, дом 6 А                                                                                                                                                                                                                ;4501,25315;25345,51794;2108901;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;400-62-90                                                                                                                                                                                                                                                     ;http://co1449.svao.mskobr.ru                                                                                                                                                                                                                                  ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
7096;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1459                                                                                                                                                                   ;ГБОУ ЦО № 1459                                                                                                                                                                                                                                                ;127273, г. Москва, ул. Отрадная, д. 11А                                                                                                                                                                                                                       ;7198,824;21213,85312;2103760;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;404-87-31                                                                                                                                                                                                                                                     ;http://co1459.svao.mskobr.ru/                                                                                                                                                                                                                                 ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
6518;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением предметов социального профиля № 1386                                                                                             ;ГБОУ СОШ № 1386                                                                                                                                                                                                                                               ;109125, г. Москва, Васильцовский переулок, д. 1                                                                                                                                                                                                               ;15747,80355;5515,377281;2709346;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Средняя общеобразовательная школа с углубленным изучением отдельных предметов                                                                                                                                                                                 ;(499) 796-22-60                                                                                                                                                                                                                                               ;http://schuvu1386.mskobr.ru                                                                                                                                                                                                                                   ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
6554;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1881                                                                                                                                                                   ;ГБОУ ЦО № 1881                                                                                                                                                                                                                                                ;109369, г. Москва, ул. Перерва, дом 44                                                                                                                                                                                                                        ;14921,73603;-1699,140489;2132575;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;"(495) 349-21-31; (495) 349-05-30; (495) 349-14-03                                                                                                                                                                                                             ";http://sch1881.uvuo.ru                                                                                                                                                                                                                                        ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
663;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1816                                                                                                                                                                   ;ГБОУ ЦО № 1816                                                                                                                                                                                                                                                ;121096 г. Москва, ул. Кастанаевская, д. 9А                                                                                                                                                                                                                    ;-185,8449;7868,451099;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;(499) 144-37-82                                                                                                                                                                                                                                               ;http://co1816.mskzapad.ru                                                                                                                                                                                                                                     ;Западное окружное управление образования                                                                                                                                                                                                                      
6709;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1883 ""Бутово""                                                                                                                                                          ";"ГБОУ ЦО № 1883 ""Бутово""                                                                                                                                                                                                                                       ";117042, г. Москва, улица Поляны, дом 53                                                                                                                                                                                                                       ;3087,450789;-13083,67965;2134409;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;716-47-45                                                                                                                                                                                                                                                     ;http://ec1883.ru                                                                                                                                                                                                                                              ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
7101;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1499                                                                                                                                                                   ;ГБОУ ЦО № 1499                                                                                                                                                                                                                                                ;129128 г. Москва, ул. Ростокинская, д.3                                                                                                                                                                                                                       ;10207,02908;18767,50633;2304088;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;(499) 181-04-47                                                                                                                                                                                                                                               ;http//co1499.svao.mskobr.ru                                                                                                                                                                                                                                   ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
7342;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 604                                                                                                                                                    ;ГБОУ СОШ № 604                                                                                                                                                                                                                                                ;124498, г. Москва, Зеленоград, корп. 222А                                                                                                                                                                                                                     ;-18581,8502;37407,78576;2106690;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Средняя общеобразовательная школа                                                                                                                                                                                                                             ;(499) 734-16-00                                                                                                                                                                                                                                               ;http://s604.zouo.ru/                                                                                                                                                                                                                                          ;Зеленоградское окружное управление образования                                                                                                                                                                                                                
