0_udfn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт;0_podchineni
8281;Государственное  бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 816                                                                                                                                                   ;ГБОУ детский сад № 816                                                                                                                                                                                                                                        ;109444, г. Москва, Ташкентская улица, дом № 3, корпус 2                                                                                                                                                                                                       ;20278,4251;4725,022259;2128633;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;376-26-01                                                                                                                                                                                                                                                     ;http://ds816.siteedit.su                                                                                                                                                                                                                                      ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
8291;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 968                                                                                                                                                    ;ГБОУ детский сад № 968                                                                                                                                                                                                                                        ;109548,  Москва, ул. Шоссейная, д. 10                                                                                                                                                                                                                         ;14205,1373;2529,623341;2129305;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;353-41-11                                                                                                                                                                                                                                                     ;http://www.ds968.uvuo.ru                                                                                                                                                                                                                                      ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
8301;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1100                                                                                                                                                   ;ГБОУ детский сад № 1100                                                                                                                                                                                                                                       ;109380, город Москва, ул. Головачева, д.5, корп.3                                                                                                                                                                                                             ;19479,41659;953,3060326;2128812;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;377-44-16                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
834;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2157                                                                                                                                                   ;ГБОУ детский сад № 2157                                                                                                                                                                                                                                       ;121500, г.москва, ул. 2-я Новорублевская, д. 15, корп. 3                                                                                                                                                                                                      ;-8362,0875;13398,33311;2128166;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;(499) 727-28-04                                                                                                                                                                                                                                               ;http://dskv2157.mskzapad.ru                                                                                                                                                                                                                                   ;Западное окружное управление образования                                                                                                                                                                                                                      
8342;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1365                                                                                                                                                   ;ГБОУ детский сад № 1365                                                                                                                                                                                                                                       ;109652, г. Москва Подольская ул., д. 29                                                                                                                                                                                                                       ;13411,86135;-1953,857259;2129339;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;357-34-31                                                                                                                                                                                                                                                     ;http://ds1365.ru                                                                                                                                                                                                                                              ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
8362;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1413                                                                                                                                                   ;ГБОУ детский сад № 1413                                                                                                                                                                                                                                       ;109542, г. Москва, Сормовская ул., дом 6, корп. 2                                                                                                                                                                                                             ;19647,73735;4948,597055;2131302;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;(495) 377-77-77                                                                                                                                                                                                                                               ;http://dskuv1413.mskobr.ru/                                                                                                                                                                                                                                   ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
8369;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2403                                                                                                                                                   ;ГБОУ детский сад № 2403                                                                                                                                                                                                                                       ;109451, г. Москва, ул. Братиславская, дом 17, корп.2                                                                                                                                                                                                          ;16623,83296;-816,8364878;2704544;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;658-89-23                                                                                                                                                                                                                                                     ;http://dskuv2403.mskobr.ru                                                                                                                                                                                                                                    ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
8370;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2406                                                                                                                                                   ;ГБОУ детский сад № 2406                                                                                                                                                                                                                                       ;109431, г. Москва ул. Авиаконструктора Миля, д. 13, корп. 2                                                                                                                                                                                                   ;22642,50355;1699,689113;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;"(495) 704-54-66; (495) 704-97-92                                                                                                                                                                                                                              ";http://www.ds2406.uvuo.ru                                                                                                                                                                                                                                     ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
8383;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2466                                                                                                                                                   ;ГБОУ детский сад № 2466                                                                                                                                                                                                                                       ;109451, Москва, ул. Белореченская, д.41, к.3                                                                                                                                                                                                                  ;17409,36456;-293,1105227;2705991;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;658-49-90                                                                                                                                                                                                                                                     ;http://www.ds2466.uvuo.ru                                                                                                                                                                                                                                     ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
8387;Государственное  бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2494                                                                                                                                                  ;ГБОУ детский сад № 2494                                                                                                                                                                                                                                       ;109469,  Москва, Перервинский бульвар д.21, корп. 2                                                                                                                                                                                                           ;17402,2087;-971,4449145;2706298;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;358-90-12                                                                                                                                                                                                                                                     ;http://www.dskuv2494.mskobr.ru                                                                                                                                                                                                                                ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
