№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы детско-юношеский центр "Россия молодая"	129110 г. Москва, просп. Мира, д. 43	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(495) 684-36-83; (495) 681-03-65; (495) 688-96-15	http://ducrm.ru
2	Государственное бюджетное образовательное учреждение города Москвы детский оздоровительно-образовательный центр "Истра"	113181 г. Москва, Климентовский пер., д. 1/18, стр. 1	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(495) 747-07-06	http://www.centeristra.ru
3	Государственное бюджетное образовательное учреждение города Москвы центр творческого развития и гуманитарного образования "Жемчужина"	109125, г. Москва  2-й Саратовский проезд, дом 4	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(499) 796-14-01; (499) 796-14-20; (499) 796-14-21	http://pearl-edu.com
4	Государственное бюджетное образовательное учреждение города Москвы центр детского творчества "Свиблово"	129343, г.Москва, ул. Амундсена, д.14, корп.1	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр детского творчества	(499) 760-01-15; (499) 760-01-16; (499) 760-01-17; (499) 181-70-75	http://www.centrsviblovo.ru
5	Государственное бюджетное образовательное учреждение города Москвы центр детского творчества "Бабушкинский"	129345, г.Москва, улица Осташковская, дом 7 кор. 6	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр детского творчества	(499) 185-49-69; (499) 185-07-27; (499) 185-49-80; (499) 185-00-60; (499) 185-47-75	
6	Государственное бюджетное образовательное учреждение города Москвы детско-юношеский центр "Отрадное"	127566, г. Москва, Северный бульвар, д. 17а	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	404-08-88	http://dutc.nline.ru
7	Государственное бюджетное образовательное учреждение города Москвы  центр эстетического воспитания детей	125008, г. Москва, ул. Михалковская, д. 18А	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр эстетического воспитания детей	(499) 154-81-66	http://cevsao.ru
8	Государственное бюджетное образовательное учреждение города Москвы  детско-юношеский центр "Дегунино"	127474, г. Москва, ул. Дубнинская, д. 21	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	488-32-47	http://www.degunino.dop.mskobr.ru
9	Государственное бюджетное образовательное учреждение Московский городской дворец творчества детей и молодежи "Марьино"	109651, г. Москва, ул. Подольская, дом 5	Бюджетное	Образовательное учреждение дополнительного образования детей	Дворец	(499) 356-37-01	http://kidsworld.ru/work/udod/uao/1670
10	Государственное бюджетное образовательное учреждение города Москвы центр дополнительного образования детей "Источник"	121614, г.Москва, Осенний бульвар, д. 16, корп. 5	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр дополнительного образование детей	412-57-16	http://cdod-istochnik.mskzapad.ru
11	Государственное бюджетное образовательное учреждение города Москвы дом детского творчества	125183, г. Москва, 3-й Новомихалковский проезд, д. 24	Бюджетное	Образовательное учреждение дополнительного образования детей	Дом детского творчества	154-00-41	http://ddtsao.narod.ru
12	Государственное бюджетное образовательное учреждение Московский городской центр детского творчества "Культура и Образование"	109125, г. Москва, Волгоградский проспект, дом 109, к. 6	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	919-32-33	http://www.ku-obr.ru/
13	Государственное бюджетное образовательное учреждение города Москвы детско-юношеский центр "Войковский"	125171, г. Москва, Ленинградское шоссе, дом 10	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(499) 159-99-88; (499) 150-00-32; (499) 150-59-03; (499) 150-59-17; (499) 159-95-44	http://duc-voykovskiy.my1.ru
14	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы Дом детского и юношеского туризма и экскурсий	115404 г. Москва, ул. Бирюлевская, д. 7а	Бюджетное	Образовательное учреждение дополнительного образования детей	Дом	327-41-39	http://ddutbv.ru
15	Государственное бюджетное образовательное учреждение города Москвы детская школа искусств "Вдохновение"	119607, г.Москва, Мичуринский проспект, д. 9, корп. Б и корп. Г	Бюджетное	Образовательное учреждение дополнительного образования детей	Школа	(499) 726-58-07	http://sch-vdohnovenie.mskzapad.ru
16	Государственное бюджетное образовательное учреждение города Москвы центр развития творчества детей и юношества "Лефортово"	111250, г. Москва, Лефортовский вал, дом 14	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(495) 361-14-29; (495) 361-13-81; (495) 361-13-77; (495) 361-13-06; (495) 707-16-87	http://lefort.ru/
17	Государственное бюджетное образовательное учреждение города Москвы центр дополнительного образования детей "Эврика"	117485, г.Москва, ул. Бутлерова,  д. 5Б, строение 1	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр дополнительного образование детей	334-98-70	http://cdo-evrika.ru
18	Государственное бюджетное образовательное учреждение города Москвы центр дополнительного образования детей "Диалог наук"	119296, г. Москва, Университетский проспект, дом 5	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр дополнительного образование детей	137-05-15	http://dialog-nauk.mosuzedu.ru
19	Государственное бюджетное  образовательное учреждение города Москвы центр эстетического воспитания детей	109028 Покровский бульвар, 10, стр. 1	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(495) 917-81-28	http://cevd.msk.ru
20	Государственное бюджетное образовательное учреждение города Москвы центр детского творчества "Москворечье"	113054 г. Москва, ул. Бахрушина, д.17, стр.1	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	235-31-46	http://cdtm.edu.ru
21	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка № 1263	119071 г. Москва, Ленинский пр., д.18 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 952-11-30; (495) 954-47-04; (495) 954-49-07; (495) 952-27-00	http://sch1263.ru/
22	Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1948	105062 г. Москва, Подсосенский пер., д.26, стр.6	Бюджетное	Дошкольное образовательное учреждение	Центр развития ребенка – детский сад	917-70-01	http://crrds1948.mskobr.ru
23	Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2426	109451, г. Москва, ул. Братиславская, д. 9	Бюджетное	Дошкольное образовательное учреждение	Центр развития ребенка – детский сад	(495) 658-52-59; (495) 658-52-57; (495) 658-52-11	http://crruv2426.mskobr.ru/
24	Государственное бюджетное образовательное учреждение Московский городской Дворец детского (юношеского) творчества	119334 г. Москва, ул. Косыгина, д. 17	Бюджетное	Образовательное учреждение дополнительного образования детей	Дворец	137-73-88	http://dvorec-pionerov.ru/
25	Государственное бюджетное образовательное учреждение города Москвы центр внешкольной работы	117303, г. Москва, ул. Большая Юшуньская, дом 14	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	318-19-63	http://center-nko.ru
