0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Организационно-правовая форма;1_Тип учреждения;1_Вид  учреждения;1_Телефон;1_Сайт;1_Подчинение
4161;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 69 ""Второй Московский кадетский корпус"" (МЧС)                                                                                                                   ";"ГБОУ школа-интернат № 69 ""Второй Московский кадетский корпус""                                                                                                                                                                                                 ";119421, г.Москва, Ленинский проспект, дом 97, корпус 4                                                                                                                                                                                                        ;1549,79695;361,438315;2800805;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Кадетская школа-интернат                                                                                                                                                                                                                                      ;(499) 132-89-69                                                                                                                                                                                                                                               ;http://www.2mckk.ru                                                                                                                                                                                                                                           ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
5438;"Государственное бюджетное образовательное учреждение города Москвы Кадетская школа-интернат № 11 ""Московский дипломатический кадетский корпус""                                                                                                                ";ГБОУ КШИ № 11                                                                                                                                                                                                                                                 ;121552, г.Москва, ул.Оршанская, д. 14, строения 1,2,3                                                                                                                                                                                                         ;-5639,55645;8312,014707;2127058;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Кадетская школа-интернат                                                                                                                                                                                                                                      ;141-45-01                                                                                                                                                                                                                                                     ;http://mdkk11.mskzapad.ru                                                                                                                                                                                                                                     ;Западное окружное управление образования                                                                                                                                                                                                                      
6600;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа - интернат № 9 ""Московский пансион государственных воспитанниц""                                                                                                            ";"ГБОУ КШИ № 9 ""Московский пансион государственных воспитанниц""                                                                                                                                                                                                 ";109263 г. Москва, Волжский бульвар, дом 52/29                                                                                                                                                                                                                 ;16020,748;3086,289551;2129529;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Кадетская школа-интернат                                                                                                                                                                                                                                      ;179-41-10                                                                                                                                                                                                                                                     ;http://дочери-россии.рф                                                                                                                                                                                                                                       ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
6783;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 8 ""Московский кадетский корпус юстиции""                                                                                                                         ";"ГБОУ кадетская школа-интернат № 8 ""Московский кадетский корпус юстиции""                                                                                                                                                                                       ";123154, г. Москва, ул. Маршала Тухачевского, д. 46                                                                                                                                                                                                            ;-2036,926775;13283,66729;2114884;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Кадетская школа-интернат                                                                                                                                                                                                                                      ;(499) 199-01-37                                                                                                                                                                                                                                               ;http://mkku.ru                                                                                                                                                                                                                                                ;Северо-Западное окружное управление образования                                                                                                                                                                                                               
6011;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 5 ""Преображенский кадетский корпус""                                                                                                                             ";"ГБОУ КШИ №5 ""Преображенский кадетский корпус""                                                                                                                                                                                                                 ";107150, г. Москва, ул. Лосиноостровская, д.22а                                                                                                                                                                                                                ;13240,6728;17672,23211;2109422;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Кадетская школа-интернат                                                                                                                                                                                                                                      ;160-85-53                                                                                                                                                                                                                                                     ;http://pkk.edusite.ru                                                                                                                                                                                                                                         ;Восточное окружное управление образования                                                                                                                                                                                                                     
7113;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 6 ""Московский Георгиевский кадетский корпус""                                                                                                                    ";"ГБОУ КШИ № 6 ""Московский Георгиевский кадетский корпус""                                                                                                                                                                                                       ";127276, г. Москва, ул. Малая Ботаническая, д. 24б                                                                                                                                                                                                             ;5353,52845;18428,91628;2103756;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Кадетская школа-интернат                                                                                                                                                                                                                                      ;619-94-30                                                                                                                                                                                                                                                     ;http://kdsch6sv.mskobr.ru                                                                                                                                                                                                                                     ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
8674;Государственное бюджетное образовательное учреждение города Москвы кадетская школа № 1784                                                                                                                                                                     ;ГБОУ кадетская школа № 1784                                                                                                                                                                                                                                   ;125040, г. Москва, улица Скаковая, дом 20, стр. 1                                                                                                                                                                                                             ;4396,684925;12624,6169;2117191;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Кадетская школа (кадетская школа-интернат)                                                                                                                                                                                                                    ;Кадетская школа (кадетская школа-интернат)                                                                                                                                                                                                                    ;945-63-81                                                                                                                                                                                                                                                     ;http://souo-mos.ru                                                                                                                                                                                                                                            ;Северное окружное управление образования                                                                                                                                                                                                                      
1140;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа - интернат ""Навигацкая школа""                                                                                                                                              ";"ГБОУ КШИ ""Навигацкая школа""                                                                                                                                                                                                                                   ";121108 Кастанаевская улица, д. 59 к.1                                                                                                                                                                                                                         ;-2637,7444;7140,125226;2127042;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Кадетская школа-интернат                                                                                                                                                                                                                                      ;(499) 144-07-63                                                                                                                                                                                                                                               ;http://kdsch.mskzapad.ru                                                                                                                                                                                                                                      ;Западное окружное управление образования                                                                                                                                                                                                                      
6599;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 7 ""Московский казачий кадетский корпус"" имени М.А. Шолохова                                                                                                     ";"ГБОУ КШИ № 7 ""Московский казачий кадетский корпус""                                                                                                                                                                                                            ";109462 Маршала Чуйкова улица, 28, стр. 1                                                                                                                                                                                                                      ;16269,93696;3341,35889;2128636;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Кадетская школа-интернат                                                                                                                                                                                                                                      ;(499) 175-32-83                                                                                                                                                                                                                                               ;http://moskadet.ru/                                                                                                                                                                                                                                           ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
8672;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 10 ""Московский кадетский корпус полиции""                                                                                                                        ";"ГБОУ кадетская школа-интернат № 10 ""Московский кадетский корпус полиции""                                                                                                                                                                                      ";125183, г. Москва, 4-й Новомихалковский проезд, дом № 14, строение № 3                                                                                                                                                                                        ;2928,0045;19779,61813;2108818;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Кадетская школа-интернат                                                                                                                                                                                                                                      ;153-81-91                                                                                                                                                                                                                                                     ;http://moscadet.ru/                                                                                                                                                                                                                                           ;Северное окружное управление образования                                                                                                                                                                                                                      
