0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Телефон;1_Сайт;1_Подчинение
5527;Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 46                                                                                                                           ;ГБОУ СПО СК № 46                                                                                                                                                                                                                                              ;123182,г. Москва, ул. Академика Бочвара, д.2, корп.2                                                                                                                                                                                                          ;-2329,725225;15669,05956;2114844;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение среднего профессионального образования                                                                                                                                                                                             ;Колледж                                                                                                                                                                                                                                                       ;947-37-50                                                                                                                                                                                                                                                     ;http://k46.mskcollege.ru/                                                                                                                                                                                                                                     ;Городское подчинение: Управление профессионального образования                                                                                                                                                                                                
5914;Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 13 имени С.Я.Маршака                                                                                                       ;ГБОУ СПО ПК №13 имени С.Я. Маршака                                                                                                                                                                                                                            ;125183 г. Москва ул. Б. Академическая, д. 77-а, строение 1                                                                                                                                                                                                    ;3368,20515;19770,15135;2108739;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение среднего профессионального образования                                                                                                                                                                                             ;Колледж                                                                                                                                                                                                                                                       ;482-50-92                                                                                                                                                                                                                                                     ;http://pk13.mskcollege.ru/                                                                                                                                                                                                                                    ;Городское подчинение: Управление профессионального образования                                                                                                                                                                                                
8810;Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж автомотизации и информационных технологий № 20                                                                                              ;ГБОУ СПО КАИТ № 20                                                                                                                                                                                                                                            ;105037, Москва,  ул. 1-я Парковая,  д. 12                                                                                                                                                                                                                     ;17572,11203;13847,69085;2403094;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение среднего профессионального образования                                                                                                                                                                                             ;Колледж                                                                                                                                                                                                                                                       ;(499) 163-40-83                                                                                                                                                                                                                                               ;http://www.junior.ru/                                                                                                                                                                                                                                         ;Городское подчинение: Управление профессионального образования                                                                                                                                                                                                
8869;"Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы ""Московский государственный колледж электромеханики и информационных технологий""                                                                    ";ГБОУ СПО МГКЭИТ                                                                                                                                                                                                                                               ;г. Москва, ул. Академика Миллионщикова, 20                                                                                                                                                                                                                    ;9235,807975;-72,55152201;2123701;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение среднего профессионального образования                                                                                                                                                                                             ;Колледж                                                                                                                                                                                                                                                       ;(499)612-15-97 ,(499) 612-15-97                                                                                                                                                                                                                               ;-                                                                                                                                                                                                                                                             ;Городское подчинение: Управление профессионального образования                                                                                                                                                                                                
8814;Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 26                                                                                                                           ;ГБОУ СПО СК № 26                                                                                                                                                                                                                                              ;109559, г. Москва, ул. Цимлянская, д. 7, стр. 1                                                                                                                                                                                                               ;17119,9596;230,1400468;2128755;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение среднего профессионального образования                                                                                                                                                                                             ;Колледж                                                                                                                                                                                                                                                       ;"(495) 673-51-90; (495) 673-30-00; (495) 673-15-96; (495) 673-34-93; (495) 673-14-90                                                                                                                                                                           ";http://26kadr.ru/                                                                                                                                                                                                                                             ;Городское подчинение: Управление профессионального образования                                                                                                                                                                                                
8824;Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 38                                                                                                                           ;ГБОУ СПО СК № 38                                                                                                                                                                                                                                              ;117321, г. Москва, ул. Профсоюзная, д.154, корпус 7                                                                                                                                                                                                           ;71,1558;-4778,589204;2108476;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение среднего профессионального образования                                                                                                                                                                                             ;Колледж                                                                                                                                                                                                                                                       ;(495) 713-17-52                                                                                                                                                                                                                                               ;http://www.msk38.ru                                                                                                                                                                                                                                           ;Городское подчинение: Управление профессионального образования                                                                                                                                                                                                
8848;"Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы ""Московский политехнический колледж""                                                                                                                ";ГБОУ СПО МПК                                                                                                                                                                                                                                                  ;111250, Москва, Красноказарменная ул., д. 10-а                                                                                                                                                                                                                ;12533,7284;10027,21224;2129958;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение среднего профессионального образования                                                                                                                                                                                             ;Колледж                                                                                                                                                                                                                                                       ;(495) 361-07-01                                                                                                                                                                                                                                               ;http://mpc.mskcollege.ru                                                                                                                                                                                                                                      ;Городское подчинение: Управление профессионального образования                                                                                                                                                                                                
8858;"Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы ""Московский колледж управления и новых технологий""                                                                                                  ";ГБОУ СПО МКУНТ                                                                                                                                                                                                                                                ;г. Москва, ул. Генерала Белова, д. 6                                                                                                                                                                                                                          ;13723,19513;-5066,056721;3800027;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение среднего профессионального образования                                                                                                                                                                                             ;Колледж                                                                                                                                                                                                                                                       ;"(496) 574-48-40; (496) 577-71-91                                                                                                                                                                                                                              ";http://www.mkuint.ru                                                                                                                                                                                                                                          ;Городское подчинение: Управление профессионального образования                                                                                                                                                                                                
8798;Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж малого бизнеса № 4                                                                                                                          ;ГБОУ СПО КМБ № 4                                                                                                                                                                                                                                              ;115054 г.Москва, ул.Дубининская, д.25,стр1.                                                                                                                                                                                                                   ;8768,968724;6623,360491;2101906;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение среднего профессионального образования                                                                                                                                                                                             ;Колледж                                                                                                                                                                                                                                                       ;(499) 235-46-57                                                                                                                                                                                                                                               ;http://k04.mskcollege.ru                                                                                                                                                                                                                                      ;Городское подчинение: Управление профессионального образования                                                                                                                                                                                                
8843;Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж художественных ремесел № 59                                                                                                                 ;ГБОУ СПО КХР № 59                                                                                                                                                                                                                                             ;119049, г. Москва, 2-й Спасоналивковский пер., д. 3, стр. 6                                                                                                                                                                                                   ;7523,1922;7184,560241;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение среднего профессионального образования                                                                                                                                                                                             ;Колледж                                                                                                                                                                                                                                                       ;951-42-57                                                                                                                                                                                                                                                     ;http://k59.mskcollege.ru/                                                                                                                                                                                                                                     ;Городское подчинение: Управление профессионального образования                                                                                                                                                                                                
