0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Организационно=правовая форма;1_Тип учреждения;1_Вид учреждения;1_Телефон;1_Сайт;1_Подчинение
7552;Государственное бюджетное образовательное учреждение города Москвы специальная(коррекционная) общеобразовательная школа VIII вида № 442                                                                                                                       ;ГБОУ СКОШ № 442                                                                                                                                                                                                                                               ;105264, г. Москва, Сиреневый бульвар, д. 30 А                                                                                                                                                                                                                 ;19041,02135;15018,861;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;"(499) 463-17-69; (499) 463-51-91; (495) 465-61-86; (495) 465-36-04                                                                                                                                                                                            ";http://schk442.mskobr.ru                                                                                                                                                                                                                                      ;Восточное окружное управление образования                                                                                                                                                                                                                     
6642;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 895                                                                                                                      ;ГБОУ СКОШ № 895                                                                                                                                                                                                                                               ;109444, г. Москва, Ташкентская улица, дом 23, корпус 4, строение 1                                                                                                                                                                                            ;19753,10918;3743,141084;25608;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;376-84-67                                                                                                                                                                                                                                                     ;http://school895.edusite.ru                                                                                                                                                                                                                                   ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
2893;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа V вида № 573                                                                                                                         ;ГБОУ СКОШ V вида № 573                                                                                                                                                                                                                                        ;115191, г.Москва, 5-й Рощинский пр-д, д.4                                                                                                                                                                                                                     ;7162,049209;4861,08179;2118487;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;"(495) 952-52-62; (495) 954-24-53; (495) 952-42-85                                                                                                                                                                                                             ";http://sch573.edusite.ru                                                                                                                                                                                                                                      ;Южное окружное управление образования                                                                                                                                                                                                                         
6643;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 530                                                                                                                      ;ГБОУ СКОШ № 530                                                                                                                                                                                                                                               ;115193, г. Москва, 5-я Кожуховская ул., д. 15                                                                                                                                                                                                                 ;10954,90038;4284,999804;2708481;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;(495) 679-19-60                                                                                                                                                                                                                                               ;http://schuvk530.mskobr.ru/                                                                                                                                                                                                                                   ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
6781;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VII вида № 833                                                                                                                       ;ГБОУ СКОШ № 833                                                                                                                                                                                                                                               ;125481, г. Москва, ул. Фомичевой, д. 5                                                                                                                                                                                                                        ;-3394,3686;21125,58757;27539;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;(495) 492-71-50                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;Северо-Западное окружное управление образования                                                                                                                                                                                                               
6877;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 30                                                                                                                       ;ГБОУ СКОШ № 30                                                                                                                                                                                                                                                ;119121 г.Москва, 1-ый Тружеников пер., д.18                                                                                                                                                                                                                   ;4612,998925;7816,059302;2121168;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;(499) 248-46-62                                                                                                                                                                                                                                               ;http://scool30.do.am                                                                                                                                                                                                                                          ;Центральное окружное управление образования                                                                                                                                                                                                                   
2894;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 869                                                                                                                      ;ГБОУ СКОШ № 869                                                                                                                                                                                                                                               ;115516 г. Москва, ул. Бехтерева, д.51                                                                                                                                                                                                                         ;9376,8417;-5736,684181;3800013;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;"(495) 321-96-10; (495) 321-96-11; (495) 321-86-17                                                                                                                                                                                                             ";http://sch869.edusite.ru                                                                                                                                                                                                                                      ;Южное окружное управление образования                                                                                                                                                                                                                         
9151;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 991                                                                                                                      ;ГБОУ СКОШ № 991                                                                                                                                                                                                                                               ;115580 г. Москва, Шипиловская ул. д, 59, корп.2                                                                                                                                                                                                               ;15855,14998;-4698,035544;2123146;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;394-76-53                                                                                                                                                                                                                                                     ;http://sch991.edusite.ru/                                                                                                                                                                                                                                     ;Южное окружное управление образования                                                                                                                                                                                                                         
886;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 804                                                                                                                      ;ГБОУ СКОШ VIII вида № 804                                                                                                                                                                                                                                     ;121357, г.Москва, ул. Ватутина, владение 8                                                                                                                                                                                                                    ;-2540,34165;6197,002783;2127087;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;449-36-98                                                                                                                                                                                                                                                     ;http://spsch804.mskzapad.ru                                                                                                                                                                                                                                   ;Западное окружное управление образования                                                                                                                                                                                                                      
8773;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 162 имени Героя Советского Союза Е.Г. Ларикова                                                                           ;ГБОУ СКОШ № 162                                                                                                                                                                                                                                               ;125252, г. Москва, 2-я Песчаная ул., д.4 А                                                                                                                                                                                                                    ;1133,227463;14158,62808;2112022;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;157-10-66                                                                                                                                                                                                                                                     ;http://www.korschool162.babyhost.ru                                                                                                                                                                                                                           ;Северное окружное управление образования                                                                                                                                                                                                                      
