0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Телефон;1_Сайт ;1_Подчинение
6974;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VIII вида № 108                                                                                                             ;ГБОУ СКОШИ № 108                                                                                                                                                                                                                                              ;119331, г. Москва, ул. Крупской, дом 9                                                                                                                                                                                                                        ;1769,0385;1659,281299;2113285;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;138-53-29                                                                                                                                                                                                                                                     ;http://int108.ru                                                                                                                                                                                                                                              ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
7115;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VIII вида № 35                                                                                                              ;ГБОУ СКОШИ VIII вида № 35                                                                                                                                                                                                                                     ;127055 г. Москва, Новосущевская ул., д 7 и 20                                                                                                                                                                                                                 ;6562,683356;13393,05229;2103697;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;"(499) 978-14-78; (499) 978-26-73; (499) 978-88-46; (499) 978-69-64; (499) 978-28-08                                                                                                                                                                           ";http://spschi35.svao.mskobr.ru/                                                                                                                                                                                                                               ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
8518;Государственное бюджетное образовательное учреждение города Москвы специальная  (коррекционная) общеобразовательная школа-интернат II вида № 52                                                                                                               ;ГБОУ СКОШИ № 52                                                                                                                                                                                                                                               ;125040 г. Москва,  ул. Расковой, дом 20А, строение 1                                                                                                                                                                                                          ;4757,634;13423,01277;2112616;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;614-94-56                                                                                                                                                                                                                                                     ;http://52school.ru                                                                                                                                                                                                                                            ;Северное окружное управление образования                                                                                                                                                                                                                      
8488;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VI вида № 44                                                                                                                ;ГБОУ СКОШИ VI вида № 44                                                                                                                                                                                                                                       ;119634  г.Москва, ул. Федосьинская, д. 20                                                                                                                                                                                                                     ;-10401,80243;-2704,285055;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;"(499) 737-99-57; (499) 737-99-62; (499) 737-99-59                                                                                                                                                                                                             ";http://spsch44.mskzapad.ru                                                                                                                                                                                                                                    ;Западное окружное управление образования                                                                                                                                                                                                                      
8517;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат III-IV видов № 1                                                                                                            ;ГБОУ СКОШИ III-IV видов № 1                                                                                                                                                                                                                                   ;129626 г. Москва, ул. 3-я Мытищинская, дом 5                                                                                                                                                                                                                  ;9170,0209;15609,52626;2126196;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;687-55-01                                                                                                                                                                                                                                                     ;http://unischool.ru/                                                                                                                                                                                                                                          ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
8670;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат V вида № 96                                                                                                                 ;ГБОУ СКОШИ № 96                                                                                                                                                                                                                                               ;125445, г. Москва ул. Смольная, дом 75                                                                                                                                                                                                                        ;-1925,86385;22967,10034;2112030;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;(495) 457-65-41                                                                                                                                                                                                                                               ;http://www.internat96.narod.ru                                                                                                                                                                                                                                ;Северное окружное управление образования                                                                                                                                                                                                                      
8876;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа - интернат VIII вида № 7                                                                                                             ;ГБОУ СКОШИ № 7                                                                                                                                                                                                                                                ;124536, г. Москва, Зеленоград, Никольский проезд, дом 3                                                                                                                                                                                                       ;8176,92085;9790,68259;2118626;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;"(499) 734-27-83; (499) 734-69-07                                                                                                                                                                                                                              ";http://i7.zouo.ru/                                                                                                                                                                                                                                            ;Зеленоградское окружное управление образования                                                                                                                                                                                                                
8669;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VIII вида № 81                                                                                                              ;ГБОУ СКОШИ № 81                                                                                                                                                                                                                                               ;127422, г. Москва, ул. Тимирязевская, д. 21                                                                                                                                                                                                                   ;4225,402166;16314,39816;2110305;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;(495) 610-20-09                                                                                                                                                                                                                                               ;http://souo-mos.ru/~schi81/                                                                                                                                                                                                                                   ;Северное окружное управление образования                                                                                                                                                                                                                      
9154;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VII вида № 73                                                                                                               ;ГБОУ СКОШИ № 73                                                                                                                                                                                                                                               ;117638 г. Москва, Нахимовский пр-т, д. 6                                                                                                                                                                                                                      ;6972,57125;-232,6094076;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;(499) 613-97-09                                                                                                                                                                                                                                               ;http://sch73.ru/                                                                                                                                                                                                                                              ;Южное окружное управление образования                                                                                                                                                                                                                         
8668;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат IV  вида № 2                                                                                                                ;ГБОУ СКОШИ № 2                                                                                                                                                                                                                                                ;125315, г. Москва, Большой Коптевский проезд, д. 5                                                                                                                                                                                                            ;2316,348188;15911,22046;2117638;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;(499) 152-64-61                                                                                                                                                                                                                                               ;http://schsi2.mskobr.ru/                                                                                                                                                                                                                                      ;Северное окружное управление образования                                                                                                                                                                                                                      
