0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт;0_podchineni
7123;Государственное бюджетное образовательное учреждение города Москвы дом детского творчества                                                                                                                                                                    ;ГБОУ ДДТ                                                                                                                                                                                                                                                      ;129344, г. Москва, ул. Радужная, д. 13                                                                                                                                                                                                                        ;10410,00385;21424,49358;2124957;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение дополнительного образования детей                                                                                                                                                                                                  ;Дом детского творчества                                                                                                                                                                                                                                       ;"(499) 180-55-14; (499) 189-26-73; (495) 470-28-90                                                                                                                                                                                                             ";http://go-to-ddt.ru                                                                                                                                                                                                                                           ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
7508;"Государственное бюджетное образовательное учреждение города Москвы детско-юношеский центр ""Ведогонь""                                                                                                                                                          ";"ГБОУ ДЮЦ ""Ведогонь""                                                                                                                                                                                                                                           ";124489, г. Москва, Зеленоград, корп. 617                                                                                                                                                                                                                      ;-16492,02921;35827,31462;2106458;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение дополнительного образования детей                                                                                                                                                                                                  ;Центр                                                                                                                                                                                                                                                         ;(499) 734-60-08                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;Зеленоградское окружное управление образования                                                                                                                                                                                                                
7513;"Государственное бюджетное образовательное учреждение города Москвы детско-юношеский центр ""Каравелла""                                                                                                                                                         ";"ГБОУ ДЮЦ ""Каравелла""                                                                                                                                                                                                                                          ";124683, г. Москва, Зеленоград, корп. 1551                                                                                                                                                                                                                     ;-21386,38155;35027,91691;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение дополнительного образования детей                                                                                                                                                                                                  ;Центр                                                                                                                                                                                                                                                         ;(499) 729-28-70                                                                                                                                                                                                                                               ;http://karavella.zouo.ru                                                                                                                                                                                                                                      ;Зеленоградское окружное управление образования                                                                                                                                                                                                                
7541;"Государственное бюджетное образовательное учреждение города Москвы центр дополнительного образования детей ""Черкизовский парк""                                                                                                                                ";"ГБОУ ЦДОД ""Черкизовский парк""                                                                                                                                                                                                                                 ";107553, Москва, ул.Большая Черкизовская, д.21, строение 2                                                                                                                                                                                                     ;15036,4093;14921,81502;2404540;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение дополнительного образования детей                                                                                                                                                                                                  ;Центр                                                                                                                                                                                                                                                         ;(499) 161-42-92                                                                                                                                                                                                                                               ;http://gou-dchp.narod.ru                                                                                                                                                                                                                                      ;Восточное окружное управление образования                                                                                                                                                                                                                     
5509;"Государственное бюджетное образовательное учреждение города Москвы Центр детского творчества ""Царицыно""                                                                                                                                                       ";"ГБОУ ЦДТ ""Царицыно""                                                                                                                                                                                                                                           ";115477 г. Москва,Кавказский бульвар,д.12,к.3                                                                                                                                                                                                                  ;10596,83735;-3654,214234;3800006;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение дополнительного образования детей                                                                                                                                                                                                  ;Центр детского творчества                                                                                                                                                                                                                                     ;"(495) 325-59-93; (495) 325-37-42                                                                                                                                                                                                                              ";http://tcar.edusite.ru                                                                                                                                                                                                                                        ;Южное окружное управление образования                                                                                                                                                                                                                         
7124;"Государственное бюджетное образовательное учреждение города Москвы центр детского творчества ""Марьина Роща""                                                                                                                                                   ";"ГБОУ ЦДТ ""Марьина Роща""                                                                                                                                                                                                                                       ";127018, город Москва, 1-й Стрелецкий проезд, д. 5                                                                                                                                                                                                             ;6854,428316;14441,62857;2110719;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение дополнительного образования детей                                                                                                                                                                                                  ;Центр                                                                                                                                                                                                                                                         ;689-43-00                                                                                                                                                                                                                                                     ;http://cdt-mr.ru                                                                                                                                                                                                                                              ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
6311;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2376                                                                                                                                                   ;ГБОУ детский сад № 2376                                                                                                                                                                                                                                       ;117042, г.Москва, Чечёрский проезд, дом 106                                                                                                                                                                                                                   ;1094,292739;-15321,27255;2900031;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;715-55-30                                                                                                                                                                                                                                                     ;http://dskvuz2376.mskobr.ru/                                                                                                                                                                                                                                  ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6899;"Государственное бюджетное образовательное учреждение города Москвы детский оздоровительно-образовательный центр ""Парк""Новослободский""                                                                                                                         ";"ГБОУ ДООЦ ""Парк ""Новослободский""                                                                                                                                                                                                                              ";127055 г. Москва, ул. Новослободская, дом.58/12, стр.6,9,23                                                                                                                                                                                                   ;5906,064555;13626,3641;2111368;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение дополнительного образования детей                                                                                                                                                                                                  ;Центр                                                                                                                                                                                                                                                         ;972-68-73                                                                                                                                                                                                                                                     ;http://novoslobodskiy.ru                                                                                                                                                                                                                                      ;Центральное окружное управление образования                                                                                                                                                                                                                   
6951;"Государственное бюджетное образовательное учреждение города Москвы детская школа искусств ""Аккорд""                                                                                                                                                            ";"ГБОУ ДШИ ""Аккорд""                                                                                                                                                                                                                                             ";117463, г. Москва, Новоясеневский проспект, д.32, к.2                                                                                                                                                                                                         ;2515,74195;-7141,798454;2108119;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение дополнительного образования детей                                                                                                                                                                                                  ;Школа                                                                                                                                                                                                                                                         ;422-87-83                                                                                                                                                                                                                                                     ;http://sch-acord.ru                                                                                                                                                                                                                                           ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6956;"Государственное бюджетное образовательное учреждение города Москвы центр диагностики и консультирования ""Теплый Стан""                                                                                                                                         ";"ГБОУ ЦДиК ""Теплый Стан""                                                                                                                                                                                                                                       ";117465, г.Москва, улица Теплый Стан, дом 13, корпус 3                                                                                                                                                                                                         ;-420,4205;-4990,549553;2108292;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи                                                                                                                                                       ;Центр диагностики и консультирования                                                                                                                                                                                                                          ;(495)424-04-33,(495) 424 04 33                                                                                                                                                                                                                                ;http://www.centertepliystan.narod.ru                                                                                                                                                                                                                          ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
