№ строки	Название объекта	Адрес	Ведомственная принадлежность	Телефон	Официальный сайт	Адрес электронной почты	Округ	Район	Тип объекта
1	Фитнес-клуб "Спорт класс"	Луговой проезд, дом 12, корпус 1	Департамент имущества города Москвы	(495) 543-85-85	sport-klass.ru	-	ЮВАО	Марьино	физкультурно-оздоровительные комплексы
2	Фитнес-клуб "Спорт Лэнд"	Новочеркасский бульвар, дом 20, корпус 1	Департамент имущества города Москвы	(495) 348-97-81	sportland-club.ru	-	ЮВАО	Марьино	физкультурно-оздоровительные комплексы
3	Фитнес-студия "Элит"	улица Руставели, дом 8Б	Муниципалитет	8 (926) 903-93-69	fitnes-elit.narod.ru	dirart@mail.ru	СВАО	Бутырский	спортивные залы
4	Фитнес-центр "Platinum fitnes"	Рязанский проспект, дом 28, строение 1	частная	(495) 221-84-84	platinumfitness.ru	-	ЮВАО	Рязанский	физкультурно-оздоровительные комплексы
5	Фитнес-центр "Аквилея"	улица Братиславская, дом 18, корпус 1	Департамент имущества города Москвы	(495) 780-55-14	-	-	ЮВАО	Марьино	физкультурно-оздоровительные комплексы
6	ФОК "Планета фитнес"	улица Авиамоторная, дом 10	Департамент имущества города Москвы	(495) 933-45-96 (495) 933-45-97	-	-	ЮВАО	Лефортово	физкультурно-оздоровительные комплексы
7	ФОК "Южнопортовый"	улица Трофимова, дом 30, корпус 3	Департамент физической культуры и спорта города Москвы	(495) 710-07-89	fok-up.ru	fok@fok-up.ru	ЮВАО	Южнопортовый	физкультурно-оздоровительные комплексы
8	Центр детского творчества "Рязанский"	улица Зарайская, дом 70	Департамент образования города Москвы	(499) 171-24-87	cdtryazansky.uvuo.ru	cdtrjazanski@mail.ru	ЮВАО	Рязанский	досуговые центры
9	Центр для детей и молодёжи	Филевский бульвар, дом 6А	частная	(495) 738-58-29	roo-zapad.ru	-	ЗАО	Филёвский парк	досуговые центры
10	Гольф клуб в Крылатском	улица Островная, дом 2	частная	(495) 140-86-61	moscowgolf.ru	-	ЗАО	Крылатское	физкультурно-оздоровительные комплексы
11	Автономная некоммерческая организация, культурно-спортивный центр "Мир путешествий"	улица Академика Королева, дом 8, корпус  2	Муниципалитет	495 615 84 75	-	mnkomarov@mail.ru	СВАО	Останкинский	спортивные залы
12	Автономная организация  "Мир знаний"	улица Вешняковская, дом 17	Муниципалитет	(495) 375-02-02	-	-	ВАО	Вешняки	спортивные залы
13	Автономное некоммерческое объединение "Центр объединения молодежи" (клуб "Юность")	улица Серафимовича, дом 2	Муниципалитет	(495) 211-38-46	-	-	ЦАО	Якиманка	физкультурно-оздоровительные комплексы
14	Академия акварели и изящных искусств Сергея Андрияки	улица Академика Варги, дом 15	Департамент культуры города Москвы	(495) 531-55-55	academy.andriaka.ru	-	ЮЗАО	Теплый Стан	физкультурно-оздоровительные комплексы
15	АНО  клуб "Ровесник – спорт"	улица Адмирала Макарова, дом 37, корпус 2	Муниципалитет	(499) 156-14-83	voy.sao.mos.ru	voikovskii@mail.ru	САО	Войковский	спортивные залы
16	АНО "Гражданско-патриотическая школа "Орбита"	11-я улица Текстильщиков, дом 2	Муниципалитет	(495) 709-59-60	mun-tekstil.ru	-	ЮВАО	Текстильщики	физкультурно-оздоровительные комплексы
17	АНО "Дворы нашего округа"	улица Амурская, дом 19	Муниципалитет	(495) 462-48-73	-	-	ВАО	Гольяново	спортивные залы
18	АНО "Историко-спортивный клуб "Гридин"	улица Саратовская, дом 14/1	Муниципалитет	(499) 177-89-88	mun-tekstil.ru	-	ЮВАО	Текстильщики	спортивные залы
19	АНО "Карт-клуб "Бригантина"	улица Бориса Галушкина, дом 25	Муниципалитет	(495) 686-49-62	alekseevsky-mncpt.ru	mncpt@alekseevsky-mncpt.ru	СВАО	Алексеевский	физкультурно-оздоровительные комплексы
20	АНО "Клуб атлетизма и оздоровления"	улица Фестивальная, дом 20	Муниципалитет	8 (903) 106-83-13	ozdorovlenie.narod.ru	vadim-atlet@mail.ru	САО	Ховрино	спортивные залы
21	АНО "МСК "Северная звезда"	улица 2-я Песчаная, дом 4А, корпус 1	частная	(499) 105-45-78	-	-	САО	Сокол	физкультурно-оздоровительные комплексы
22	АНО "Спортивно технический Клуб "Вертикаль"	улица Бориса Галушкина, дом 25	Муниципалитет	(495) 686-88-44	vertikalclub.ru	oleg@vertikalclub.ru	СВАО	Алексеевский	физкультурно-оздоровительные комплексы
23	АНО "Физкультурно-спортивный "Радиус"	7-я улица Текстильщиков, дом 6/19	Муниципалитет	(499) 179-04-27	mun-tekstil.ru	-	ЮВАО	Текстильщики	физкультурно-оздоровительные комплексы
24	АНО Детский клуб "Т.О.Р.И."	Ананьевский переулок, дом 4/2, строение 2	Муниципалитет	(495) 257-02-91 (495) 256-02-91	-	-	ЦАО	Красносельский	спортивные залы
25	АНО Детский спортивный клуб "Сокол"	Никитский бульвар, дом 15/16, строение 1	Муниципалитет	(495) 290-03-52	-	-	ЦАО	Пресненский	спортивные залы
26	АНО Клуб эстетического развития "Искра"	Керамический проезд, дом 55, корпус 1	Муниципалитет	(499) 900-34-93	munvdeg.ru	-	САО	Восточное Дегунино	спортивные залы
27	Московский Городской дворец творчества детей и молодежи "Марьино"  МГДТДМ	улица Подольская, дом 5	Департамент образования города Москвы	(499) 357-01-41	-	-	ЮВАО	Марьино	досуговые центры
28	МУ "Аист"	Рязанский проспект, дом 71, корпус 2	Муниципалитет	(495) 657-04-50	mo-ryazanskoe.ru	-	ЮВАО	Рязанский	спортивные залы
29	МУ ДСЦ "Лефортово"	улица Энергетическая, дом 4	Муниципалитет	(495) 361-40- 65	lefmun.ru	-	ЮВАО	Лефортово	досуговые центры
30	МУ СТЦ "Икар"	улица Энергетическая, дом 5	Муниципалитет	(495) 362-17- 08	lefmun.ru	-	ЮВАО	Лефортово	досуговые центры
31	Скандинавский центр здоровья	2-я Кабельная улица, дом 2, строение 10	частная	(495) 777-75-19	scz.ru	info@scz.ru	ЮВАО	Лефортово	досуговые центры
32	Социально- реабилитационный центр для несовершеннолетних "Отрадное"	улица Декабристов, дом 22А	Департамент социальной защиты населения города Москвы	(499) 907-57-90 (499) 904-90-10	-	-	СВАО	Отрадное	лечебные и оздоровительные центры
33	Спортивно- Досуговый Клуб "Фараон"	улица Зеленодольская, дом 30, корпус 3	частная	(499) 722-63-50	-	-	ЮВАО	Кузьминки	физкультурно-оздоровительные комплексы
34	Спортивно-Досуговый Центр "Барс"	улица Юных Ленинцев, дом 72	Муниципалитет	(499) 742-54-02	bars-life.narod.ru	centr-bars@mail.ru	ЮВАО	Кузьминки	досуговые центры
35	Спортивный клуб "Альфа-БУДО"	улица Люблинская, дом 159	Департамент имущества города Москвы	(499) 722-26-80	alfabudo.ru	-	ЮВАО	Марьино	физкультурно-оздоровительные комплексы
36	Спортивный клуб "Печатники"	улица 4-я Курьяновская, дом 8, строение 3	Муниципалитет	(499) 722-42-10	-	-	ЮВАО	Печатники	спортивные залы
37	Стадион  "Вымпел"	Измайловское шоссе, дом 73Б	частная	(499) 166-51-72	vstadion.ru	-	ВАО	Измайлово	футбольные поля
38	СЦП  "Крылатское"	улица Крылатская, дом 10	частная	(495) 140-86-61	velotrek1.ru	-	ЗАО	Крылатское	досуговые центры
39	Танцевальная студия "Бис"	улица Ферганская, дом 17	Департамент имущества города Москвы	(495) 376-90-00	-	-	ЮВАО	Выхино-Жулебино	физкультурно-оздоровительные комплексы
40	АНО Центр развития детского конного спорта	Ленинский проспект, дом 30	Муниципалитет	(495) 958-53-55 (495) 958-52-55	-	-	ЦАО	Якиманка	досуговые центры
41	Дворец культуры "Капотня"	2-й квартал Капотни, дом 3	Департамент культуры города Москвы	+7 (495) 355 1938	dk-kapotnja.ru	-	ЮВАО	Капотня	физкультурно-оздоровительные комплексы
42	Академия Регби	Тополевая аллея, дом 10, строение 2	частная	(495) 377-94-14	-	-	ЮВАО	Выхино-Жулебино	плоскостные спортивные сооружения
43	АНО  "Спортивно - досуговый   клуб  "Ирбис"	улица Верхние Поля, дом 42, корпус 1	Муниципалитет	(495) 654-79-70	irbis-sport.ru	-	ЮВАО	Марьино	спортивные залы
44	АНО "Олимп плюс"	улица Ухтомская, дом 6	Муниципалитет	(495) 360-84-41	lefmun.ru	-	ЮВАО	Лефортово	спортивные залы
45	АНО "Центр реабилитации лиц с ограниченными возможностями здоровья "Спорт для жизни"	улица Белореченская, дом 43	Муниципалитет	8 (905) 729-50-26	marino-mncpl.ru	-	ЮВАО	Марьино	досуговые центры
46	АНО КС "Эдельвейс"	2-я улица Синичкина, дом 19	Муниципалитет	(495) 360-49-54	lefmun.ru	-	ЮВАО	Лефортово	спортивные залы
47	Бильярдный клуб "Дуплет"	улица Кухмистерова, дом 20, корпус 2	Департамент имущества города Москвы	(495) 354-54-92	-	-	ЮВАО	Печатники	спортивные залы
48	ГБОУ Детско-оздоровительно образовательный центр "Юго-Восточный"	улица Ташкентская, дом 33, корпус 2	Департамент образования города Москвы	(495) 376-56-61 (495) 376-56-70	gou-dooc.uvuo.ru	-	ЮВАО	Выхино-Жулебино	досуговые центры
49	Досуговый центр "Бригантина"	улица Зои и Александра Космодемьянских, дом 35/1	Муниципалитет	(495) 459-35-89	-	-	САО	Коптево	досуговые центры
50	Молодежный  центр "Лидер"	Лермонтовский проспект, дом 2, корпус 2	Департамент семейной и молодежной политики города Москвы	(495) 700-95-25	mclider.ru	junior.lider@mail.ru	ЮВАО	Выхино-Жулебино	досуговые центры
51	Московский Городской дворец творчества детей и молодежи "Марьино"  МГДТДМ	Батайский проезд, дом 1	Департамент образования города Москвы	(499) 357-01-41 (499)  357-53-51	mgdmar.ru	public@mgdmar.ru	ЮВАО	Марьино	досуговые центры
52	Московский Городской дворец творчества детей и молодежи "Марьино"  МГДТДМ	улица Подольская, дом 15	Департамент образования города Москвы	(499) 357-01-41	-	-	ЮВАО	Марьино	досуговые центры
53	Танцевальный клуб "Давайте потанцуем"	Жулебинский бульвар, дом 10/6	Департамент имущества города Москвы	(495) 705-07-95 8 (903) 773-58-63	lets-dance.ru	letsdance@bk.ru	ЮВАО	Выхино-Жулебино	спортивные залы
54	Учебно-спортивный комплекс "Курьяново"	1-й Курьяновский проезд, дом 17, строение 1	Департамент физической культуры и спорта города Москвы	(495) 357-88-11	-	usk2005@mail.ru s64@mossport.ru	ЮВАО	Печатники	физкультурно-оздоровительные комплексы
55	Фитнес клуб "365"	улица Гурьянова, дом 67	Департамент имущества города Москвы	(495) 789-65-91	365fitness.ru	info@365fitness.ru	ЮВАО	Печатники	физкультурно-оздоровительные комплексы
56	Фитнес клуб "PARADISE"	улица Пронская, дом 8/4	Департамент имущества города Москвы	(495) 705-55-00 (495) 705-56-10	h-fit.ru	info@h-fit.ru	ЮВАО	Выхино-Жулебино	физкультурно-оздоровительные комплексы
57	Фитнес клуб "Леон"	Жулебинский бульвар, дом 36, корпус 1 улица Маршала Полубоярова, дом 9/68А	Департамент имущества города Москвы	(495) 706-40-36	sportleon.ru	leon@sportleon.ru	ЮВАО	Выхино-Жулебино	спортивные залы
58	Фитнес клуб "Юниверсал Джим"	Жулебинский бульвар, дом 16	Департамент имущества города Москвы	(495) 700-85-07 (495) 700-85-09	ugym.ru	webadm@ugym.ru	ЮВАО	Выхино-Жулебино	спортивные залы
59	Фитнес- студия "Жасмин"	улица Авиаконструктора Миля, дом 24	Департамент имущества города Москвы	(495) 706-46-78	-	-	ЮВАО	Выхино-Жулебино	спортивные залы
60	Фитнес центр "World class"	проспект Вернадского, дом 6	частная	(495) 935-72-99	worldclass.ru	wclass@wclass.ru	ЗАО	Проспект Вернадского	физкультурно-оздоровительные комплексы
61	Фитнес центр "World class"	улица Ивана Франко, дом 16	частная	(495) 935-72-99	worldclass.ru	wclass@wclass.ru	ЗАО	Кунцево	физкультурно-оздоровительные комплексы
62	Фитнес-клуб "Академия спорта"	Новочеркасский бульвар, дом 10, корпус 1	Департамент имущества города Москвы	(495) 780-55-14	akadem-sport.ru	akadem.sport@mail.ru	ЮВАО	Марьино	физкультурно-оздоровительные комплексы
63	Фитнес-клуб "Зебра"	улица Люблинская, дом 126	Департамент имущества города Москвы	(495) 348-28-01	fitnes.ru	info@fitnes.ru	ЮВАО	Марьино	физкультурно-оздоровительные комплексы
64	Фитнес-клуб "Зебра"	улица Перерва, дом 43, корпус 1	Департамент имущества города Москвы	(495) 589-10-47	fitnes.ru	info@fitnes.ru	ЮВАО	Марьино	физкультурно-оздоровительные комплексы
65	ГОУ ДОДСН ДЮСШ № 76	Бескудниковский бульвар, дом 50А	Департамент физической культуры и спорта города Москвы	(495) 487-50-84	-	s76@mossport.ru	САО	Бескудниковский	центры дополнительного образования
66	ГОУ ДОДСН ДЮСШ №10 "Орбита"	Зеленоград, Озерная аллея, дом 4	Департамент физической культуры и спорта города Москвы	(499) 734-23-02	zel-orbita.narod.ru	s10@mossport.ru	ЗелАО	Савелки	центры дополнительного образования
67	ГОУ ДОДСН ДЮСШ №10 "Орбита"	Зеленоград, Озерная аллея, дом 6	Департамент физической культуры и спорта города Москвы	(499) 735-17-55	zel-orbita.narod.ru	s10@mossport.ru	ЗелАО	Савелки	центры дополнительного образования
68	ГОУ ДОДСН СДЮСШОР № 1 "Умка"	улица Левобережная, дом 12, корпус 1	Департамент физической культуры и спорта города Москвы	(495) 458-10-84	-	-	САО	Ховрино	центры дополнительного образования
69	ГОУ ДОДСН СДЮСШОР № 42	Варшавское шоссе, дом 71	Департамент физической культуры и спорта города Москвы	-	sdushor42.edusite.ru	-	ЮАО	Нагорный	центры дополнительного образования
70	ГОУ ДОДСН СДЮСШОР № 42	улица Люсиновская, дом 62	Департамент физической культуры и спорта города Москвы	(499) 237-25-83	sdushor42.edusite.ru	-	ЮАО	Даниловский	центры дополнительного образования
71	ГОУ ДОДСН СДЮСШОР № 44	Кавказский бульвар, дом 16, корпус 3	Департамент физической культуры и спорта города Москвы	(495) 321-66-55	-	-	ЮАО	Царицыно	центры дополнительного образования
72	ГОУ ДОДСН СДЮСШОР № 44	улица Лисичанская, дом 3	Департамент физической культуры и спорта города Москвы	(495) 321-66-55	-	-	ЮАО	Бирюлёво Восточное	центры дополнительного образования
73	ГОУ ДОДСН СДЮСШОР № 45 "Пролетарский самбист"	улица Садовники, дом 13, строение 3	Департамент физической культуры и спорта города Москвы	(499) 612-03-45	shkolasambo.ru	-	ЮАО	Нагатино-Садовники	центры дополнительного образования
74	ГОУ ДОДСН СДЮСШОР № 46	улица 3-я Радиальная, дом 8	Департамент физической культуры и спорта города Москвы	(495) 321-50-66	-	-	ЮАО	Бирюлёво Восточное	центры дополнительного образования
75	ГОУ ДОДСН СДЮСШОР № 49 "Тринта" им. Ю.Я. Равинского	Загородное шоссе, дом 2А	Департамент физической культуры и спорта города Москвы	(495) 954-15-78	trinta.ru	info@trinta.ru	ЮАО	Донской	центры дополнительного образования
76	ГОУ ДОДСН СДЮСШОР № 71 "Тимирязевcкая"	улица 800-летия Москвы, дом 7Б	Департамент физической культуры и спорта города Москвы	(499) 900-01-14	team-basket.ru	-	САО	Восточное Дегунино	центры дополнительного образования
77	Бассейн "Ясенево"	улица Вильнюсская, дом 6, корпус 1	Департамент физической культуры и спорта города Москвы	(495) 427-95-41	-	-	ЮЗАО	Ясенево	бассейны плавательные
78	Бассейн ГБОУ МССУОР № 2	улица Малая Филевская, дом 34, корпус 2	Департамент физической культуры и спорта города Москвы	(499) 440-77-91	-	-	ЗАО	Фили-Давыдково	бассейны плавательные
79	Бассейн ДАС МГУ	улица Шверника, дом 19, корпус 3	Федеральная	(499) 123-42-20	sportmsu.ru	mail@sportmsu.ru	ЮЗАО	Академический	ВУЗ
80	Бассейн МФА	Ленинградский проспект, дом 55	частная	(499) 943-95-83	-	-	САО	Аэропорт	бассейны плавательные
81	Бассейн Общество с ограниченной ответственностью "Производственное предприятие "Доринстрой"	3-й Нижнелихоборский проезд, дом 1	частная	(495) 482-54-28	-	-	САО	Тимирязевский	физкультурно-оздоровительные комплексы
82	Бассейн Российской академии художеств	улица Крымский Вал, дом 8, корпус 2	Федеральная	(495) 230-35-33	art-lyceum.ru	-	ЦАО	Якиманка	ВУЗ
83	Бильярд	улица Перовская, дом 61/2, строение 1	частная	(495) 797-89-41	-	-	ВАО	Перово	спортивные залы
84	Бильярдный клуб "Golden Kugel"	улица Большая Академическая, дом 24, корпус 2	частная	(495) 450-72-80	-	-	САО	Коптево	спортивные залы
85	Боевая школа "Западный дракон"	улица Амундсена, дом 13, корпус 2	частная	(495) 656-78-90	westdragon.ru	westdragon@svao.net	СВАО	Свиблово	спортивные залы
86	Боулинг "Ист-Вест-Групп"	улица Краснобогатырская, дом 27	частная	(499) 162-31-39	-	-	ВАО	Богородское	спортивные залы
87	Боулинг "КБ-27"	улица Краснобогатырская, дом 27	частная	(499) 162-31-39	kb-27.ru	-	ВАО	Богородское	спортивные залы
88	Велодром Амурский	улица Амурская, дом 6	Департамент физической культуры и спорта города Москвы	(499) 176-15-10	bmxmoscow.ru	shkola-bmx@mail.ru	ВАО	Гольяново	велодромы
89	Велодром Ангарский	улица  Ангарская,  дом 34, соор.1	Департамент физической культуры и спорта города Москвы	(499) 176-15-10	bmxmoscow.ru	shkola-bmx@mail.ru	САО	Дмитровский	велодромы
90	Велодром Бутырский	улица  Яблочкова, владение 41 г.	Департамент физической культуры и спорта города Москвы	(499) 176-15-10	bmxmoscow.ru	shkola-bmx@mail.ru	СВАО	Бутырский	велодромы
91	Велодром Коломенский	Коломенский проезд, владение  16	Департамент физической культуры и спорта города Москвы	(499) 176-15-10	bmxmoscow.ru	shkola-bmx@mail.ru	ЮАО	Нагатино-Садовники	велодромы
92	Водно-спортивная база "ЦСКА ВМФ"	улица Таманская, владение 1, корпус 5	Федеральная	-	-	-	СЗАО	Хорошево-Мневники	гребные базы и каналы
93	Военно-спортивный клуб "ОЛИМП"	Зеленоград, корпус 514А, помещение 1, комнаты 3-6, помещение 2, комнаты 4-16	Департамент имущества города Москвы	8 (964) 524-20-00	vskolimp.ru	kmsb-olimp@mail.ru	ЗелАО	Савелки	спортивные залы
94	Волейбольная площадка	улица Дубосековская, дома 5-7	Федеральная	-	mai.ru	mai@mai.ru	САО	Сокол	ВУЗ
95	ВСК "Буревестник"	улица Летная, дом 99А	частная	(495) 491-41-37	burevest.ru	pkpantey@mtu-net.ru	СЗАО	Покровское-Стрешнево	физкультурно-оздоровительные комплексы
96	ГБОУ "МССУОР № 4 им. А.Я. Гомельского" Москомспорта	улица Белозерская, дом 14	Департамент физической культуры и спорта города Москвы	(495) 707-05-51	uorgomelski.ru	uor4@mossport.ru	СВАО	Бибирево	центры дополнительного образования
97	ГБОУ "МССУОР № 4 им. А.Я. Гомельского" Москомспорта	улица Коненкова, дом 10Б	Департамент физической культуры и спорта города Москвы	(499) 902-49-07 (499) 902-49-29	uorgomelski.ru	uor4@mossport.ru	СВАО	Бибирево	учреждения начального профессионального образования
98	ГБОУ ДОДСН ДЮСШ № 7 "Радужный"	улица Чоботовская, дом 4	Департамент физической культуры и спорта города Москвы	(495) 733-38-88	-	-	ЗАО	Ново-Переделкино	центры дополнительного образования
99	ГБОУ ДОДСН ДЮСШ № 7 "Радужный"	улица Чоботовская, дом 4, корпус 1	Департамент физической культуры и спорта города Москвы	-	-	-	ЗАО	Ново-Переделкино	центры дополнительного образования
100	ГБОУ ДОДСН ДЮСШ № 7 "Радужный"	улица Чоботовская, дом 6	Департамент физической культуры и спорта города Москвы	(495) 733-03-69	-	-	ЗАО	Ново-Переделкино	центры дополнительного образования
101	ГБОУ ДОДСН ДЮСШ № 80	улица Корнейчука, дом 28, корпус 2	Департамент физической культуры и спорта города Москвы	(495) 707-05-82	dush80-svao.ru	S80@mossport.ru	СВАО	Бибирево	центры дополнительного образования
102	ГБОУ ДОДСН ДЮСШ №2	улица Заповедная, дом 1	Департамент физической культуры и спорта города Москвы	(499) 790-30-77	skmedvedkovo.ru	s2@mossport.ru	СВАО	Южное Медведково	физкультурно-оздоровительные комплексы
103	АНО Культурно-досуговый центр "ОРБИТА"	Пятницкая улица, дом 43, строение 3	Муниципалитет	(495) 953-69-15 (495) 953-84-64	zmsk.ru	-	ЦАО	Замоскворечье	досуговые центры
104	АНО Культурно-досуговый центр "ОРБИТА"	Пятницкая улица, дом 47, строение 1	Муниципалитет	(495) 953-69-15 (495) 953-84-64	zmsk.ru	-	ЦАО	Замоскворечье	досуговые центры
