0_OBJECTID;0_Shape;0_UID;1_Название;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
1;POINT (4174351.4288999997 7492511.595399998);7379.0;Государственное бюджетное образовательное учреждение города Москвы Специальная (коррекционная) школа-интернат № 4 для детей-сирот и детей, оставшихся без попечения родителей, с отклонениями в развитии;ГБОУ школа-интернат № 4;109316 г. Москва, ул.Мельникова, д.4;37.675222999999995;55.727584;2130781.0;;;;;Бюджетное;Образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей;Специальная (коррекционная) школа-интернат для детей-сирот и детей, оставшихся без попечения родителей, с  ограниченными возможностями здоровья;263-06-64;http://www.4internat.ru/
2;POINT (4135717.0625 7554807.076200001);7556.0;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2111 """"Улыбка""""";"ГБОУ детский сад № 2111 """"Улыбка""""";124683, Москва, Зеленоград, корп. 1510;-21625.2537159;35109.4139256;3700073.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Детский сад;"(499) 738-80-27; (499) 717-31-88";http://d2111.zouo.ru/
3;POINT (4193638.8962000012 7494826.497199997);2396.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 463 имени Героя Советского Союза Д.Н.Медведева;ГБОУ СОШ № 463;115470 г.Москва,Судостроительная ул. д.10,к.1;10937.325075;1374.60442425;2124483.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(499) 612-34-19;http://sch463.edusite.ru/
4;POINT (4197777.560800001 7480284.508599997);2540.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка № 1207;ГБОУ СОШ № 1207;115582 г. Москва, ул. Домодедовская, д. 24, корп. 7;13300.78595;-6826.96041538;2123141.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;391-59-10;http://sch1207.edusite.ru/
5;POINT (4185710.539099999 7481715.546599999);5514.0;"Государственное бюджетное образовательное учреждение города Москвы Центр развития творчества детей и юношества """"Тутти""""";"ГБОУ ЦРТДиЮ """"Тутти""""";117519 г. Москва, ул. Красного Маяка д. 4а;6467.57015;-6033.72978704;2107404.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;"(495) 314-60-24; (495) 313-35-36; (495) 315-87-94; (495) 314-42-32";http://tutti-school.ru
6;POINT (4177048.3451999985 7485116.822999999);5956.0;Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1647;ГБОУ ЦРР - детский сад № 1647;117647, г.Москва, ул. Академика Капицы, дом 10;1563.533425;-4117.23156725;3000427.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Центр развития ребенка – детский сад;420-37-11;http://www.ds1647.ru
7;POINT (4157602.0414000005 7529566.133199997);6756.0;Государственное бюджетное образовательное учреждение города Москвы дворец творчества детей и молодежи;ГБОУ ДТДМ;125310, г. Москва, Ангелов переулок, д. 2, корп. 2;-9384.60345;20917.97005;2138996.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Дворец;(495) 497-20-00;http://dt-ostrova.ru
8;POINT (4174351.3720999993 7492511.664099999);6872.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным(еврейским)компонентом образования № 1871;ГБОУ СОШ № 1871;101000 г. Москва, ул. Мясницкая, д.40;37.642973999999995;55.766431;2106248.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования;730-87-51;
9;POINT (4205383.065099999 7504081.240800001);6925.0;"Государственное бюджетное образовательное учреждение города Москвы центр детского творчества """"Рязанский""""";"ГБОУ ЦДТ """"Рязанский""""";109428, г. Москва, ул. Зарайская, д. 70;17553.2894412;6611.70734512;2128842.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;171-24-87;http://cdtryazansky.uvuo.ru
10;POINT (4181419.018199999 7522658.2238000035);6939.0;Государственное бюджетное образовательное учреждение города Москвы центр внешкольной работы;ГБОУ ЦВР;127422, г. Москва, ул. Тимирязевская, д. 28;4017.811525;17029.4153217;2110378.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;977-45-91;http://cvr-dubki.ru
