№ строки	Название	Адрес	Контактный телефон	Режим работы
1	Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 1, САО	125445, Москва, ул. Правобережная, д. 4	(499) 457-14-58	круглосуточно (администрация пн-пт 09.00 – 18.00)
2	Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 6, ЮЗАО	117437, Москва, ул. Островитянова, д. 10	(495) 330-44-29	круглосуточно (администрация пн-пт 09.00 – 18.00)
3	Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 9, СЗАО	123480, Москва, ул. Вилиса Лациса д. 2	8(495)495-63-91	круглосуточно (администрация пн-пт 09.00 – 18.00)
4	Государственное бюджетное учреждение города Москвы Пансионат «Коньково» для ветеранов войны, ЮЗАО	117321, Москва, ул. Профсоюзная, д. 140, кор. 6	(495) 339-91-97	круглосуточно (администрация пн-пт 09.00 – 18.00)
5	Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 17, ЮВАО	109386, Москва, ул. Ставропольская, д. 27а	8(495)  358-31-34	круглосуточно (администрация пн-пт 09.00 – 18.00)
6	Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 19, ВАО	105484, Москва, 16-я Парковая ул., д. 16	(499) 464-03-89	круглосуточно (администрация пн-пт 09.00 – 18.00)
7	Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 29, ЗАО	119501, Москва, ул. Нежинская , д. 2	(495) 442-54-91	круглосуточно (администрация пн-пт 09.00 – 18.00)
8	Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 31, ЮЗАО	117321, Москва, ул. Островитянова, д. 16 кор. 5	(495) 338-19-27	круглосуточно (администрация пн-пт 09.00 – 18.00)
9	Государственное бюджетное учреждение города Москвы Дом ветеранов сцены им. Яблочкиной, ВАО	111123, Москва, шоссе Энтузиастов, 88	(495) 304-01-90	круглосуточно (администрация пн-пт 09.00 – 18.00)
10	Государственное бюджетное учреждение города Москвы Пансионат для ветеранов войны и труда «Турист», СВАО	141850, Московская обл., Дмитровский р-н, п. Деденево	8 (495) 993-81-54; 8 (496)22-2-12-12	круглосуточно (администрация пн-пт 09.00 – 18.00)
