№ строки	Вид ППТ	Вид распорядительного документа	Номер распорядительного документа	Дата распорядительного документа
1	Проекты планировки жилых территорий	Постановление Правительства Москвы	936	1999-10-12 04:00:00.0
2	Проекты планировки жилых территорий	Постановление Правительства Москвы	932	1999-10-12 04:00:00.0
3	Проекты планировки жилых территорий	Постановление Правительства Москвы	929	1999-10-12 04:00:00.0
4	Проекты планировки жилых территорий	Постановление Правительства Москвы	935	1999-10-12 04:00:00.0
5	Проекты планировки жилых территорий	Постановление Правительства Москвы	643	2000-08-15 04:00:00.0
6	Проекты планировки жилых территорий	Постановление Правительства Москвы	922	2000-11-21 04:00:00.0
7	Проекты планировки жилых территорий	Постановление Правительства Москвы	921	2000-11-21 04:00:00.0
8	Проекты планировки жилых территорий	Постановление Правительства Москвы	998	2000-12-26 04:00:00.0
9	Проекты планировки жилых территорий	Постановление Правительства Москвы	95	2002-02-05 04:00:00.0
10	Проекты планировки жилых территорий	Постановление Правительства Москвы	258	2001-03-20 04:00:00.0
11	Проекты планировки жилых территорий	Постановление Правительства Москвы	421	2001-04-24 04:00:00.0
12	Проекты планировки жилых территорий	Постановление Правительства Москвы	940	1999-10-12 04:00:00.0
13	Проекты планировки жилых территорий	Постановление Правительства Москвы	829	1999-09-07 04:00:00.0
14	Проекты планировки жилых территорий	Постановление Правительства Москвы	934	1999-10-12 04:00:00.0
15	Проекты планировки жилых территорий	Постановление Правительства Москвы	1014	1999-11-09 04:00:00.0
16	Проекты планировки жилых территорий	Постановление Правительства Москвы	1229	1999-12-28 04:00:00.0
17	Проекты планировки жилых территорий	Постановление Правительства Москвы	1227	1999-12-28 04:00:00.0
18	Проекты планировки жилых территорий	Постановление Правительства Москвы	93	2000-02-08 04:00:00.0
19	Проекты планировки жилых территорий	Постановление Правительства Москвы	1181	1999-12-21 04:00:00.0
20	Проекты планировки жилых территорий	Постановление Правительства Москвы	1181	1999-12-21 04:00:00.0
21	Проекты планировки жилых территорий	Постановление Правительства Москвы	1181	1999-12-21 04:00:00.0
22	Проекты планировки жилых территорий	Постановление Правительства Москвы	1178	1999-12-21 04:00:00.0
23	Проекты планировки жилых территорий	Постановление Правительства Москвы	1178	1999-12-21 04:00:00.0
24	Проекты планировки жилых территорий	Постановление Правительства Москвы	502	2000-07-04 04:00:00.0
25	Проекты планировки жилых территорий	Постановление Правительства Москвы	560	2000-07-18 04:00:00.0
26	Проекты планировки жилых территорий	Постановление Правительства Москвы	831	1999-09-07 04:00:00.0
27	Проекты планировки жилых территорий	Постановление Правительства Москвы	830	1999-09-07 04:00:00.0
28	Проекты планировки жилых территорий	Постановление Правительства Москвы	1177	1999-12-21 04:00:00.0
29	Проекты планировки жилых территорий	Постановление Правительства Москвы	839	1999-09-07 04:00:00.0
30	Проекты планировки жилых территорий	Постановление Правительства Москвы	836	1999-09-07 04:00:00.0
31	Проекты планировки жилых территорий	Постановление Правительства Москвы	772	2000-09-26 04:00:00.0
32	Проекты планировки жилых территорий	Постановление Правительства Москвы	731	2000-09-12 04:00:00.0
33	Проекты планировки жилых территорий	Постановление Правительства Москвы	449	2001-05-15 04:00:00.0
34	Проекты планировки жилых территорий	Постановление Правительства Москвы	60	2003-02-04 04:00:00.0
35	Проекты планировки жилых территорий	Постановление Правительства Москвы	1082	2002-12-31 04:00:00.0
36	Проекты планировки жилых территорий	Постановление Правительства Москвы	432	2003-06-03 04:00:00.0
