"0_ID";"1_Наименование";"0_LABEL";"1_Адрес";"0_X";"0_Y";"0_BUI_NO_BTI";"0_CAD_NO";"0_STREET_BTI";"0_HOUSE_BTI";"0_HADD_BTI";"1_Округ";"1_Район";"0_UNOM";"0_Площадь";"0_Собственник_СО";"1_Собственник"
"000010892";"Аббасов Я.М.";"ул. Пришвина 18А";"ул. Пришвина 18А";"37,601302";"55,886887";;;;;;"СВАО";"Бибирево";"2 302 767";"50";"Аббасов Я.М.";"АББАСОВ Я.М."
"000011018";"Микадо";"Ленинский просп. 88";"Ленинский просп. 88";"37,52638";"55,675879";;;;;;"ЮЗАО";"Ломоносовский";"2 800 110";"320,5";"Микадо";"МИКАДО"
"000011019";"Фараон";"Ленинский просп. 88";"Ленинский просп. 88";"37,5267189999999";"55,6760689999999";;;;;;"ЮЗАО";"Ломоносовский";"2 800 110";"320,5";"""НЬОККИ""";"РДД"
"000011022";"Южное";"Ленинский просп. 87";"Ленинский просп. 87";"37,534420999";"55,678388999";;;;;;"ЮЗАО";"Ломоносовский";"12 925";"4";"Шато Гурман";"Шато Гурман"
"000011176";"Фирма Алексей Плюс";"Ленская ул. 2/21";"Ленская ул. 2/21";"37,674767";"55,865812999";;;;;;"СВАО";"Бабушкинский";"12 998";"110";"КАФЕ ""ХИНКАЛИ""";"САРЕНГЕТИ"
"000012467";"Виктория";"Ясеневая ул. 30";"Ясеневая ул. 30";"37,739504999";"55,604567";;;;;;"ЮАО";"Орехово-Борисово Южное";"2 123 456";"50";"ЦУНАМИ";"Виктория"
"000018422";"Общественное питание на Жулебинский бульвар, 18/8";"Жулебинский бульв. 18/8";"Жулебинский бульв. 18/8";"37,853639";"55,695811";;;;;;"ЮВАО";"Выхино-Жулебино";"32 090";"50";"БИШ ФИШ";"ИНВЕСТИЦИИ и КОНСАЛДИНГ"
"000018424";"Общественное питание на Тарханская ул, д.2 (ООО Альта-Виста)";"Тарханская ул. 2";"Тарханская ул. 2";"37,852879";"55,696437";;;;;;"ЮВАО";"Выхино-Жулебино";"2 709 314";"50";"-";"МОНА"
"000018426";"Общественное питание на ул. Донецкая, вл.2А (ООО Стрела)";"Донецкая ул. 2А";"Донецкая ул. 2А";"37,719601";"55,653036";;;;;;"ЮВАО";"Марьино";"2 129 521";"70";"У ЛЕНИ";"Стрела"
"000018423";"Общественное питание на Жулебинский бульвар, д.16 (ООО Русфудмос)";"Жулебинский бульв. 16";"Жулебинский бульв. 16";"37,852514";"55,696731";;;;;;"ЮВАО";"Выхино-Жулебино";"2 705 706";"80";"-";"АВАНТАЖ-Т"
"000018425";"Общественное питание на Ферганская ул., д.17 (ООО Бункер)";"Ферганская ул. 17";"Ферганская ул. 17";"37,818539";"55,706634";;;;;;"ЮВАО";"Выхино-Жулебино";"2 128 981";"50";"Легранд-Кафе";"Бункер"
"000018427";"Общественное питание на ул. Маршала Чуйкова, вл.14 (ООО Арис-В)";"ул. Маршала Чуйкова 14";"ул. Маршала Чуйкова 14";"37,762728";"55,701667";;;;;;"ЮВАО";"Кузьминки";"2 128 390";"40";"ДЯДЮШКИН ДВОР";"АРИС - В"
"000018428";"Общественное питание на Нижегородская ул.,д.29-33, стр.3 (ООО ШАП-З)";"Нижегородская ул. 29-33 с. 3";"Нижегородская ул. 29-33 с. 3";"37,711491";"55,733716";;;;;;"ЮВАО";"Нижегородский";"2 129 961";"30";"БАРСОЛИНО";"ШАП-3"
"000018429";"Общественное питание на Симоновский вал, д.11/31 (ООО Лаборатория успеха)";"ул. Симоновский Вал 11/31";"ул. Симоновский Вал 11/31";"37,664348";"55,724504";;;;;;"ЮВАО";"Южнопортовый";"270 067";"30";"Пахлава";"Лаборатория успеха"
"000018431";"Сезонное кафе на ул. Расплетина. вл. 12, к. 1";"ул. Расплетина 12 к. 1";"ул. Расплетина 12 к. 1";"37,4847669999999";"55,793288";;;;;;"СЗАО";"Щукино";"3 300 382";"72";"СТОЛОВАЯ ""ПЕЛЬМЕННАЯ""";"КАФЕ"
"000018432";"Сезонное кафе на ул. Аэродромной. вл. 5";"Аэродромная ул. 5";"Аэродромная ул. 5";"37,431294";"55,845736";;;;;;"СЗАО";"Южное Тушино";"2 115 991";"60";"ШАФРАН";"Дары Алтая"
"000018433";"Кафе ""Гарден"" ООО ""Фурнет"" корп. 305";"Зеленоград  к. 305";"Зеленоград  к. 305";"37,211861";"55,998412";;;;;;"ЗелАО";"Савелки";"3 701 393";"80";"Кафе ""GARDEN""";"Фурнет"
"000018276";"""Кусира"" ООО";"ул. Сущёвский Вал 31 с. 1";"ул. Сущёвский Вал 31 с. 1";"37,604271";"55,79345";;;;;;"СВАО";"Марьина роща";"2 138 251";"80";"ТАНУКИ";"КУСИРА"
"000018347";"7 крон";"ул. Ефремова 12";"ул. Ефремова 12";"37,572345";"55,72406";;;;;;"ЦАО";"Хамовники";"7 583";"125";"7 КРОН";"7 КРОН"
"000018348";"Сезонное летнее кафе при стационарном предприятии; ул. Перовская,вл.73/43 стр. 1";"Перовская ул. 73/43";"Перовская ул. 73/43";"37,8111689999999";"55,745008999";;;;;;"ВАО";"Новогиреево";"19 499";"160";"ГАНДЗАК";"Алиса"
"000018352";"Скайли";"ул. Арбат 44 с. 1";"ул. Арбат 44 с. 1";"37,5865989999999";"55,74804";;;;;;"ЦАО";"Арбат";"3 200 443";"114";"Шоколадница";"ГАЛЕРЕЯ-АЛЕКС"
"000018353";"Хинкальная";"Большая Пироговская ул. 53";"Большая Пироговская ул. 53";"37,56128";"55,727203";;;;;;"ЦАО";"Хамовники";"19 836";"149";"Европа";"ЛУРЕ-ЛЕВЕЛ"
"000018357";"БРПИ";"ул. Новый Арбат 17";"ул. Новый Арбат 17";"37,590794";"55,752188";;;;;;"ЦАО";"Арбат";"2 131 226";"40";"БАСКИН РОББИНС";"БРПИ"
"000018350";"Дайсу";"ул. Арбат 25/36";"ул. Арбат 25/36";"37,59449";"55,75083";;;;;;"ЦАО";"Арбат";"811";"40";"СИННАБОН";"МЕГАГРУПП"
"000018351";"Карнавал";"ул. Арбат 38/1 с. 1";"ул. Арбат 38/1 с. 1";"37,587999";"55,748492999";;;;;;"ЦАО";"Арбат";"2 127 596";"57";"ШАШЛЫК-МАШЛЫК";"КОМБИНАТ ПИТАНИЯ АРБАТ"
"000018354";"Иммобилиаре";"ул. Новый Арбат 28";"ул. Новый Арбат 28";"37,590783";"55,7493869999999";;;;;;"ЦАО";"Арбат";"2 127 806";"118";"ДЕНДИ КАФЕ";"ИММОБИЛИАРЕ"
"000018355";"Онегин";"ул. Пречистенка 12/2 с. 10";"ул. Пречистенка 12/2 с. 10";"37,598435";"55,743821";;;;;;"ЦАО";"Хамовники";"2 100 472";"105";"Кафе в музее А.С. Пушкина";"Юнион"
"000018356";"Журфак";"Большой Афанасьевский пер. 3 с. 3";"Большой Афанасьевский пер. 3 с. 3";"37,596952";"55,745126";;;;;;"ЦАО";"Хамовники";"15 410";"283";"""Журфак""";"ЛОГИНПЭКС"
"000018358";"Арбат ХХ";"ул. Новый Арбат 21";"ул. Новый Арбат 21";"37,585078";"55,752191";;;;;;"ЦАО";"Арбат";"2 127 713";"98";"ВЕСНА";"Весна"
"000018359";"Элком Трейд";"Большая Садовая ул. 6";"Большая Садовая ул. 6";"37,591898";"55,7662309999999";;;;;;"ЦАО";"Пресненский";"22 478";"50";"Элком Трейд";"ЭЛКОМТРЕЙД"
"000018360";"ЛБК-Ритейл";"Пресненская наб. 8 с. 1";"Пресненская наб. 8 с. 1";"37,539108";"55,746923";;;;;;"ЦАО";"Пресненский";"4 306 988";"50";"ЛБК-Ритейл";"ПРАГМА"""
"000018361";"Гости";"ул. Пресненский Вал 1";"ул. Пресненский Вал 1";"37,562926";"55,763852";;;;;;"ЦАО";"Пресненский";"2 116 568";"50";"Гости";"ЕВА"
"000018364";"Общественное питание на Жулебинский б-р, д.25";"Жулебинский бульв. 25";"Жулебинский бульв. 25";"37,852894";"55,690068999";;;;;;"ЮВАО";"Выхино-Жулебино";"67 407";"60";"Ресторан Гема";"Стрелец"
"000018365";"Общественное питание на ул. Генерала Кузнецова, д.12";"ул. Генерала Кузнецова 12";"ул. Генерала Кузнецова 12";"37,859058";"55,6908609999999";;;;;;"ЮВАО";"Выхино-Жулебино";"61 181";"50";"Ресоран ""Рай""";"ЭРЕНАДА"
"000018373";"Джонни Грин Паб";"просп. Мира 91 к. 1";"просп. Мира 91 к. 1";"37,635512";"55,8054449999999";;;;;;"СВАО";"Останкинский";"14 508";"66";"Джонни Грин Паб";"Юстус"
"000018374";"Сезонное кафе при стационарном предприятии на Курганская ул., д. 4";"Курганская ул. 4";"Курганская ул. 4";"37,816168999";"55,829455";;;;;;"ВАО";"Гольяново";"12 186";"90";"СТАРОЕ ГОЛЬЯНОВО";"Старое Гольяново"" КАФЕ-БАР ""Старое Гольяново"""
"000018375";"Вазлеев";"ул. Бестужевых 11А";"ул. Бестужевых 11А";"37,6025789999999";"55,8701829999999";;;;;;"СВАО";"Отрадное";"2 300 005";"50";"КАФЕ ОТРАДНЫЙ ДВОРИК";"Бримэкс"
"000018376";"Пирамида";"ул. Декабристов 17";"ул. Декабристов 17";"37,604988";"55,86469";;;;;;"СВАО";"Отрадное";"2 109 095";"115";"УРЮК";"Пирамида"
"000018377";"Общественное питание на ул. Ферганская, д.17";"Ферганская ул. 17";"Ферганская ул. 17";"37,818594";"55,7062609999999";;;;;;"ЮВАО";"Выхино-Жулебино";"2 128 981";"50";"Легранд-Кафе";"Бункер"
"000018378";"Общественное питание на пр-т Вернадского, д.41, стр.3";"просп. Вернадского 41 с. 3";"просп. Вернадского 41 с. 3";"37,504848";"55,674511";;;;;;"ЗАО";"Проспект Вернадского";"2 111 670";"100";"Пивной клуб Портер";"Риком"
"000018385";"Сезонное кафе Иль патио и Планета суши ""СП-Альянс""";"Зеленоград, Савёлкинский пр. 4";"Зеленоград, Савёлкинский пр. 4";"37,217564";"55,9912769999999";;;;;;"ЗелАО";"Савелки";"3 700 905";"40";"Иль-Патио и Планета суши";"СП-Альянс"
"000018384";"Летнее кафе ""Варшавские бани"" Варшавское ш., д.34";"Варшавское шоссе 34";"Варшавское шоссе 34";"37,623088";"55,680906";;;;;;"ЮАО";"Нагорный";"2 107 272";"300";"ВАРШАВСКИЕ БАНИ";"ВАРШАВСКИЕ БАНИ"
"000018386";"Далоникс";"Украинский бульв. 7";"Украинский бульв. 7";"37,566839";"55,747759";;;;;;"ЗАО";"Дорогомилово";"26 633";"50";"ХАЧАПУРИ";"ДАЛОНИКС"
"000018387";"Рисовый Ниндзя";"пл. Киевского Вокзала 2";"пл. Киевского Вокзала 2";"37,565479";"55,7438369999999";;;;;;"ЗАО";"Дорогомилово";"3 202 868";"45";"Рисовый Ниндзя";"СОЗВЕЗДИЕ"
"000018388";"Цветочный лес";"Ломоносовский просп. 29 к. 3";"Ломоносовский просп. 29 к. 3";"37,514428";"55,704544999";;;;;;"ЗАО";"Раменки";"310 090";"70";"Цветочный лес";"Цветочный лес"
"000018390";"Сезонное летнее кафе при стационарном предприятии; Первомайская ул., вл. 34/16";"Первомайская ул. 34/16";"Первомайская ул. 34/16";"37,783478";"55,7927";;;;;;"ВАО";"Измайлово";"19 169";"181";"АГАТ-СТ КАФЕ ""ШТИРЛИЦ""";"АГАТ-СТ"
"000018392";"Сезонное летнее кафе при стационарном предприятии; Измайловское шоссе, вл. 71 корп 3В";"Измайловское шоссе 71 к. 3В";"Измайловское шоссе 71 к. 3В";"37,747011";"55,790220999";;;;;;"ВАО";"Измайлово";"2 105 503";"300";"Вега";"ЭкоМаркет"
"000018394";"Сезонное летнее кафе при стационарном предприятии; Сиреневый бульв.. вл. 23А";"Сиреневый бульв. 23А";"Сиреневый бульв. 23А";"37,79337";"55,803180999";;;;;;"ВАО";"Северное Измайлово";"2 116 226";"100";"Кафе ""Ахилес""";"АЛЬФА-ГАРАНТ"
"000018396";"Сезонное летнее кафе при стационарном предприятии; Шоссе Энтузиастов, вл. 66/1";"шоссе Энтузиастов 66/1";"шоссе Энтузиастов 66/1";"37,77835";"55,763108999";;;;;;"ВАО";"Перово";"30 144";"80";"""НЬОККИ""";"РДД"
"000018398";"Сезонно летнее кафе при стационарном предприятии; Семеновская пл., вл. 2";"Семёновская пл. 2";"Семёновская пл. 2";"37,718998";"55,783518";;;;;;"ВАО";"Соколиная гора";"2 504 002";"95";"Пронто";"ИНТЕГРАЛ"
"000018391";"Сезонное летнее кафе при стационарном предприятии; Первомайская ул., вл. 33";"Первомайская ул. 33";"Первомайская ул. 33";"37,782234";"55,792880999";;;;;;"ВАО";"Измайлово";"2 132 521";"220";"БРИЗ";"Бриз"
"000018393";"Сезонное летнее кафе при стационарном предприятии; Преображенская пл., вл. 8";"Преображенская пл. 8";"Преображенская пл. 8";"37,712754";"55,795136";;;;;;"ВАО";"Преображенское";"2 600 496";"17";"СТАРБАКС КОФЕ";"КОФЕ СИРЕНА"
"000018395";"Сезонное летнее кафе при стационарном предприятии; Сиреневый бульв., вл. 25А";"Сиреневый бульв. 25А";"Сиреневый бульв. 25А";"37,795538";"55,803192999";;;;;;"ВАО";"Северное Измайлово";"2 116 225";"100";"Ресторан ""Ли-Лу""";"Соло"
"000018397";"Сезонное летнее кафе при стационарном предприятии; Вельяминовская ул., вл. 6, стр. 2";"Вельяминовская ул. 6 с. 2";"Вельяминовская ул. 6 с. 2";"37,722818";"55,78061";;;;;;"ВАО";"Соколиная гора";"2 115 342";"80";"НЬОККИ";
"000004343";"Общественное питание на ул. Ельнинская, д. 23";"Ельнинская ул. 23 с. 2";"Ельнинская ул. 23 с. 2";"37,4169849999999";"55,740799";;;;;;"ЗАО";"Кунцево";"3 200 187";"32";"Сигма";"СИГМА"
"000006814";"Максимус М";"ул. Арбат 2/1";"ул. Арбат 2/1";"37,599762";"55,752206";;;;;;"ЦАО";"Арбат";"2 127 471";"28";"МАКСИМУС";"Максимус"
"000006815";"Галерея Алекс";"ул. Арбат 1";"ул. Арбат 1";"37,599472999";"55,752031";;;;;;"ЦАО";"Арбат";"4 302 687";"36";"""Галерея Алекс""";"АСТЕРОИД"
"000006816";"Кофе Хаус";"ул. Арбат 1";"ул. Арбат 1";"37,600143";"55,752084999";;;;;;"ЦАО";"Арбат";"4 302 687";"72";"кафе ""Кофе Хаус""";"Кофе Хаус Эспрессо и Капучино Бар"
