1_Номер;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Телефон;1_Режим работы;0_moddate;0_moduser
1;Городской центр профилактики безнадзорности и правонарушений среди несовершеннолетних «Дети улиц»                                                                                                                                                             ;Городской центр профилактики безнадзорности и правонарушений среди несовершеннолетних «Дети улиц». 119034, Малый Левшинский переулок, д. 1/32, стр. 3                                                                                                         ;Малый Левшинский переулок, д. 1/32, стр. 3                                                                                                                                                                                                                    ;5822,498871;8225,014435;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;495 637-76-91, 499 978-35-42                                                                                                                                                                                                                                  ;пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, перерыв: 13.00 - 13.45                                                                                                                                                                                     ;25.01.2013;opens\osoina                                                                                        
3;"Отделение Городского центра  
«Дети улиц» в ЦАО города Москвы                                                                                                                                                                                                 ";Отделение Городского центра «Дети улиц» в ЦАО города Москвы. 127006, Москва, ул. Садовая-Триумфальная, д.16, корп.2                                                                                                                                           ;127006, Москва, ул. Садовая-Триумфальная, д.16, корп.2                                                                                                                                                                                                        ;6553,389067;11598,71396;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;495 650-25-75, 495 650-22-78                                                                                                                                                                                                                                  ;пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45                                                                                                                ;12:00:00 AM;                                                                                                    
4;"Отделение Городского центра  
«Дети улиц» в САО города Москвы                                                                                                                                                                                                 ";Отделение Городского центра «Дети улиц» в САО города Москвы. 127644, Москва, Карельский бульвар, д. 21, корп. 1                                                                                                                                               ;127644, Москва, Карельский бульвар, д. 21, корп. 1                                                                                                                                                                                                            ;2302,773914;25418,71986;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;495 485-11-81, 495 485-11-65                                                                                                                                                                                                                                  ;пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45                                                                                                                ;12:00:00 AM;                                                                                                    
5;"Отделение Городского центра  
«Дети улиц» в СВАО города Москвы                                                                                                                                                                                                ";Отделение Городского центра «Дети улиц» в СВАО города Москвы. 127221, Москва, ул. Полярная, д.10, стр.1                                                                                                                                                       ;127221, Москва, ул. Полярная, д.10, стр.1                                                                                                                                                                                                                     ;8781,44865;23098,67973;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;499 473-81-26                                                                                                                                                                                                                                                 ;пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45                                                                                                                ;12:00:00 AM;                                                                                                    
6;"Отделение Городского центра  
«Дети улиц» в СВАО города Москвы                                                                                                                                                                                                ";Отделение Городского центра «Дети улиц» в СВАО города Москвы. 129347, Москва, Ярославское шоссе, д.144                                                                                                                                                        ;129347, Москва, Ярославское шоссе, д.144                                                                                                                                                                                                                      ;14044,94275;23623,90356;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;499 473-81-26                                                                                                                                                                                                                                                 ;пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45                                                                                                                ;12:00:00 AM;                                                                                                    
7;"Отделение Городского центра  
«Дети улиц» в ВАО города Москвы                                                                                                                                                                                                 ";Отделение Городского центра «Дети улиц» в ВАО города Москвы. 111625, Москва, ул. Лухмановская, д.1                                                                                                                                                            ;111625, Москва, ул. Лухмановская, д.1                                                                                                                                                                                                                         ;25125,62669;5280,131651;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;499 721-97-02                                                                                                                                                                                                                                                 ;пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45                                                                                                                ;12:00:00 AM;                                                                                                    
8;"Отделение Городского центра  
«Дети улиц» в ЮВАО города Москвы                                                                                                                                                                                                ";Отделение Городского центра «Дети улиц» в ЮВАО города Москвы. 109386, Москва, ул.Таганрогская, д. 9, корп.2                                                                                                                                                   ;109386, Москва, ул.Таганрогская, д. 9, корп.2                                                                                                                                                                                                                 ;16211,68649;1424,865833;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;495 350-59-92, 495 352-71-27                                                                                                                                                                                                                                  ;пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45                                                                                                                ;12:00:00 AM;                                                                                                    
9;"Отделение Городского центра  
«Дети улиц» в ЮАО города Москвы                                                                                                                                                                                                 ";Отделение Городского центра «Дети улиц» в ЮАО города Москвы. 115408, Москва, ул. Алма-Атинская, д.10, стр. 3                                                                                                                                                  ;115408, Москва, ул. Алма-Атинская, д.10, стр. 3                                                                                                                                                                                                               ;16889,73758;-3166,699763;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;495 341-55-54                                                                                                                                                                                                                                                 ;пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45                                                                                                                ;12:00:00 AM;                                                                                                    
10;"Отделение Городского центра  
«Дети улиц» в ЮЗАО города Москвы                                                                                                                                                                                                ";Отделение Городского центра «Дети улиц» в ЮЗАО города Москвы. 117042, Москва, ул. Адмирала Лазарева, д. 11                                                                                                                                                    ;117042, Москва, ул. Адмирала Лазарева, д. 11                                                                                                                                                                                                                  ;2583,48465;-13540,88355;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;499 723-59-00                                                                                                                                                                                                                                                 ;пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45                                                                                                                ;12:00:00 AM;                                                                                                    
11;"Отделение Городского центра  
«Дети улиц» в ЗАО города Москвы                                                                                                                                                                                                 ";Отделение Городского центра «Дети улиц» в ЗАО города Москвы. 119620, Москва, ул. Волынская, д.3                                                                                                                                                               ;119620, Москва, ул. Волынская, д.3                                                                                                                                                                                                                            ;-5134,12375;-2434,083802;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;495 738-02-02, 499 738-02-22                                                                                                                                                                                                                                  ;пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45                                                                                                                ;12:00:00 AM;                                                                                                    
