0_OBJECTID; 0_UIDNFTN;1_Название учреждения;1_Адрес;0_ X;0_ Y;0_ BUI_NO_BTI;1_Телефон;1_Режим работы
1;15;Государственное бюджетное образовательное учреждение Специальный (коррекционный) детский дом для детей сирот и детей, оставшихся без попечения родителей,  V вида № 46.;107497, Москва, Байкальская ул., д.48;20442,1751;16587,1174;2400150;(495) 469-40-69;круглосуточно
2;7;Государственное бюджетное образовательное учреждение детский дом №12;125373, Москва, Василия Петушкова ул., д.19, кор.1;-6096,395;19205,5433;2133365;(495) 948-50-10;круглосуточно
3;19;Государственное бюджетное образовательное учреждение города Москвы детский дом № 59;127562, Москва, Декабристов ул, д.8, кор.3;6233,7437;21939,9218;2109130;(499) 907-93-55;круглосуточно
4;14;Государственное бюджетное образовательное учреждение города Москвы Специальный (коррекционный) детский дом для детей-сирот и детей, оставшихся без попечения родителей, с отклонениями в развитии № 43;127081, Москва, Ясный пр., д.24а;7867,172;23282,871;2114053;(499) 477-04-79;круглосуточно
5;8;Государственное бюджетное образовательное учреждение города Москвы Санаторный детский дом для детей – сирот и детей, оставшихся без попечения родителей № 14;124617, Москва, Зеленоград, кор.1426;-21728,4856;35840,8478;2136281;(499) 717-04-95;круглосуточно
6;6;Государственное бюджетное образовательное учреждение города Москвы Специальный (коррекционный) детский дом для детей-сирот и детей, оставшихся без попечения родителей, с ограниченными возможностями здоровья № 11;119602, Москва, Академика Анохина ул., д.28, кор.1;-1703,3055;-685,8508;2116918;(495) 437-41-41;круглосуточно
7;27;Государственное казенное учреждение  Детский дом-интернат для умственно отсталых детей № 28;125412, Москвы, ул. Талдомская, д. 4;1539,2261;22876,776;25488;(495) 487-00-57;круглосуточно (администрация пн-пт 09.00 – 18.00)
8;27;Государственное бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей детский дом «Молодая гвардия»;"142750, город Москва, поселенние Внуковское, посёлок детского дома ""Молодая гвардия"".";;;;;Круглосуточно.
9;28;"Государственное казенное учреждение  Детский дом-интернат для умственно отсталых детей ""Южное Бутово""";117042, Москва, ул. Южнобутовская, д. 19;2604,3548;-14063,5837;2900831;(499) 743-48-63;круглосуточно (администрация пн-пт 09.00 – 18.00)
10;10;Государственное бюджетное образовательное учреждение города Москвы Специальный (коррекционный) детский дом для детей-сирот и детей, оставшихся без попечения родителей, с ограниченными возможностями здоровья № 18;109280, Москва, Лебедянская ул., д.26, кор.3;11922,2584;-9217,3088;78131;(495) 329-83-22;"пн.-пят. 9.00-17.00;суб. 10.00-16.00"
