0_OBJECTID;0_UIDNFTN;Название;0_LABEL;Адрес;0_X;0_Y;0_ZRENIE;0_OPORNO_DVIG
1;1;Управление социальной защиты населения Алтуфьевского района г. Москвы;УСЗН Алтуфьевского района г. Москвы. проезд Черского д.1;Москва, проезд Черского д.1;5381,669844;23253,1737;приспособлен;приспособлен
2;2;Управление социальной защиты населения Бабушкинского района города Москвы СВАО;УСЗН Бабушкинского района города Москвы СВАО. Ул. Верхоянская, д.10;Москва, Ул. Верхоянская, д.10;10540,1943;21263,73948;частично приспособлен;приспособлен
3;3;Управление социальной защиты населения района Бибирево города Москвы СВАО;УСЗН района Бибирево города Москвы СВАО. ул. Плещеева, д. 7Б;Москва, ул. Плещеева, д. 7Б;6977,587805;24654,65283;частично приспособлен;частично приспособлен
4;4;Управление социальной защиты населения района Богородское города Москвы Восточный административный округ;УСЗН района Богородское города Москвы Восточный административный окруул. Бойцовая, дом 10, корпус 5;Москва, ул. Бойцовая, дом 10, корпус 5;13938,8005;16014,93018;не приспособлен;частично приспособлен 
5;5;Управление социальной защиты населения района Восточное Измайлово города Москвы ВАО;УСЗН района Восточное Измайлово города Москвы ВАО. 105077, ул. Первомайская, дом 107А. Стр.1;105077, Москва, ул. Первомайская, дом 107, стр.1;19638,766;14143,2441;частично приспособлен;частично приспособлен
6;6;Управление социальной защиты населения Гагаринского района города Москвы;УСЗН Гагаринского района города Москвы. Ленинский проспект, д.60/2;Москва, Ленинский проспект, д.60/2;3662,2755;3176,644274;приспособлен;приспособлен
7;7;Управление социльной защиты населения района Измайлово города Москвы ВАО;УСЗН района Измайлово города Москвы ВАО. Заводской проезд, д.3;Москва, Заводской проезд, д.3;17674,17313;13661,46575;не приспособлен;частично приспособлен
8;8;Управление социальной защиты населения района Крюково города Москвы Зеленоградский административный округ;УСЗН района Крюково города Москвы Зеленоградский административный округород Зеленоград, корпус 1818;Москва, город Зеленоград, корпус 1818;-20860,82498;35283,61153;частично приспособлен;частично приспособлен
9;9;Управление социальной защиты населения района Люблино города Москвы Юго-Восточный административный округ;УСЗН района Люблино города Москвы Юго-Восточный административный окрупроспект 40 лет Октября, дом 20;Москва, проспект 40 лет Октября, дом 20;15544,69335;1074,37701;приспособлен;приспособлен
10;10;Управление социальной защиты населения района Матушкино-Савелки;УСЗН района Матушкино-Савелки. г.Зеленоград, корп.313;г.Москва, г.Зеленоград, корп.313;-17721,4215;37099,69187;приспособлен;приспособлен
11;11;Управление социальной защиты населения района Митино города Москвы;УСЗН района Митино города Москвы. Пятницкое шоссе, д.7;Москва, Пятницкое шоссе, д.7;-7041,34085;18987,11023;частично приспособлен;приспособлен
12;12;Управление социальной защиты населения Можайского района ЗАО города Москвы;УСЗН Можайского района ЗАО города Москвы. ул. Гришина, д. 8, корп. 3;Москва, ул. Гришина, д. 8, корп. 3;-4836,51695;6088,2255;приспособлен;приспособлен
13;13;Управление социальной защиты населения Нагорного района города Москвы Южный административный округ;УСЗН Нагорного района города Москвы Южный административный округ. 117556, Варшавское шоссе, дом 74, корпус 3;117556, город Москва, Варшавское шоссе, дом 74, корпус 3;7561,075;-1341,274755;частично приспособлен;частично приспособлен
14;40;Управление социальной защиты населения района Печатники;УСЗН района Печатники.  ул. Гурьянова, д.77;г. Москва,  ул. Гурьянова, д.77;13782,30289;994,9868256;приспособлено;приспособлено
15;41;УСЗН района Покровское-Стрешнево;УСЗН района Покровское-Стрешнево. Ул. Свободы , д.8/4, стр.1;Ул. Свободы , д.8/4, стр.1;-2778,115;17930,84906;Частично  приспособлен;Частично приспособлен
16;42;Управление социальной защиты населения района Преображенское города Москвы ВАО;УСЗН района Преображенское города Москвы ВАО. 107076, улица Стромынка, дом 21, корп. 1;107076, г. Москва, улица Стромынка, дом 21, корп. 1;12614,72015;14253,66441;частично приспособлен;частично приспособлен
17;43;Управление социальной защиты населения Пресненского района ЦАО города Москвы;УСЗН Пресненского района ЦАО города Москвы. Ул. 1905 года, д.5;Ул. 1905 года, д.5;3712,000025;10324,4947;Не приспособлено;Частично приспособлено
18;44;Управление социальной защиты населения района Раменки города Москвы Западный административный округ;УСЗН района Раменки города Москвы Западный административный округ. ул.Раменки, д.6, корп.2;г.Москва, ул.Раменки, д.6, корп.2;-359,6836138;2904,47532;приспособлен;частично приспособлен
19;45;Управление социальной защиты населения района Ростокино Северо-Восточный административный округ город Москва;УСЗН района Ростокино Северо-Восточный административный округ город Москва. 129226 ул. Докукина, д.11,стр.2;129226 г. Москва, ул. Докукина, д.11,стр.2;9545,75915;19153,01475;приспособлено;приспособлено
20;46;Управление социальной защиты населения района Северное Измайлово города Москвы Восточный административный округ;УСЗН района Северное Измайлово города Москвы Восточный административный округ. 3-я Парковая ул., д. 44Б;Москва, 3-я Парковая ул., д. 44Б;17985,9328;15340,6529;Не приспособлен;Частично приспособлен
21;47;Управление социальной защиты населения района Северное Медведково города Москвы Северо-Восточный административный округ ;УСЗН района Северное Медведково города Москвы Северо-Восточный административный округ . ул.Грекова, д.7;Москва, ул.Грекова, д.7;10153,83115;24940,38901;частично приспособлено;приспособлено
22;48;Управление социальной защиты населения района Северное Тушино;УСЗН района Северное Тушино. бульвар  Яна Райниса, д.17;Г. Москва, бульвар  Яна Райниса, д.17;-4244,500475;20291,67402;Частично приспособлен;Приспособлен
23;49;Управление социальной защиты населения района Северное Бутово;УСЗН района Северное Бутово. бульвар Дмитрия Донского д.12;Москва, бульвар Дмитрия Донского д.12;4691,97515;-11260,81372;Приспособлено;Частично приспособлено
24;50;Управление социальной защиты населения района Сокольники города Москвы ВАО;УСЗН района Сокольники города Москвы ВАО. 2-й Полевой пер., д.2;Москва, 2-й Полевой пер., д.2;11482,17505;13917,41624;приспособлено;приспособлено
25;51;Управление социальной защиты населения района Солнцево города Москвы Западный административный округ;УСЗН района Солнцево города Москвы Западный административный округ. улица Богданова, дом 54;Москва, улица Богданова, дом 54;-6637,48675;-2004,29729;Частично приспособлено;Частично приспособлено
26;52;Управление социальной защиты населения района Строгино города Москвы СЗАО;УСЗН района Строгино города Москвы СЗАО. 123592, Строгинский бульвар, д.2, корп.2;123592, г. Москва, Строгинский бульвар, д.2, корп.2;-6421,4831;15317,42965;Приспособлено;Частично приспособлено
27;53;УСЗН Таганского района города Москвы ЦАО;УСЗН Таганского района города Москвы ЦАО. 109147, ул. Воронцовская, д. 21;109147, Москва, ул. Воронцовская, д. 21;10124,5201;7786,433124;Частично приспособлен;Частично приспособлен
28;54;Управление социальной защиты населения Тверского района города Москвы ЦАО;УСЗН Тверского района города Москвы ЦАО. 4-й Самотечный пер. д.9;г. Москва, 4-й Самотечный пер. д.9;7172,7465;12444,50946;Частично приспособлен;Частично приспособлен
29;55;Управление социальной защиты населения района Текстильщики ЮВАО г. Москва;УСЗН района Текстильщики ЮВАО г. Москва. 7-я ул. Текстильщиков, д.2/20;Москва, 7-я ул. Текстильщиков, д.2/20;15639,31088;3142,364937;Не приспособлено;Частично приспособлено 
30;56;Управление социальной защиты населения района Теплый Стан;УСЗН района Теплый Стан. 117133, ул.Теплый Стан, д. 4;117133, г. Москва, ул.Теплый Стан, д. 4;-583,04425;-4392,5898;приспособлен ;приспособлен
31;57;Управление социальной защиты населения Тимирязевского района;УСЗН Тимирязевского района. Г.Москва Дмитровское ш. 5/1;Г.Москва Дмитровское ш. 5/1;4951,19845;16169,3772;Частично  приспособлено; приспособлено
32;58;Управление социальной защиты населения района Царицыно города Москвы ЮАО;УСЗН района Царицыно города Москвы ЮАО. 115477, ул.Кантемировская, д.29, корп.1;115477, г.Москва, ул.Кантемировская, д.29, корп.1;10621,45993;-3312,233492;Не приспособлен;Приспособлен частично
33;59;Управление социальной защиты населения района Чертаново Центральное ЮАО г.Москвы  ;УСЗН района Чертаново Центральное ЮАО г.Москвы  . 117519, ул. Красного Маяка д.4, корп.5 ;117519, г.Москва, ул. Красного Маяка д.4, корп.5 ;6358,33945;-5821,907993;частично приспособлено;доступно
34;60;Управление социальной защиты населения района Чертаново Южное города Москвы ЮАО;УСЗН района Чертаново Южное города Москвы ЮАО. Варшавское ш., д. 154, корп.2;Москва, Варшавское ш., д. 154, корп.2;6229,13715;-8865,819817;Частично приспособлен;Частично приспособлен
35;61;Управление социальной защиты населения района Южное Тушино города Москвы СЗАО;УСЗН района Южное Тушино города Москвы СЗАО. б-р Яна Райниса, дом 17;Москва, б-р Яна Райниса, дом 17;-4244,500475;20291,67402;приспособлено;приспособлено
36;62;УСЗН Южнопортового района города Москвы Юго-Восточный административный округ;УСЗН Южнопортового района города Москвы Юго-Восточный административный округ. 115280, ул. Велозаводская, д. 11/1;115280, г. Москва, ул. Велозаводская, д. 11/1;10657,03595;4926,322032;приспособлено;приспособлено
37;63;Управление социальной защиты населения района Якиманка города Москвы ЦАО;УСЗН района Якиманка  города Москвы ЦАО. 119180, ул. Малая Полянка, д. 4/6;119180,                              г. Москва, ул. Малая Полянка, д. 4/6;7443,61125;7639,322639;частично     приспособлен;частично     приспособлен
38;64;Управление социальной защиты населения района Бирюлево Восточное города Москвы Южного административного округа;УСЗН района Бирюлево Восточное города Москвы Южного административного округа. Михневский проезд, д.6, к.1;Москва, Михневский проезд, д.6, к.1;10762,5554;-10117,6071;частично приспособлен;полностью приспособлен
39;14;Управление социальной защиты населения района Новокосино города Москвы ВАО;УСЗН района Новокосино города Москвы ВАО. ул.Новокосинская, д.15,корпус 2;Москва, ул.Новокосинская, д.15,корпус 2;22287,97738;7931,471838;приспособлен;приспособлен
40;15;Управление социальной защиты населения района Орехово – Борисово Южное города  Москвы Южный административный округ;УСЗН района Орехово – Борисово Южное города  Москвы Южный административный окруул. Воронежская, д.3;Москва, ул. Воронежская, д.3;14303,26523;-6359,208437;приспособлен;приспособлен
41;16;Управление социальной защиты населения района Очаково-Матвеевское г.Москвы ЗАО;УСЗН района Очаково-Матвеевское г.Москвы ЗАО. ул. Большая Очаковская, д.22;Москва, ул. Большая Очаковская, д.22;-2663,9365;1747,282328;частично приспособлен;Для инвалидов-опорников учреждение приспособлено полностью и частино приспособлено для инвалидов-колясочников
42;17;Управление социальной защиты населения района Арбат;УСЗН района Арбат. Трубниковский переулок, д.21, строение 3;Москва, Трубниковский переулок, д.21, строение 3;5527,96;9861,40481;приспособлен;приспособлен
43;18;Управление социальной защиты населения района Вешняки;УСЗН района Вешняки. 111538, Ул. Молдагуловой, дом 15а;111538, г. Москва, Ул. Молдагуловой, дом 15а;20954,95218;5994,831345;не приспособлен;частично приспособлен
44;19;Управление социальной защиты населения Войковского района города Москвы Северный административный округ;УСЗН Войковского района города Москвы Северный административный округ. 125171, 2-ой Новоподмосковный переулок, дом 5;125171, Москва, 2-ой Новоподмосковный переулок, дом 5;626,00695;16846,79054;приспособлен;приспособлен
45;20;Управление социальной защиты населения района Выхино - Жулебино ЮВАО г. Москвы;УСЗН района Выхино - Жулебино ЮВАО г. Москвы. 109542, Рязанский пр-т, д.64, к.2;109542, г. Москва, Рязанский пр-т, д.64, к.2;19197,56185;5252,314102;приспособлен;приспособлен
46;21;УСЗН Даниловского района города Москвы ЮАО;УСЗН Даниловского района города Москвы ЮАО. 1-й Кожуховский проезд, д.3;Москва, 1-й Кожуховский проезд, д.3;10070,08815;4275,868123;частично приспособлен;приспособлен
47;22;УСЗН Академического района ;УСЗН Академического района . Нахимовский проспект д.46;Нахимовский проспект д.46;3998,2095;1351,100787;Полностью приспособлено ;Частично приспособлено
48;23;Управление социальной защиты населения Басманного района города Москвы;УСЗН Басманного района города Москвы. Гороховский переулок, дом 5;Гороховский переулок, дом 5;10378,0626;10970,93835;Частично приспособлен;Приспособлен
49;24;Управление социальной защиты населения района Аэропорт города Москвы;УСЗН района Аэропорт города Москвы. ул. Большой Коптевский проезд, д.4;Москва, ул. Большой Коптевский проезд, д.4;2316,348188;15911,22046;Не приспособлено;Частично приспособлено
50;25;Управление социальной защиты населения Бескудниковского района города Москвы ;УСЗН Бескудниковского района города Москвы . ул.Дубнинская, д.31;Москва, ул.Дубнинская, д.31;4106,8142;22098,81065;Приспособлен;Приспособлен
51;26;Управление социальной защиты населения района Внуково;УСЗН района Внуково. ул. 2-я Рейсовая, д.25Б;Москва, ул. 2-я Рейсовая, д.25Б;-11966,67868;-6166,393163;Не приспособлен;частично приспособлен
52;27;Управление социальной защиты населения района Котловка г. Москвы ЮЗАО;УСЗН района Котловка г. Москвы ЮЗАО. ул. Ремизова, д.5;Москва, ул. Ремизова, д.5;6376,513925;1159,742448;Полностью приспособлен;Полностью приспособлен
53;28;Управление социальной защиты населения Красносельского района города Москвы ЦАО;УСЗН Красносельского района города Москвы ЦАО. ул.Краснопрудная, д.13;Москва, ул.Краснопрудная, д.13;10541,1164;12668,11003;Приспособлен ;Приспособлен 
54;29;Управление социальной защиты населения района Куркино города Москвы Северо-Западный административный округ;УСЗН района Куркино города Москвы Северо-Западный административный округ. 125466, ул.Соловьиная роща, д.10;125466, Москва, ул.Соловьиная роща, д.10;-6134,9596;25122,66859;не приспособлен;частично приспособлен
55;30;Управление социальной защиты населения города Москвы ЮВАО;УСЗН города Москвы ЮВАО. ул.Красноказарменная 19;Москва, ул.Красноказарменная 19;13322,3876;9694,490364;Частично приспособлен;Частично приспособлен
56;31;Управление социальной защиты населения Ломоносовского района города Москвы ЮЗАО;УСЗН Ломоносовского района города Москвы ЮЗАО. 119331, ул.Крупской,  дом 19/17;119331, Москва, ул.Крупской,  дом 19/17;1669,3275;1929,189838;Приспособлено;Приспособлено
57;32;Управление социальной защиты населения района Марьино города Москвы Юго-Восточный административный округ;УСЗН района Марьино города Москвы Юго-Восточный административный окруул.Братиславская, д.21, корп.1;Москва, ул.Братиславская, д.21, корп.1;16654,02475;-1061,26766;Частично приспособлен;приспособлен
58;33;Управление социальной защиты населения Мещанского района ЦАО;УСЗН Мещанского района ЦАО. ул.Переяславский пер. д.6;Москва, ул.Переяславский пер. д.6;8669,670734;13450,32702;приспособлено;Приспособлено
59;34;Управление социальной защиты населения района Москворечье – Сабурово города Москвы Южный АО;УСЗН района Москворечье – Сабурово города Москвы Южный АО. ул.Кантемировская, д.29 корп.1.;Г.Москва, ул.Кантемировская, д.29 корп.1.;10621,45993;-3312,233492;Частично приспособлено;Приспособлено
60;35;Управление социальной защиты населения района Нагатинский Затон города Москвы ЮАО ;УСЗН района Нагатинский Затон города Москвы ЮАО . пр-т Андропова, д. 29, корп.2;Москва, пр-т Андропова, д. 29, корп.2;10590,75694;1017,473947;Не приспособлен;Частично приспособлен
61;36;УСЗН Обручевского района города Москвы ЮЗАО;УСЗН Обручевского района города Москвы ЮЗАО. ул. Профсоюзная, д.60;Москва, ул. Профсоюзная, д.60;3146,244797;91,30826295;Частично приспособлен;Частично приспособлен
62;37;Управление социальной защиты населения района Отрадное города Москвы СВАО;УСЗН района Отрадное города Москвы СВАО. ул. Римского-Корсакова, д.16;Москва, ул. Римского-Корсакова, д.16;6768,272557;23040,63701;не приспособлен;частично приспособлен
