0_uidnftn;1_Наименование;0_label;1_address;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Телефон;1_Режим работы;0_moddate;0_moduser
1;Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 4, ЗАО                                                                                                                                                                     ;Психоневрологический интернат № 4, ЗАО. 121433, Москва, ул. Полосухина д. 3                                                                                                                                                                                   ;121433, Москва, ул. Полосухина д. 3                                                                                                                                                                                                                           ;-2508,659258;7698,712901;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(499) 144-42-12                                                                                                                                                                                                                                               ;круглосуточно (администрация пн-пт 09.00 – 18.00)                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
2;Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 11, ЮВАО                                                                                                                                                                   ;Психоневрологический интернат № 11, ЮВАО. 109559, Москва, ул. Ставропольская, д. 37                                                                                                                                                                           ;109559, Москва, ул. Ставропольская, д. 37                                                                                                                                                                                                                     ;17308,9;2004,425732;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 350-39-38                                                                                                                                                                                                                                               ;круглосуточно (администрация пн-пт 09.00 – 18.00)                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
3;Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 12, ВАО                                                                                                                                                                    ;Психоневрологический интернат № 12, ВАО. 105215, Москва, 9-я Парковая д.53                                                                                                                                                                                    ;105215, Москва, 9-я Парковая д.53                                                                                                                                                                                                                             ;18770,78446;15651,53691;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(499) 164-89-42                                                                                                                                                                                                                                               ;круглосуточно (администрация пн-пт 09.00 – 18.00)                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
4;Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 16, ЮАО                                                                                                                                                                    ;Психоневрологический интернат № 16, ЮАО. 115487, Москва, ул. Садовники, д. 15                                                                                                                                                                                 ;115487, Москва, ул. Садовники, д. 15                                                                                                                                                                                                                          ;9915,17505;431,1529162;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;"(499) 612-00-47; (499) 612-24-97 факс                                                                                                                                                                                                                         ";круглосуточно (администрация пн-пт 09.00 – 18.00)                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
5;Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 20, ЮЗАО                                                                                                                                                                   ;Психоневрологический интернат № 20, ЮЗАО. 117421, Москва, ул. Обручева, д. 28, кор. 4                                                                                                                                                                         ;117421, Москва, ул. Обручева, д. 28, кор. 4                                                                                                                                                                                                                   ;1035,3565;-1261,944799;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 936-57-32                                                                                                                                                                                                                                               ;круглосуточно (администрация пн-пт 09.00 – 18.00)                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
6;Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 22, ВАО                                                                                                                                                                    ;Психоневрологический интернат № 22, ВАО. 107150, Москва, ул. Лосиноостровская, д. 27                                                                                                                                                                          ;107150, Москва, ул. Лосиноостровская, д. 27                                                                                                                                                                                                                   ;13470,90152;17862,25306;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(499) 160-02-86                                                                                                                                                                                                                                               ;круглосуточно (администрация пн-пт 09.00 – 18.00)                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
7;Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 23, СВАО                                                                                                                                                                   ;Психоневрологический интернат № 23, СВАО. 129347,Москва, ул. Ротерта, д. 6                                                                                                                                                                                    ;129347,Москва, ул. Ротерта, д. 6                                                                                                                                                                                                                              ;14532,65023;23299,41556;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(499) 182-03-92                                                                                                                                                                                                                                               ;круглосуточно (администрация пн-пт 09.00 – 18.00)                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
8;Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 25, САО                                                                                                                                                                    ;Психоневрологический интернат № 25, САО. 127412,Москва, ул. Талдомская, д. 6                                                                                                                                                                                  ;127412,Москва, ул. Талдомская, д. 6                                                                                                                                                                                                                           ;1683,15675;22997,84147;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 484-30-10                                                                                                                                                                                                                                               ;круглосуточно (администрация пн-пт 09.00 – 18.00)                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
9;Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 26, ВАО                                                                                                                                                                    ;Психоневрологический интернат № 26, ВАО. 111538, Москва, ул. Косинская, д. 8                                                                                                                                                                                  ;111538, Москва, ул. Косинская, д. 8                                                                                                                                                                                                                           ;21233,03609;6690,159382;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 918-76-08                                                                                                                                                                                                                                               ;круглосуточно (администрация пн-пт 09.00 – 18.00)                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
10;Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 30, ЮАО                                                                                                                                                                    ;Психоневрологический интернат № 30, ЮАО. 117525,Москва, ул. Днепропетровская, д. 14                                                                                                                                                                           ;117525,Москва, ул. Днепропетровская, д. 14                                                                                                                                                                                                                    ;5336,9915;-5285,660517;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 313-40-10                                                                                                                                                                                                                                               ;круглосуточно (администрация пн-пт 09.00 – 18.00)                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
