0_OBJECTID;0_ UIDNFTN;Название;Адрес;0_X;0_Y;Телефон;Режим работы
1;29;Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям «Гелиос» (филиал «Щербинка»);г. Москва, ул. Брусилова, л.7;4923,95085;-18522,69948;(499) 234-04-91;пон.-четв.: 09.00-20.00,пятн.: 09.00-18.45,суббота: 10.00-18.00
2;30;Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям «Измайлово»;105037 г.Москва, Измайловский пр-д.,д.4 А;17104,11613;13950,24151;(495) 603-96-06;пон.-пятн.: 09.00-20.00,суббота:  10.00-18.00
3;31;Государственное бюджетное учреждение города Москвы Центр социальной помощи семьи и детям «Дмитровский» ;127644, г.Москва, Карельский бульвар., д.5, стр.1;2197,02505;25179,52197;(495) 483-44-02;пон.-пятн.: 09.00-20.00,суббота:  10.00-18.00
4;32;Государственное бюджетное учреждение города Москвы Центр социальной помощи семьи и детям «Журавушка»;119027, г. Москва, ул. Интернациональная, д.2, корп.1;-15325,91338;-6110,815655;(495) 736-03-11;пон.-пятн.: 09.00-20.00,суббота:  10.00-18.00
5;33;Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям «Тропарево-Никулино»;119571, город Москва, улица Академика Анохина, дом 5, корпус 2;-1506,23655;-534,2238339;(499) 792-05-57;пон.-четв.: 09.00-20.00, пятн.: 09.00-18.45, суббота:  10.00-17.00
6;34;Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям «Родник»;127254,г. Москва, ул. Добролюбова, д.29/16;5730,702725;17133,08808;(495) 610-19-70;пон.-пятн.: 09.00-20.00,суббота:  10.00-18.00
7;35;Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям «Косино-Ухтомский»;111675, г.Москва, ул.Рудневка, д.24 ;25049,42408;5513,07795;(499) 721-72-40  (499)721-72-46;пон.-пятн.: 09.00-20.00,суббота:  10.00-18.00
8;36;Государственное бюджетное учреждение города МосквыЦентр социальной помощи семье и детям «Кутузовский»;121248, Москва, Кутузовский проспект, дом 14;3602,323336;9002,058537;(499) 243-60-29;пон.-четв.: 09.00-20.00, пятн.: 09.00-18.45,  суббота:  10.00-18.00
9;37;Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям «Кунцево»;123351, г. Москва, ул. Кунцевская, дом 17;-5248,115698;6980,288448;(495)416-41-15;пон.-пятн.: 09.00-20.00,суббота:  10.00-18.00
10;38;Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям «Зеленоград», филиал «Семья»;;;;(499) 736-85-95;понедельник-пятница с 09.00 до 20.00, в субботу с 09.00 до 18.00
11;358;Центр социальной помощи семье и детям «Западное Дегунино» филиал «Ховрино»;;;;(495) 601-50-42;пон.-четв.: 08.30-21.00, пятн.: 09.00-16.45, суббота:  09.45-18.00
12;1;Государственное бюджетное учреждение города Москвы Центр помощи семье и детям «Веста Юго-Востока»;109429, г. Москва, Капотня, 2-й квартал, д.10;18804,6081;-2847,810445;495 657-46-84;пон.-пятн.: 09.00-20.00,суббота:  10.00-18.00
13;2;Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям «Гольяново»;107497, г.Москва, Щелковское шоссе, д.79, корп.1;19545,74465;16091,49318;495 468-03-80;пон.-четв.: 09.00-20.00,пятн.: 09.00-18.45,суббота:  09.00-17.00
14;3;Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям «Доверие»;119607,г.Москва, Мичуринский пр., д.25, корп.3;313,7925478;3176,969655;495 734-00- 60;пон.-четв.: 09.00-20.00, пятн.: 09.00-18.45,суббота: 10.00-18.00
15;4;Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям «Западное Дегунино»;125635, город Москва, ул. Весенняя 20;748,60325;23209,84972;499 905-43-33;пон.-четв.: 08.30-21.00, пятн.: 09.00-16.45,суббота:  09.45-18.00
16;5;Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям «Коптево»;125183, Москва, проезд Черепановых, дом 44;2197,67515;19545,38872;499 153-80-08  499 153-45-01;пон.-пятн.: 09.00-20.00,суббота: 10.00-18.00
