"0_UIDNFTN";"1_Название";"0_LABEL";"1_Адрес";"0_X";"0_Y";"0_BUI_NO_BTI";"0_CAD_NO";"0_STREET_BTI";"0_HOUSE_BTI";"0_HADD_BTI";"1_Телефон";"1_Режим рабоы";"0_POINT_X";"0_POINT_Y"
1;"Московская служба психологической помощи населению";"Московская служба психологической помощи населению. 109125, Москва, 2-ой Саратовский проезд, д. 8, корп. 2";"109125, Москва, 2-ой Саратовский проезд, д. 8, корп. 2";15168.98049200000;4979.34676198000;0;"";"";"";"";"499 173-09-09";"пон. - пятн.: 08.00 - 21.00 суббота: 09.00 - 18.00";4201148.93450000040;7501199.34810000010
2;"Территориальный отдел психологической помощи населению     в ЦАО города Москвы";"Территориальный отдел психологической помощи населению в ЦАО города Москвы. Москва, ул. Большая Якиманка, д. 38";"Москва, ул. Большая Якиманка, д. 38";7090.74160000000;7517.95349646000;0;"";"";"";"";"499 238-02-04";"пон. - пятн.: 08.00 - 21.00 суббота: 09.00 - 18.00";4186849.45489999980;7505742.25229999980
3;"Территориальный отдел психологической помощи населению    в САО города Москвы";"Территориальный отдел психологической помощи населению    в САО города Москвы. Москва, 3-ий Лихачевский пер., д. 3, корп. 2";"Москва, 3-ий Лихачевский пер., д. 3, корп. 2";1061.28376446000;20247.17555810000;0;"";"";"";"";"495 454-44-08";"пон. - пятн.: 08.00 - 21.00 суббота: 09.00 - 18.00";4176169.60259999990;7528389.90270000040
4;"Территориальный отдел психологической помощи населению    в СВАО города Москвы";"Территориальный отдел психологической помощи населению    в СВАО города Москвы. Москва, ул. Летчика Бабушкина, д.38, корп.2";"Москва, ул. Летчика Бабушкина, д.38, корп.2";11321.42657500000;22869.19139160000;0;"";"";"";"";"495 472-83-72";"пон. - пятн.: 08.00 - 21.00 суббота: 09.00 - 18.00";4194416.40319999960;7533035.75949999970
5;"Территориальный отдел психологической помощи населению    в ВАО города Москвы";"Территориальный отдел психологической помощи населению в ВАО города Москвы. Москва, ул. Плеханова, д. 23, корп. 3";"Москва, ул. Плеханова, д. 23, корп. 3";16997.80963650000;8702.32250655000;0;"";"";"";"";"495 309-51-28";"пон. - пятн.: 08.00 - 21.00 суббота: 09.00 - 18.00";4204413.26630000030;7507797.76379999980
6;"Отдел психологической помощи молодой семье «Кожухово»";"Отдел психологической помощи молодой семье «Кожухово». Москва, ул. Лухмановская, д. 1";"Москва, ул. Лухмановская, д. 1";25125.62668730000;5280.13165118000;0;"";"";"";"";"499 721-00-02";"пон. - пятн.: 08.00 - 21.00 суббота: 09.00 - 18.00";4218784.96879999990;7501652.18109999970
7;"Территориальный отдел психологической помощи населению    в ЮАО города Москвы";"Территориальный отдел психологической помощи населению в ЮАО города Москвы. Москва, Чонгарский бул., д. 15";"Москва, Чонгарский бул., д. 15";6924.44680000000;-1577.98881160000;0;"";"";"";"";"499 794-20-09";"пон. - пятн.: 08.00 - 21.00 суббота: 09.00 - 18.00";4186529.81690000000;7489606.58519999960
8;"Территориальный отдел психологической помощи населению    в Ю3АО города Москвы";"Территориальный отдел психологической помощи населению в Ю3АО города Москвы. Москва, ул. Изюмская, д. 46";"Москва, ул. Изюмская, д. 46";4005.43970000000;-13587.57106750000;0;"";"";"";"";"499 743-51-90";"пон. - пятн.: 08.00 - 21.00 суббота: 09.00 - 18.00";4181349.34329999980;7468359.06989999950
9;"Территориальный отдел психологической помощи населению    в ЗАО города Москвы";"Территориальный отдел психологической помощи населению в ЗАО города Москвы. Москва, проезд Загорского, д. 3";"Москва, проезд Загорского, д. 3";-3481.70311788000;5945.34323361000;0;"";"";"";"";"499 726-53-96";"пон. - пятн.: 08.00 - 21.00 суббота: 09.00 - 18.00";4168116.85160000020;7502957.12469999960
10;"Территориальный отдел психологической помощи населению    в СЗАО города Москвы";"Территориальный отдел психологической помощи населению в СЗАО города Москвы. Москва, ул. Вилиса Лациса, д. 1,корп. 1";"Москва, ул. Вилиса Лациса, д. 1,корп. 1";-4130.56890000000;21946.54227630000;0;"";"";"";"";"495 944-45-04";"пон. - пятн.: 08.00 - 21.00 суббота: 09.00 - 18.00";4166939.38450000020;7531413.48390000030
11;"Территориальный отдел психологической помощи населению    в Зеленограде";"Территориальный отдел психологической помощи населению в Зеленограде. Зеленоград, дом, корп. 418";"Зеленоград, дом, корп. 418";-18517.47780000000;37088.64327360000;0;"";"";"";"";"499 735-22-24";"пон. - пятн.: 08.00 - 21.00 суббота: 09.00 - 18.00";4141243.92810000010;7558370.98429999970
12;"Участковый отдел психологической помощи населения «Щербинка»";"Участковый отдел психологической помощи населения «Щербинка». Москва, ул. Брусилова, д. 13";"Москва, ул. Брусилова, д. 13";5133.82790000000;-18420.89078030000;0;"";"";"";"";"499 234-12-20";"пон. - пятн.: 08.00 - 21.00 суббота: 09.00 - 18.00";4183329.62770000010;7459819.72020000030
13;"Центр социально-правовой и психологической поддержки «Надежда»";"Центр социально-правовой и психологической поддержки «Надежда». 125363, Москва, ул. Новопоселковая,  д. 3 Б";"125363, Москва, ул. Новопоселковая,  д. 3 Б";-3624.94215000000;19108.38761350000;0;"";"";"";"";"499 492-26-81, 499 492-22-89";"круглосуточно";4167842.76960000020;7526359.17509999960
