"0_UIDNFTN";"1_Название";"0_LABEL";"1_Адрес";"0_X";"0_Y";"0_BUI_NO_BTI";"0_CAD_NO";"0_STREET_BTI";"0_HOUSE_BTI";"0_HADD_BTI";"1_Площадь (га)";"1_Телефон";"1_Типы захоронений";"1_Статус кладбища";"0_POINT_X";"0_POINT_Y"
1.00000000000;"Алабушевское кладбище";"Алабушевское кладбище";"Зеленоград, проезд № 5557";37.13849300000;56.01473700000;0.00000000000;"";"";"";"";34.00000000000;"8-499-735-85-33";"";"Открытое";4134238.12460000020;7561349.94390000030
2.00000000000;"Алексеевское кладбище";"Алексеевское кладбище";"Проспект Мира, вл. 132";37.64546300000;55.81788900000;0.00000000000;"";"";"";"";2.32290000000;"(916) 993-44-30";"Захоронение урной в землю";"Закрытое";4190673.76480000000;7522247.60740000010
3.00000000000;"Алтуфьевское кладбище";"Алтуфьевское кладбище";"85-й км. МКАД";37.59443900000;55.90701500000;0.00000000000;"";"";"";"";1.43100000000;"977-80-90";"Захоронение урной в землю";"Закрытое";4184993.79969999990;7539927.20870000030
4.00000000000;"Анкудиново кладбище";"Анкудиново кладбище";"Поселение Марушкинское, д. Анкундиново";37.14746000000;55.56627800000;0.00000000000;"";"";"";"";7.90000000000;"952-47-37, 952-29-63";"";"Закрытое";4135236.32390000020;7472553.97690000010
5.00000000000;"Бабушкинское кладбище";"Бабушкинское кладбище";"Ярославское ш., вл. 52";37.70663400000;55.86217400000;0.00000000000;"";"";"";"";11.08800000000;"(499) 188-42-46";"Захоронение урной в землю";"Закрытое";4197483.28940000010;7531027.19240000010
6.00000000000;"Белоусово кладбище";"Белоусово кладбище";"Поселение Новофедоровское, д. Белоусово";37.01559500000;55.41108000000;0.00000000000;"";"";"";"";0.50000000000;"952-47-37, 952-29-63";"";"Закрытое";4120557.17849999990;7442060.62569999970
7.00000000000;"Богородское кладбище";"Богородское кладбище";"Поселение Роговское, д. Богородское";37.05208100000;55.21350300000;0.00000000000;"";"";"";"";0.13000000000;"232-40-21";"";"Закрытое";4124618.78030000020;7403413.45500000010
8.00000000000;"Богородское кладбище";"Богородское кладбище";"ул. Краснобогатырская, д. 81";37.70976300000;55.80411300000;0.00000000000;"";"";"";"";2.20320000000;"791-05-39";"";"Закрытое";4197831.60790000020;7519518.52730000020
9.00000000000;"Богоявление кладбище";"Богоявление кладбище";"Поселение Вороновское, с. Богоявление";37.17186900000;55.25422600000;0.00000000000;"";"";"";"";0.40000000000;"232-40-21";"";"Закрытое";4137953.51949999990;7411363.36799999980
10.00000000000;"Большое Покровское кладбище";"Большое Покровское кладбище";"Поселение Марушкинское, д. Б. Покровское";37.23227200000;55.56173100000;0.00000000000;"";"";"";"";1.10000000000;"952-47-37, 952-29-63";"";"Закрытое";4144677.55230000010;7471658.87040000040
11.00000000000;"Большое Свинорье кладбище";"Большое Свинорье кладбище";"Поселение Марушкинское, д. Большое Свинорье";37.14711200000;55.57274700000;0.00000000000;"";"";"";"";7.50000000000;"952-47-37, 952-29-63";"";"Закрытое";4135197.58470000000;7473827.62040000040
