"0_ID";"1_Название объекта";"1_Название улицы";"1_Номер дома";"1_Корпус/строение";"1_Контактный телефон";"1_Электронная почта/Интернет-сайт"
"1";"Государственное автономное образовательное учреждение города Москвы учебный центр «Профессионал»";"ул. Академика Скрябина";"д.9";"стр.4";"8-(495)-620-48-29";"hotline@eduprof.ru, www.eduprof.ru"
"2";"Государственное бюджетное учреждение города Москвы «Женский деловой Центр»";"Каширское ш.";"д.148";"корп.2";"8-(495)-510-10-26";"info@wbcenter.ru, www.wbcenter.ru"
"3";"Государственное бюджетное учреждение города Москвы «Московский городской центр условий и охраны труда»Государственное бюджетное учреждение города Москвы «Московский городской центр условий и охраны труда»";"ул. Коровий Вал";"д.3";"стр.5";"8-(499)-237-02-19";"info@mcot.ru, www.mcot.ru"
"4";"Государственное казенное учреждение города Москвы «Московский центр трудового Обмена»Государственное казенное учреждение города Москвы «Московский центр трудового Обмена»";"Колокольников пер.";"д.22";"стр.5";"8-(495)-621-17-35";"mcto@yandex.ru, www.mcto.su"
"5";"Базовый центр по охране труда по Центральному административному округу";"2-й Красногвардейский пр.,";"д. 18-а";"стр.1";"8-(499)-256-17-13";"info@mcot.ru, www.mcot.ru"
"6";"Базовый центр по охране труда по Северному административному округу";"ул. Дегунинская";"д. 1";"корп. 1";"8-(495)-488-40-27";"info@mcot.ru, www.mcot.ru"
"7";"Базовый центр по охране труда по Северо-Восточному административному округу";"ул. Енисейская";"д. 10";"стр. 1";"8-(499)-181-72-98";"info@mcot.ru, www.mcot.ru"
"8";"Базовый центр по охране труда по Восточному административному округу";"ул. Святоозерская";"д. 21";"стр. 1";"8-(499)-721-68-64";"info@mcot.ru, www.mcot.ru"
"9";"Базовый центр по охране труда по Юго-Восточному административному округу";"ул. Верхние поля";"д. 11";"корп. 1, стр. 2";"8-(499)-784-50-51";"info@mcot.ru, www.mcot.ru"
"10";"Базовый центр по охране труда по Южному административному округу";"Варшавское ш.";"д. 108";"корп. 1";"8-(499)-794-19-45";"info@mcot.ru, www.mcot.ru"
"11";"Базовый центр по охране труда по Юго-Западному административному округу";"Симферопольский б-р";"д. 24";"корп. 7";"8-(495)-310-54-47";"info@mcot.ru, www.mcot.ru"
