0_Код;1_Наименование;0_Код ОМК ТЕ;1_Сокращенная текстовая запись фактического адреса объекта учета;1_Телефон;1_Дата открытия;1_WEB-страница, содержащая сведения о государственных услугах;1_Наименование дополнительной услуги;1_WEB-страница, содержащая сведения о графике работы;1_ФИО руководителя;1_Площадь МФЦ;1_Количество «окон»
0014;МФЦ района Южнопортовый;0515;3-й Крутицкий пер., д. 11;(499) 940-46-67;15.10.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы";http://pgu.mos.ru/ru/mfc/;Коковкин Анатолий Анатольевич;1043;35
0035;МФЦ района Восточный;0414;ул. 9 Мая, д.12;(499) 940 97 69;24.12.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги; доступ к сети Интернет; оплата госпошлин и коммунальных услуг через платоматы";http://pgu.mos.ru/ru/mfc/;Храпа Александр Анатольевич;588;19
0045;МФЦ района Люблино;0508;ул.Люблинская, 53;(499) 940 46 31;04.03.2013;http://pgu.mos.ru/ru/services/#mfc;"Фото- и копировальные услуги; доступ к сети Интернет";http://pgu.mos.ru/ru/mfc/;Сергеев Александр Николаевич;1300;55
0004;МФЦ района Южное Медведково;0316;Полярная ул., д. 2;(495) 276-27-97;13.02.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы";http://pgu.mos.ru/ru/mfc/;Филяева Зинаида Александровна;1083;35
0040;МФЦ района Братеево;0608;Борисовские пруды, д.18, корп.3;(499) 940 00 59;04.02.2013;http://pgu.mos.ru/ru/services/#mfc;"Фото- и копировальные услуги; доступ к сети Интернет; оплата госпошлин и коммунальных услуг через платоматы";http://pgu.mos.ru/ru/mfc/;Шульгин Дмитрий Александрович;940;34
0046;МФЦ района Чертаново Центральное;0620;Россошанский пр., д.4Б;(499) 940 00 54;04.03.2013;http://pgu.mos.ru/ru/services/#mfc;"Доступ к сети Интернет; оплата госпошлин и коммунальных услуг через платёжные терминалы";http://pgu.mos.ru/ru/mfc/;Бережной Алексей Владимирович;1229;43
0032;МФЦ района Крылатское;0806;ул.Крылатские Холмы, д.30, корп.9;(499) 940 09 19;24.12.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги; доступ к сети Интернет; оплата госпошлин и коммунальных услуг через банковские терминалы";http://pgu.mos.ru/ru/mfc/;Лисовский Игорь Викторович;905;40
0041;МФЦ района Северное Тушино;0904;ул.Василия Петушкова, д.13, корп.1;(499) 940 92 72;04.02.2013;http://pgu.mos.ru/ru/services/#mfc;"Фото- и копировальные услуги; доступ к сети Интернет; оплата госпошлин и коммунальных услуг через платёжные терминалы";http://pgu.mos.ru/ru/mfc/;Скрипкин Андрей Александрович;2449;27
0013;МФЦ района Марьино;0509;Совхозная ул., д. 41;(499) 940-31-20;17.09.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы";http://pgu.mos.ru/ru/mfc/;Скороспелова Наталья Николаевна;2516;65
0026;МФЦ района Хорошево-Мнёвники;0906;просп. Маршала Жукова, д. 35, корп. 1;(499) 940-99-06;04.06.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги;нотариальные и юридические услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы";http://pgu.mos.ru/ru/mfc/;Беркут Виктория Николаевна;1631;50
