0_OBJECTID; 0_UIDNFTN; 1_Наименование; 0_LABEL;1_Адрес; 0_X; 0_Y;0_BUI_NO_BTI;0_CAD_NO;0_STREET_BTI;0_HOUSE_BTI;0_HADD_BTI;1_Телефон;1_Режим работы;0_MODDATE;0_MODUSER;0_FIO;0_VREMYA_VIDACHI
1;15;Управление городским имуществом в Южном административном округе;Управление городским имуществом в Южном административном округе;ул.Автозаводская, д.10;;;;;;;;(495) 959-19-13, (495) 959-18-88;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва);1,365E+12;egip\kojuhovav;Крылов Сергей Викторович;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва)
2;16;Управление городским имуществом в Восточном административном округе;Управление городским имуществом в Восточном административном округе;ул.Стромынка, д.3 ;;;;;;;;(495) 959-19-13, (495) 959-18-88;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва);1,365E+12;egip\kojuhovav;Крылов Сергей Викторович;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва)
3;18;Управление городским имуществом в Юго-Западном административном округе;Управление городским имуществом в Юго-Западном административном округе;ул. Кржижановского д. 20/30 к. 5 ;;;;;;;;(495) 959-19-13, (495) 959-18-88;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва);1,365E+12;egip\kojuhovav;Крылов Сергей Викторович;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва)
4;18;Сектор службы «Одного окна» в Новомосковском административном округе;Сектор службы «Одного окна» в Новомосковском административном округе;ул. Маршала  Савицкого  д.30;;;;;;;;(495) 959-19-13, (495) 959-18-88;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва);1,365E+12;egip\kojuhovav;Крылов Сергей Викторович;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва)
5;1;Управление городским имуществом в Центральном административном округе;Управление городским имуществом в Центральном административном округе;ул. Бахрушина д. 20  ;;;2101927;;;;;(495) 959-19-13, (495) 959-18-88;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва);1,365E+12;egip\kojuhovav;Крылов Сергей Викторович;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва)
6;2;Управление городским имуществом в Западном административном округе;Управление городским имуществом в Западном административном округе;ул. Ивана Франко д. 8 к. 2 ;;;72013;;;;;(495) 959-19-13, (495) 959-18-88;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва);1,365E+12;egip\kojuhovav;Крылов Сергей Викторович;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва)
7;4;Управление городским имуществом в Юго-Восточном административном округе;Управление городским имуществом в Юго-Восточном административном округе;шоссе Энтузиастов д. 11А к. 4 ;;;67400;;;;;(495) 959-19-13, (495) 959-18-88;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва);1,365E+12;egip\kojuhovav;Крылов Сергей Викторович;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва)
8;10;Управление городским имуществом в Зеленограде;Управление городским имуществом в Зеленограде;Зеленоград, Центральный просп. д. 1  ;;;2117079;;;;;(495) 959-19-13, (495) 959-18-88;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15, (без перерыва);1,365E+12;egip\kojuhovav;Крылов Сергей Викторович;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва)
9;12;Сектор службы «Одного окна» в Троицком административном округе;Сектор службы «Одного окна» в Троицком административном округе;г. Троицк, ул. Юбилейная, д.3, (здание администрации), каб. 116;;;;;;;;(495) 959-19-13, (495) 959-18-88;понедельник – четверг: с 08.00 до 16.30, пятница: с 08.00 до 15.15;1,365E+12;egip\kojuhovav;Крылов Сергей Викторович;понедельник – четверг: с 08.00 до 16.30, пятница: с 08.00 до 15.15
10;9;Управление городским имуществом в Северо-Западном административном округе;Управление городским имуществом в Северо-Западном административном округе;ул. Народного Ополчения д. 33 к. 3 ;;;2114948;;;;;(495) 959-19-13, (495) 959-18-88;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва);1,365E+12;egip\kojuhovav;Крылов Сергей Викторович;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва)
11;13;Управление городским имуществом в Северо-Восточном административном округе;Управление городским имуществом в Северо-Восточном административном округе;ул.Милашенкова, д.14;;;;;;;;(495) 959-19-13, (495) 959-18-88;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва);1,365E+12;egip\kojuhovav;Крылов Сергей Викторович;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва)
12;14;Управление городским имуществом в Северном административном округе;Управление городским имуществом в Северном административном округе;ул. Викторенко д.4/1;;;;;;;;(495) 959-19-13, (495) 959-18-88;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва);1,365E+12;egip\kojuhovav;Крылов Сергей Викторович;понедельник – четверг: с 8.00 до 16.30, пятница: с 8.00 до 15.15 , (без перерыва)
