0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;0_num_zone;0_shape_leng;0_shape_area
312;"Заповедная территория ""Китай-город"". Заповедная территория Московского Кремля                                                                                                                                                                                 ";"Заповедная территория ""Китай-город"". Заповедная территория Московского Кремля                                                                                                                                                                                 ";                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;1;0,126778417;0,000696107
271;"Заповедная территория ""Замоскворечье"".                                                                                                                                                                                                                        ";"Заповедная территория ""Замоскворечье"".                                                                                                                                                                                                                        ";                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;10;0,067308617;0,000117888
270;"Заповедная территория ""Заяузье"".                                                                                                                                                                                                                              ";"Заповедная территория ""Заяузье"".                                                                                                                                                                                                                              ";                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;9;0,041029851;5,28709E-05
269;"Заповедная территория ""Маросейка-Покровка"".                                                                                                                                                                                                                   ";"Заповедная территория ""Маросейка-Покровка"".                                                                                                                                                                                                                   ";                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;8;0,081327868;0,000222227
268;"Заповедная территория ""Мясницкая"".                                                                                                                                                                                                                            ";"Заповедная территория ""Мясницкая"".                                                                                                                                                                                                                            ";                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;7;0,0662182;9,40441E-05
267;"Заповедная территория ""Большая Лубянка-Сретенка"".                                                                                                                                                                                                             ";"Заповедная территория ""Большая Лубянка-Сретенка"".                                                                                                                                                                                                             ";                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;6;0,055751896;0,000118704
266;"Заповедная территория ""Петровка"".                                                                                                                                                                                                                             ";"Заповедная территория ""Петровка"".                                                                                                                                                                                                                             ";                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;5;0,084543255;0,000152006
265;"Заповедная территория ""Арбат"".                                                                                                                                                                                                                                ";"Заповедная территория ""Арбат"".                                                                                                                                                                                                                                ";                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;3;0,066902053;7,39424E-05
264;"Заповедная территория ""Пречистенка-Остоженка"".                                                                                                                                                                                                                ";"Заповедная территория ""Пречистенка-Остоженка"".                                                                                                                                                                                                                ";                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;2;0,067966911;0,000108472
202;"Заповедная территория ""Поварская-Большая Никитская"".                                                                                                                                                                                                          ";"Заповедная территория ""Поварская-Большая Никитская"".                                                                                                                                                                                                          ";                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;4;0,088020866;0,000143524
