0_uidnftn;1_Название;0_label;0_address;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;0_nrayon;0_nokrug;1_Административный округ;0_moddate;0_moduser;0_shape_leng;0_shape_area
466;Головинский                                                                                                                                                                                                                                                   ;Головинский                                                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;7;2;САО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,211899938;0,001261039
467;Войковский                                                                                                                                                                                                                                                    ;Войковский                                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;5;2;САО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,149958904;0,000779145
468;Савеловский                                                                                                                                                                                                                                                   ;Савеловский                                                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;13;2;САО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,096339864;0,000382818
469;Аэропорт                                                                                                                                                                                                                                                      ;Аэропорт                                                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;1;2;САО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,148226473;0,000668022
470;Новогиреево                                                                                                                                                                                                                                                   ;Новогиреево                                                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;11;4;ВАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,156183136;0,00062451
471;Зябликово                                                                                                                                                                                                                                                     ;Зябликово                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;11;6;ЮАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,125293193;0,00065091
472;Нагатино-Садовники                                                                                                                                                                                                                                            ;Нагатино-Садовники                                                                                                                                                                                                                                            ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;13;6;ЮАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,155038834;0,001145263
473;Царицыно                                                                                                                                                                                                                                                      ;Царицыно                                                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;18;6;ЮАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,15701224;0,00119743
474;Академический                                                                                                                                                                                                                                                 ;Академический                                                                                                                                                                                                                                                 ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;1;7;ЮЗАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,123704203;0,000825032
475;Котловка                                                                                                                                                                                                                                                      ;Котловка                                                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;5;7;ЮЗАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,128441105;0,000561831
476;Беговой                                                                                                                                                                                                                                                       ;Беговой                                                                                                                                                                                                                                                       ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;2;2;САО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,121030633;0,000564362
455;Бескудниковский                                                                                                                                                                                                                                               ;Бескудниковский                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;3;2;САО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,133415536;0,000469646
456;Марьино                                                                                                                                                                                                                                                       ;Марьино                                                                                                                                                                                                                                                       ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;9;5;ЮВАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,216367662;0,001697495
457;Фили-Давыдково                                                                                                                                                                                                                                                ;Фили-Давыдково                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;19;8;ЗАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,184700146;0,00100175
458;Раменки                                                                                                                                                                                                                                                       ;Раменки                                                                                                                                                                                                                                                       ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;15;8;ЗАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,259983335;0,002668715
459;Дорогомилово                                                                                                                                                                                                                                                  ;Дорогомилово                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;5;8;ЗАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,197175874;0,001131193
460;Филевский парк                                                                                                                                                                                                                                                ;Филевский парк                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;18;8;ЗАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,241030071;0,001379575
461;Обручевский                                                                                                                                                                                                                                                   ;Обручевский                                                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;7;7;ЮЗАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,173326048;0,000864215
462;Черемушки                                                                                                                                                                                                                                                     ;Черемушки                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;10;7;ЮЗАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,132150471;0,000776865
