"0_Код объекта";"1_Наименование объекта";"1_Адрес объекта";"0_Координата X";"0_Координата Y";"1_Округ";"1_Район";"1_Вид объекта";"1_Период размещения";"1_Дата начала срока размещения";"1_Дата окончания срока размещения";"1_Номер свидетельства";"1_Дата выдачи свидетельства";"1_Специализация"
"000000111";"Акватоник";"ул. Амундсена 21Г";"37,654978";"55,855502";"СВАО";"Свиблово";"Модульный объект";"с 1 января по 31 декабря";"31.08.2011";"30.08.2014";"300-000367";"15.09.2011";"Табак"
"000000112";"Анкор";"ул. Пестеля 6Б";"37,618774";"55,864759";"СВАО";"Отрадное";"Модульный объект";"с 1 января по 31 декабря";"01.09.2011";"31.08.2014";"300-000373";"15.09.2011";"Гастрономия"
"000000113";"овощи и фрукты на Дмитровское ш., вл. 165Д, к. 2";"Дмитровское шоссе 165Д к. 2";"37,541202";"55,921472";"СВАО";"Северный";"Модульный объект";"с 1 января по 31 декабря";"23.07.2011";"22.07.2014";"300-000301";"28.07.2011";"Овощи и фрукты"
"000000114";"гастрономия на ул. Новоалексеевская, вл. 5";"Новоалексеевская ул. 5";"37,640772999";"55,807697";"СВАО";"Алексеевский";"Модульный объект";"с 1 января по 31 декабря";"29.08.2011";"28.08.2014";"300-000357";"01.09.2011";"Гастрономия"
"000000115";"Дилинг Сити";"ул. Амундсена 21Г";"37,654925";"55,855616999";"СВАО";"Свиблово";"Модульный объект";"с 1 января по 31 декабря";"30.08.2011";"29.08.2014";"300-000372";"15.09.2011";"Печать"
"000000116";"Маркон 33";"ул. Менжинского 32";"37,665272";"55,86984";"СВАО";"Бабушкинский";"Модульный объект";"с 1 января по 31 декабря";"07.09.2011";"06.09.2014";"300-000359";"01.09.2011";"Кафе"
"000000117";"РБ Комбинат питания";"пр. Русанова 3 с. 1";"37,6511";"55,855154";"СВАО";"Свиблово";"Модульный объект";"с 1 января по 31 декабря";"01.09.2011";"31.08.2014";"300-000387";"19.09.2011";"Хлеб"
"000000107";"БРПИ";"ул. Римского-Корсакова 20";"37,608828";"55,874478";"СВАО";"Отрадное";"Модульный объект";"с 1 января по 31 декабря";"30.08.2011";"29.08.2014";"300-000363";"02.09.2011";"Мороженое"
"000000108";"Васильченко";"ул. Амундсена 21Г";"37,654962";"55,855536";"СВАО";"Свиблово";"Модульный объект";"с 1 января по 31 декабря";"01.09.2011";"31.08.2014";"300-000386";"19.09.2011";"Мороженое"
"000000109";"ЛабутинО.В.";"пр. Русанова 2Г";"37,646143";"55,856001";"СВАО";"Свиблово";"Модульный объект";"с 1 января по 31 декабря";"13.09.2011";"12.09.2014";"300-000426";"20.09.2011";"Бытовые услуги"
