0_OBJECTID;0_UIDNFTN; 1_Наименование;1_Адрес;0_X;0_Y;1_Режим работы;0_Товары; 0_QUANTITY
1;2;Ярмарка выходного дня;Старокирочный пер., дом 5 стр. 1;11656,2487;11374,1148;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;80
2;7;Ярмарка выходного дня;Тишинская пл., дом 6;5408,3055;11501,4284;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;54
3;47;Ярмарка выходного дня;Челябинская ул., владение 15;20666,0831;12490,7792;Пятница, суббота, воскресенье с 10.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;40
4;116;Ярмарка выходного дня;ул. Маршала Тухачевского, дом 32;-1562,4533;13118,3273;Пятница, суббота, воскресенье с 8.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;60
5;26;Ярмарка выходного дня;пр. Берёзовой Рощи, дом 3 стр. 1;1209,677;13410,8838;Пятница, суббота, воскресенье с 8.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;40
6;52;Ярмарка выходного дня;2-я Сокольническая ул., владение 3;11630,8501;13485,4463;Пятница, суббота, воскресенье с 8.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;30
7;34;Ярмарка выходного дня;ул. Советской Армии, дом 17/52;7351,21;13989,629;Пятница, суббота, воскресенье с 10.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;20
8;48;Ярмарка выходного дня;Измайловская пл., дом 1;17367,3535;13953,3051;Пятница, суббота, воскресенье с 8.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;60
9;115;Ярмарка выходного дня;ул. Маршала Катукова, дом 8;-6012,717;15877,7085;Пятница, суббота, воскресенье с 8.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;90
10;42;Ярмарка выходного дня;Западная ул., дом 10;22889,5077;15747,7222;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;20
11;25;Ярмарка выходного дня;Дмитровское шоссе, дом 13 корп. 2 стр. 3;4799,0239;16834,0723;Пятница, суббота, воскресенье с 8.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;30
12;36;Ярмарка выходного дня;ул. Цандера, дом 7 корп. 2А;8255,7502;16844,3749;Пятница, суббота, воскресенье с 10.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;40
13;31;Ярмарка выходного дня;ул. Яблочкова, дом 37 стр. 2;5004,0314;17792,7614;Пятница, суббота, воскресенье с 10.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;28
14;37;Ярмарка выходного дня;ул. Бажова, дом 8;10276,2253;18484,8257;Пятница, суббота, воскресенье с 10.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;32
15;113;Ярмарка выходного дня;Пятницкое шоссе, дом 18;-7177,3037;19747,726;Пятница, суббота, воскресенье с 8.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;60
16;118;Ярмарка выходного дня;Туристская ул., дом 6 корп. 1;-4637,6531;20092,5215;Пятница, суббота, воскресенье с 8.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;30
