0_OBJECTID;0_UIDNFTN;0_NAME;1_Адрес;0_X;0_Y;1_Число парковочных мест;1_Время работы;1_Иное
1;37;Стоянка у м. Каширская;3888 проектируемый пр.;37,649201;55,655743;4;круглосуточно;напротив рынка
2;108;Стоянка легкового такси;Пречистенские Ворота пл., вл. 1 стр.6;37,602019;55,744969;3;Круглосуточно;введена в эксплуатацию
3;154;Стоянка легкового такси;Волоколамское ш., д.90;37,43706214;55,82576679;7;Круглосуточно;в составе ТПУ Тушинская
4;115;Стоянка легкового такси;Пл. Рогожская Застава, 2;37,680259;55,747023;2;Круглосуточно;введена в эксплуатацию
5;121;Стоянка легкового такси;Улица Никольская, 25;37,625625;55,7593;2;Круглосуточно;введена в эксплуатацию
6;146;Стоянка легкового такси;Митинская ул., д.27;37,36074702;55,84587952;2;Круглосуточно;выход из метро Митино у лифта
7;163;Стоянка легкового такси;Краснодонская;37,75546103;55,69070675;4;Круглосуточно;Краснодонская ул, м. Волжская
8;190;Стоянка легкового такси;Линии Окт. Железной Дороги, 1 с б;37,568939;55,839952;5;Круглосуточно;в кармане возле вх на пл.
9;216;Стоянка легкового такси;Профсоюзная ул., д. 91;37,52609767;55,64159344;4;Круглосуточно;За остановкой на дублёре
10;225;Стоянка легкового такси;Новоясеневский пр-т, д. 1;37,50808458;55,61771969;4;Круглосуточно;У ТРЦ Принц Плаза
11;227;Стоянка легкового такси;Новоясеневский пр-т, д. 3А;37,5135422;55,61504409;4;Круглосуточно;Возле Дом Авто
12;231;Стоянка легкового такси;Вавилова ул., д. 8;37,58580628;55,70675028;4;Круглосуточно;Возле м. Ленинский пр-т
13;234;Стоянка легкового такси;Каховка ул., д. 29А;37,5701317;55,65601868;3;Круглосуточно;Возле ТЦ Принц
14;86;Стоянка легкового такси;Шоссе Энтузиастов, д.26;37,71946887;55,75146735;3;Круглосуточно;введена в эксплуатацию
15;47;Стоянка легкового такси;Ломоносовский пр-т, МГУ;37,5350412;55,6943297;4;Круглосуточно;Возле МГУ
16;27;Стоянка у Булатниковского пр, 14;Булатниковский проезд,14;37,658771;55,581729;4;круглосуточно;на терр. парковки магазина
17;28;Стоянка у Варшавского ш,158 к.2;Варшавское ш.,д.158 к.2;37,596839;55,583548;4;круглосуточно;между дублером и Варшавским ш.
18;3;Стоянка легкового такси;Полоцкая, вл. 7;37,42376144;55,72852759;2;Круглосуточно;Рядом с магазином Пятерочка
19;32;Стоянка у Варшавского ш,26;Варшавское ш.,26;37,621854;55,682847;50;круглосуточно;парковка перед кафе, у метро
20;101;Стоянка легкового такси;Улица Нижегородская, 17;37,674369;55,738838;4;Круглосуточно;введена в эксплуатацию
21;35;Стоянка у ТЦ Пр-т Андропова 36;Пр-кт Адропова 36;37,66192;55,675857;4;круглосуточно;у ТЦ
22;113;Стоянка легкового такси;Тверская Застава пл., 1;37,582656;55,775122;2;Круглосуточно;введена в эксплуатацию
23;114;Стоянка легкового такси;Пл. Рогожская Застава, 2;37,681034;55,746998;2;Круглосуточно;введена в эксплуатацию
24;118;Стоянка легкового такси;Рязанский пр-д;37,653943;55,773725;3;Круглосуточно;введена в эксплуатацию
25;18;Стоянка легкового такси;Площадь Киевского вокзала, д.1;37,565879;55,743504;11;Круглосуточно;Возле ц.вх. в зд.Киевского вокзала
26;122;Стоянка легкового такси;Улица Ладожская, 2/37;37,679999;55,771347;4;Круглосуточно;введена в эксплуатацию
27;124;Стоянка легкового такси;Театральный пр-д, 2;37,619743;55,759183;5;Круглосуточно;введена в эксплуатацию
28;125;Стоянка легкового такси;Пл. Славянская;37,63432;55,753945;5;Круглосуточно;введена в эксплуатацию
29;38;Стоянка у выхода из м. Каширская;каширское шоссе;37,649534;55,655649;4;круглосуточно;выход из метро замоскв. линии
30;130;Стоянка легкового такси;Улица Краснопрудная, 1;37,657181;55,776166;20;Круглосуточно;введена в эксплуатацию
31;40;Стоянка у остановки Мосгортранс;Хордовый проезд;37,751458;55,633023;4;круглосуточно;у ул Хордовый пр. д.16 к.5
32;41;парковка на терр. м-н;Проктируемый пр 5396 вл.15;37,759362;55,624976;3;круглосуточно;собственность ТЦ
33;157;Стоянка легкового такси;Дмитрия Донского б-р, д. 2, к. 1;37,57636733;55,57021017;4;Круглосуточно;Северный выход из ст. метро
34;158;Стоянка легкового такси;Старокачаловская ул., д. 1Б;37,58578125;55,56915095;3;Круглосуточно;Возле ресторана Пронто
35;160;Стоянка легкового такси;Улица Привольная, д.71,к.1;37,85118639;55,6798604;4;Круглосуточно;введена в эксплуатацию
36;162;Стоянка легкового такси;Тихорецкий б-р, д. 1;37,77913276;55,67483435;20;5.00-20.00;ТЦ Москва, со стор. ул. Перерва
