0_OBJECTID;0_ UIDNFTN;1_Название;1_Адрес;0_X;0_Y;1_Метро;1_Число парковочных мест
1;45;парковка у м. Ак.Янгеля;м. Ак.Янгеля;37,600468;55,596098;м. Ак.Янгеля;300
2;47;парковка у м. Красногвардейская;Ореховый б-р, вл.24;37,743566;55,613602;м. Красногвардейская;670
3;52;Перехватывающая парковка;Енисейская ул, 26;37,665403;55,871913;Бабушкинская;390
4;46;парковка у м. Аннино;Варшавское ш., 158 к2 (напротив);37,596452;55,583293;м. Аннино;1103
5;50;Перехватывающая парковка;Шереметьевская ул.,5;37,615919;55,794629;Марьина роща;30
6;51;Перехватывающая парковка;Сигнальный пр-д.,9;37,588853;55,849042;Владыкино;230
7;56;Перехватывающая парковка;Лескова ул., 8;37,595129;55,897995;Алтуфьево;190
8;57;Перехватывающая парковка;Грекова ул.,3,стр.6;37,66128;55,886662;Медведково;50
9;60;Перехватывающая парковка;Снежная ул.,18;37,646697;55,852125;Свиблово;55
10;65;парковка у м. Домодедовская;Ореховый бульвар, вл. 37, корп. 1;37,6222;55,683182;м. Домодедовская;200
11;64;парковка у м. Нагатинская;Варшавское ш., 30;37,6222;55,683182;м. Нагатинская;250
12;3829;Парковки Метрополитена;Шоссейная ул., д. 2 к. 3;37,727328;55,692561;Печатники;27
13;67;парковка у м. Марьино;Люблинская ул., д.165;37,744575;55,650301;Марьино;60
14;10001;Парковки Метрополитена;Варшавское ш. 170;37,59585392;55,57889544;Аннино;1103
15;3;Парковки Метрополитена;Строгинский б-р, вл.14;37,400672;55,8036;Строгино;100
16;10002;Парковки Метрополитена;Кутузовский проспектт;37,46147104;55,72723357;Славянский бульвар;290
17;10006;Парковки Метрополитена;Кутузовский проспект;37,472541;55,729901;Славянский бульвар;836
18;5;Парковки Метрополитена;Пер: Ясеневая и Ореховый б-р;37,74535605;55,61342065;Красногвардейская;289
19;10003;Парковки Метрополитена;Пер: Ясеневая и Ореховый б-р;37,74623972;55,61337386;Зябликово;289
20;10007;Парковки Метрополитена;Пер: Ясеневая и Ореховый б-р;37,74358872;55,61332707;Зябликово;217
21;8;Парковки Метрополитена;Улица Грина;37,57371863;55,56758154;Бульвар Дмитрия Донского;91
22;9;Парковки Метрополитена;Новоясеневский пр-д, вл.2;37,50349054;55,61764132;Теплый Стан;256
23;10;Парковки Метрополитена (Статус: строящаяся);Новотушинский пр-д, вл.8, к.1;37,377884;55,838938;Волоколамская;326
24;11;Парковки Метрополитена;Вешняковская, вл. 24-26;37,81850957;55,72004816;Выхино;360
25;12;Парковки Метрополитена;Хачатуряна, вл.13;37,60185453;55,86174942;Отрадное;75
26;13;Парковки Метрополитена;Пер: Ясеневая и Воронежская;37,74409983;55,61074774;Красногвардейская;32
27;14;Парковки Метрополитена;Пер: Шипиловской и Мусы Джалиля;37,74339566;55,62218654;Шипиловская;65
28;15;Парковки Метрополитена;Пер: Шипиловской и Мусы Джалиля;37,7425396;55,62216315;Шипиловская;68
29;16;Парковки Метрополитена;Пер: Шипиловской и Мусы Джалиля;37,7434647;55,62175775;Шипиловская;115
30;17;Парковки Метрополитена;Пер: Шипиловской и Мусы Джалиля;37,54454234;55,62170317;Красногвардейская;90
31;18;Парковки Метрополитена;Адмирала Лазарева;37,54454234;55,54698184;Бульвар Адмирала Ушакова;315
32;20;Парковки Метрополитена;Пятницкое ш., 54-56;37,349001;55,860662;Митино;680
33;22;Парковки Метрополитена;Измайловский пр-т, 49;37,77784312;55,78771693;Измайловская;161
34;21;Парковки Метрополитена;Рязанский пр-т, 99;37,81902787;55,71202099;Рязанский проспект;102
35;23;Парковки метрополитена;Ореховый б-р, 24, к.2А;37,74778834;55,61338928;Красногвардейская;197
36;24;Парковки Метрополитена;Ореховый б-р, 22;37,73575525;55,61253148;Красногвардейская;528
37;25;Парковки Метрополитена;Черневская;37,51640502;55,53808953;Бунинская Аллея;260
38;26;Парковки Метрополитена;Тульская Б., 13;37,6221554;55,70810322;Тульская;97
39;27;Парковки Метрополитена;Ленинградское ш., вл.16, стр.9;37,50012617;55,8216849;Войковская;200
40;34;Парковки Метрополитена;Измайловский пр-т., д.53;37,77965609;55,78812311;Измайловское;123
41;35;Парковки Метрополитена;Измайловский пр-т., д.53;37,780454;55,788284;Измайловское;123
42;28;Парковки Метрополитена;Рязанский пр-т, д.52;37,79501;55,716644;Рязанский проспект;40
43;30;Парковки Метрополитена;улица Академика Скрябина, д.4;37,79675;55,715783;Рязанский проспект;50
44;31;Парковки Метрополитена;Рязанский проспект, д.58/1;37,797126;55,715407;Рязанский проспект;35
45;33;Парковки Метрополитена (Статус: строящаяся);Зеленый пр., д.20;37,78668368;55,75090467;Перово;112
46;29;Парковки Метрополитена;Рязанский пр-т, д.60;37,799809;55,715615;Рязанский проспект;14
47;43;парковка у метро Автозаводсая;Ул. Автозаводская 11;37,656432;55,706309;автозаводская;620
48;40;Парковки Метрополитена;Вешняковская улица, д.24/26;37,82095192;55,71704536;Выхино;819
49;38;Парковки Метрополитена;Большая черкизовская, д.125;37,7435915;55,80148388;Черкизовская;820
50;37;Парковки Метрополитена;улица Шоссейная, вл.1Ц;37,728072;55,708005;Текстильщики;40
51;44;парковка у метро Автозаводсая;Ул. Восточная 26, с24;37,657612;55,708005;автозаводская;35
52;39;Парковки Метрополитена;9-я Парковая ул., 21/26;37,799568;55,794678;Первомайская;40
53;53;Перехватывающая парковка;Плещеева ул.,8;37,606952;55,884714;Бибирево;108
54;61;Перехватывающая парковка;Хачатуряна ул.,6;37,590341;55,857077;Отрадное;11
55;49;Парковки Метрополитена;Волгоградский проспект вл.46/15;37,73498;55,709052;Текстильщики;42
56;54;Перехватывающая парковка;Алтуфьевское ш., 85;37,586524;55,898404;Алтуфьево;190
57;55;Перехватывающая парковка;Алтуфьевское ш., 86.к.1;37,588542;55,89841;Алтуфьево;850
58;58;Перехватывающая парковка;Широкая ул, 20;37,666454;55,887602;Медведково;35
59;59;Перехватывающая парковка;1-я Леонова ул.,16а;37,637604;55,84394;Ботанический сад;120
60;63;Перехватывающая парковка;Серебрякова пр-д.,2;37,638484;55,846283;Ботанический сад;130
61;62;Перехватывающая парковка;Мира пр-т.,97;37,63666;55,809325;Алексеевская;167
62;48;парковка у м. Автозаводская;перес. Автоз-й и Велоз-й ул.;37,665485;55,711181;Автозаводская;5
