0_Код;Название;Адрес;Число парковочных мест;Время работы;Стоимость
1;Парковка №72 (Зона 1004);Ветошный переулок,9;3;Круглосуточно;50 рублей в час
2;Парковка №73 (Зона 1004);Ветошный переулок,15;31;Круглосуточно;50 рублей в час
3;Парковка №74 (Зона 1004);Глинищевский переулок,5/7;11;Круглосуточно;50 рублей в час
4;Парковка №75 (Зона 1004);Глинищевский переулок,6;14;Круглосуточно;50 рублей в час
5;Парковка №76 (Зона 1004);Глинищевский переулок,3с3;3;Круглосуточно;50 рублей в час
6;Парковка №77 (Зона 1004);Глинищевский переулок,8/2;3;Круглосуточно;50 рублей в час
7;Парковка №78 (Зона 1004);Козицкий переулок,7;4;Круглосуточно;50 рублей в час
8;Парковка №79 (Зона 1004);Козицкий переулок,4/3с5;9;Круглосуточно;50 рублей в час
9;Парковка №80 (Зона 1004);Козицкий переулок,1а;8;Круглосуточно;50 рублей в час
10;Парковка №82 (Зона 1004);Козицкий переулок,14/1;6;Круглосуточно;50 рублей в час
11;Парковка №84 (Зона 1004);Никольская улица,13;4;Круглосуточно;50 рублей в час
12;Парковка №85 (Зона 1004);Никольская улица,8;7;Круглосуточно;50 рублей в час
13;Парковка №86 (Зона 1004);Никольская улица,15;10;Круглосуточно;50 рублей в час
14;Парковка №87 (Зона 1004);Никольская улица,19;8;Круглосуточно;50 рублей в час
15;Парковка №88 (Зона 1004);Никольская улица,8;3;Круглосуточно;50 рублей в час
16;Парковка №89 (Зона 1004);Никольская улица,10/12;10;Круглосуточно;50 рублей в час
17;Парковка №90 (Зона 1004);Никольская улица,21;6;Круглосуточно;50 рублей в час
18;Парковка №91 (Зона 1004);Никольская улица,2/10;4;Круглосуточно;50 рублей в час
19;Парковка №92 (Зона 1004);Большой Черкасский переулок,9/10;23;Круглосуточно;50 рублей в час
20;Парковка №93 (Зона 1004);Большой Черкасский переулок,19/13;13;Круглосуточно;50 рублей в час
21;Парковка №95 (Зона 1004);Большой Черкасский переулок,6;19;Круглосуточно;50 рублей в час
22;Парковка №96 (Зона 1004);Большой Черкасский переулок,4;5;Круглосуточно;50 рублей в час
23;Парковка №97 (Зона 1004);Неглинная улица,29/14;5;Круглосуточно;50 рублей в час
24;Парковка №98 (Зона 1004);Неглинная улица,29с4;10;Круглосуточно;50 рублей в час
25;Парковка №100 (Зона 1004);Тверской бульвар,28/17;4;Круглосуточно;50 рублей в час
26;Парковка №101 (Зона 1004);Тверской бульвар,26;24;Круглосуточно;50 рублей в час
27;Парковка №104 (Зона 1004);Газетный переулок,7/14;32;Круглосуточно;50 рублей в час
28;Парковка №105 (Зона 1004);Никитский переулок,4;13;Круглосуточно;50 рублей в час
29;Парковка №106 (Зона 1004);Никитский переулок,2;43;Круглосуточно;50 рублей в час
30;Парковка №107 (Зона 1004);Пушкинская площадь,2/16;18;Круглосуточно;50 рублей в час
31;Парковка №108 (Зона 1004);Большая Дмитровка улица,23;9;Круглосуточно;50 рублей в час
32;Парковка №109 (Зона 1004);Большая Дмитровка улица,19;15;Круглосуточно;50 рублей в час
33;Парковка №110 (Зона 1004);Большая Дмитровка улица,17а;5;Круглосуточно;50 рублей в час
34;Парковка №111 (Зона 1004);Большая Дмитровка улица,32;3;Круглосуточно;50 рублей в час
35;Парковка №112 (Зона 1004);Большая Дмитровка улица,28;5;Круглосуточно;50 рублей в час
36;Парковка №113 (Зона 1004);Большая Дмитровка улица,26;20;Круглосуточно;50 рублей в час
37;Парковка №114 (Зона 1004);Большая Дмитровка улица,24;8;Круглосуточно;50 рублей в час
38;Парковка №115 (Зона 1004);Большая Дмитровка улица,22;3;Круглосуточно;50 рублей в час
39;Парковка №116 (Зона 1004);Большая Дмитровка улица,20/5с1;10;Круглосуточно;50 рублей в час
40;Парковка №117 (Зона 1004);Большая Дмитровка улица,10/18;5;Круглосуточно;50 рублей в час
41;Парковка №118 (Зона 1004);Большая Дмитровка улица,16;9;Круглосуточно;50 рублей в час
42;Парковка №119 (Зона 1004);Большая Дмитровка улица,12/1;8;Круглосуточно;50 рублей в час
43;Парковка №120 (Зона 1004);Большая Дмитровка улица,10;17;Круглосуточно;50 рублей в час
44;Парковка №1 (Зона 1004);Рахмановский переулок,23;11;Круглосуточно;50 рублей в час
45;Парковка №2 (Зона 1004);Рахмановский переулок,4с1;9;Круглосуточно;50 рублей в час
46;Парковка №3 (Зона 1004);Рахмановский переулок,3;2;Круглосуточно;50 рублей в час
47;Парковка №4 (Зона 1004);Рахмановский переулок,3;2;Круглосуточно;50 рублей в час
48;Парковка №5 (Зона 1004);Петровский переулок,7/25а;5;Круглосуточно;50 рублей в час
49;Парковка №6 (Зона 1004);Петровский переулок,23;16;Круглосуточно;50 рублей в час
50;Парковка №7 (Зона 1004);Петровский переулок,8;4;Круглосуточно;50 рублей в час
51;Парковка №8 (Зона 1004);Петровский переулок,6;2;Круглосуточно;50 рублей в час
52;Парковка №9 (Зона 1004);Петровский переулок,1/30с1;7;Круглосуточно;50 рублей в час
53;Парковка №10 (Зона 1004);Петровский переулок,1/30;3;Круглосуточно;50 рублей в час
54;Парковка №11 (Зона 1004);Петровский переулок,30/1с2;2;Круглосуточно;50 рублей в час
55;Парковка №12 (Зона 1004);Петровский переулок,3;2;Круглосуточно;50 рублей в час
56;Парковка №13 (Зона 1004);Петровский переулок,5с1;4;Круглосуточно;50 рублей в час
57;Парковка №14 (Зона 1004);Петровский переулок,5с9;3;Круглосуточно;50 рублей в час
58;Парковка №15 (Зона 1004);Страстной бульвар,10;4;Круглосуточно;50 рублей в час
59;Парковка №17 (Зона 1004);Страстной бульвар,14;6;Круглосуточно;50 рублей в час
60;Парковка №19 (Зона 1004);Страстной бульвар,12с1;6;Круглосуточно;50 рублей в час
61;Парковка №20 (Зона 1004);Петровский бульвар,12;4;Круглосуточно;50 рублей в час
62;Парковка №22 (Зона 1004);Петровский бульвар,8с2;2;Круглосуточно;50 рублей в час
63;Парковка №23 (Зона 1004);Петровский бульвар,8с1;4;Круглосуточно;50 рублей в час
64;Парковка №24 (Зона 1004);Петровский бульвар,4/6;4;Круглосуточно;50 рублей в час
65;Парковка №25 (Зона 1004);Петровский бульвар,4/6;5;Круглосуточно;50 рублей в час
66;Парковка №26 (Зона 1004);Петровский бульвар,30к1;9;Круглосуточно;50 рублей в час
67;Парковка №27 (Зона 1004);Дмитровский переулок,8;7;Круглосуточно;50 рублей в час
68;Парковка №28 (Зона 1004);Дмитровский переулок,2/10;3;Круглосуточно;50 рублей в час
69;Парковка №29 (Зона 1004);Дмитровский переулок,3;4;Круглосуточно;50 рублей в час
70;Парковка №30 (Зона 1004);Дмитровский переулок,2/10;3;Круглосуточно;50 рублей в час
71;Парковка №31 (Зона 1004);Дмитровский переулок,11;7;Круглосуточно;50 рублей в час
72;Парковка №32 (Зона 1004);Петровка улица,28/2;8;Круглосуточно;50 рублей в час
73;Парковка №33 (Зона 1004);Петровка улица,26;5;Круглосуточно;50 рублей в час
74;Парковка №34 (Зона 1004);Петровка улица,28;4;Круглосуточно;50 рублей в час
75;Парковка №35 (Зона 1004);Петровка улица,21;16;Круглосуточно;50 рублей в час
76;Парковка №36 (Зона 1004);Петровка улица,15/13;7;Круглосуточно;50 рублей в час
