"0_UIDNFTN";"1_Название";"0_LABEL";"1_Адрес";"0_X";"0_Y";"0_BUI_NO_BTI";"0_CAD_NO";"0_STREET_BTI";"0_HOUSE_BTI";"0_HADD_BTI";"1_Ведомство";"1_Телефон";"1_Сайт";"1_Электронная почта";"1_Административный округ";"1_Район";"0_TIP_ZONY"
"15558";"Дворовая площадка";"Дворовая площадка";"улица Юных Ленинцев, дом 7";"15200,7549999999";"3687,02040000074";"30261";;;;;"Муниципалитет";"(499) 179-83-25";"mun-tekstil.ru";;"ЮВАО";"Текстильщики";"дворовые спортивные площадки"
"15559";"Дворовая площадка";"Дворовая площадка";"улица Яблочкова,  23, корпус  2- 3";"5008,47790000029";"17142,4671999998";"30454";;;;;"Муниципалитет";"(495) 618-05-69 (495) 618-22-56";"butyrskoe.ru";"butyrskoe@yandex.ru";"СВАО";"Бутырский";"дворовые спортивные площадки"
"15560";"Дворовая площадка";"Дворовая площадка";"улица Яблочкова, дом 20, корпус 2";"5288,9645999996";"17249,2280000001";"30447";;;;;"Муниципалитет";"(495) 618-05-69 (495) 618-22-56";"butyrskoe.ru";"butyrskoe@yandex.ru";"СВАО";"Бутырский";"дворовые спортивные площадки"
"15561";"Дворовая площадка";"Дворовая площадка";"улица Яблочкова, дом 29Б";"4980,52950000018";"17399,8739999998";"30467";;;;;"Муниципалитет";"(495) 618-05-69 (495) 618-22-56";"butyrskoe.ru";"butyrskoe@yandex.ru";"СВАО";"Бутырский";"дворовые спортивные площадки"
"15562";"Дворовая площадка";"Дворовая площадка";"улица Яблочкова, дом 4";"5294,6166000003";"16383,8691000007";"30433";;;;;"Муниципалитет";"(495) 618-05-69 (495) 618-22-56";"butyrskoe.ru";"butyrskoe@yandex.ru";"СВАО";"Бутырский";"дворовые спортивные площадки"
"15563";"Дворовая площадка";"Дворовая площадка";"улица Яблочкова, дом 43";"4987,84619999956";"17984,8864999991";"30488";;;;;"Муниципалитет";"(495) 618-05-69 (495) 618-22-56";"butyrskoe.ru";"butyrskoe@yandex.ru";"СВАО";"Бутырский";"дворовые спортивные площадки"
"15564";"Дворовая площадка";"Дворовая площадка";"улица Яблочкова, дома 35А-Б";"14986,8376000002";"11933,9192999993";;;;;;"Муниципалитет";"(495) 618-05-69 (495) 618-22-56";"butyrskoe.ru";"butyrskoe@yandex.ru";"СВАО";"Бутырский";"дворовые спортивные площадки"
"16394";"Ледовый дворец ""Хрустальный""";"Ледовый дворец ""Хрустальный""";"улица Профсоюзная, дом 97, корпус 1";"1647,1146999998";"-3237,88590000011";"2801367";;;;;"Департамент физической культуры и спорта города Москвы";"(495) 424-30-14";;;"ЮЗАО";"Коньково";"крытые сооружения с искусственным льдом"
"16395";"Ледовый каток ""Марьино""";"Ледовый каток ""Марьино""";"Мячковский бульвар, дом 10, корпус 3";"16108,4641000004";"-1442,65069999918";;;;;;"Департамент физической культуры и спорта города Москвы";"(495) 346-34-11";;;"ЮВАО";"Марьино";"крытые сооружения с искусственным льдом"
"15657";"Дворовая площадка";"Дворовая площадка";"Чечерский проезд, дом 24";"2717,89719999954";"-14451,8893999998";"69171";;;;;"Муниципалитет";"(499) 232-85-24";"south-butovo.ru";;"ЮЗАО";"Южное Бутово";"дворовые спортивные площадки"
