0_uidnftn;1_Наименование учреждения;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Округ;1_Телефон;0_moddate;0_moduser
1;"Филиал ГБУ ""Малый Бизнес Москвы""                                                                                                                                                                                                                              ";г. Москва, Радио ул., д.20, стр.1                                                                                                                                                                                                                             ;г. Москва, Радио ул., д.20, стр.1                                                                                                                                                                                                                             ;11500,58188;10669,15554;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;(495) 780-92-42                                                                                                                                                                                                                                               ;15.01.2013;opens\feodor                                                                                        
2;"Филиал ГБУ ""Малый Бизнес Москвы""                                                                                                                                                                                                                              ";г.Москва, Мичуринский пр-т, д.27, корп.2                                                                                                                                                                                                                      ;г.Москва, Мичуринский пр-т, д.27, корп.2                                                                                                                                                                                                                      ;188,726825;3316,376195;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЗАО                                                                                                                                                                                                                                                           ;(495)735-33-05, (495)932-69-10                                                                                                                                                                                                                                ;15.01.2013;opens\feodor                                                                                        
3;"Филиал ГБУ ""Малый Бизнес Москвы""                                                                                                                                                                                                                              ";г. Москва, Автозаводская ул., д.1                                                                                                                                                                                                                             ;г. Москва, Автозаводская ул., д.1                                                                                                                                                                                                                             ;10480,82228;4817,731001;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮАО                                                                                                                                                                                                                                                           ;(495) 780-92-08                                                                                                                                                                                                                                               ;15.01.2013;opens\feodor                                                                                        
4;"Филиал ГБУ ""Малый Бизнес Москвы""                                                                                                                                                                                                                              ";г. Москва, Средняя Первомайская ул., д.3                                                                                                                                                                                                                      ;г. Москва, Средняя Первомайская ул., д.3                                                                                                                                                                                                                      ;19166,84277;14371,03867;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ВАО                                                                                                                                                                                                                                                           ;(495)258-67-91 , (495)644-23-57                                                                                                                                                                                                                               ;15.01.2013;opens\feodor                                                                                        
5;"Филиал ГБУ ""Малый Бизнес Москвы""                                                                                                                                                                                                                              ";г. Москва, Соломенной Сторожки п., д.5, корп.1                                                                                                                                                                                                                ;г. Москва, Соломенной Сторожки п., д.5, корп.1                                                                                                                                                                                                                ;4174,3671;15770,61691;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;САО                                                                                                                                                                                                                                                           ;(499) 977-89-80, (499) 977-89-91, (499) 977-89-43, (499) 977-89-87                                                                                                                                                                                            ;15.01.2013;opens\feodor                                                                                        
6;"Филиал ГБУ ""Малый Бизнес Москвы""                                                                                                                                                                                                                              ";г. Москва, ул. Народного Ополчения, д.33, корп.1.                                                                                                                                                                                                             ;г. Москва, ул. Народного Ополчения, д.33, корп.1.                                                                                                                                                                                                             ;-1119,532988;13299,01286;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;СЗАО                                                                                                                                                                                                                                                          ;(499)197-97-40                                                                                                                                                                                                                                                ;15.01.2013;opens\feodor                                                                                        
7;"Филиал ГБУ ""Малый Бизнес Москвы""                                                                                                                                                                                                                              ";г. Москва, Бабушкина летчика ул., д.1, корп.1                                                                                                                                                                                                                 ;г. Москва, Бабушкина летчика ул., д.1, корп.1                                                                                                                                                                                                                 ;10759,01553;21091,17913;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;СВАО                                                                                                                                                                                                                                                          ;(495)956-61-43, (495)956-61-34                                                                                                                                                                                                                                ;15.01.2013;opens\feodor                                                                                        
8;"Филиал ГБУ ""Малый Бизнес Москвы""                                                                                                                                                                                                                              ";г. Москва, Каховка ул., д.37, корп.1                                                                                                                                                                                                                          ;г. Москва, Каховка ул., д.37, корп.1                                                                                                                                                                                                                          ;4146,904425;-945,3675662;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮЗАО                                                                                                                                                                                                                                                          ;(495)780-92-23                                                                                                                                                                                                                                                ;15.01.2013;opens\feodor                                                                                        
9;"Филиал ГБУ ""Малый Бизнес Москвы""                                                                                                                                                                                                                              ";г. Москва, Волочаевская ул., д.18                                                                                                                                                                                                                             ;г. Москва, Волочаевская ул., д.18                                                                                                                                                                                                                             ;11399,30008;9784,904942;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮВАО                                                                                                                                                                                                                                                          ;(495) 362-18-16, (495) 362-18-16, (495) 362-18-16                                                                                                                                                                                                             ;15.01.2013;opens\feodor                                                                                        
10;Зеленоград, Матушкино-Савелки, Юности ул., д.8                                                                                                                                                                                                                ;Зеленоград, Матушкино-Савелки, Юности ул., д.8                                                                                                                                                                                                                ;Зеленоград, Матушкино-Савелки, Юности ул., д.8                                                                                                                                                                                                                ;-17119,09846;36998,18946;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Зеленоград                                                                                                                                                                                                                                                    ;(495) 989-10-41, (495) 989-10-37, (495) 989-10-31                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
