0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Дата начала мероприятия;1_Окончание мероприятия;0_moddate;0_moduser
101;Ярмарка производителей из города Могилев (Арийэко)                                                                                                                                                                                                            ;Ярмарка производителей из города Могилев (Арийэко)                                                                                                                                                                                                            ;ул. Академика Янгеля, вл. 2                                                                                                                                                                                                                                   ;37,591503;55,594699;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮАО                                                                                                                                                                                                                                                           ;21.04.2013;27.04.2013;12:00:00 AM;                                                                                                    
4;Ярмарка производителей из города Могилев                                                                                                                                                                                                                      ;Ярмарка производителей из города Могилев                                                                                                                                                                                                                      ;Рязанский проспект, вл. 46                                                                                                                                                                                                                                    ;18478,8817;5569,4838;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮВАО                                                                                                                                                                                                                                                          ;20.03.2013;28.03.2013;12:00:00 AM;                                                                                                    
9;Ярмарка производителей из города Минск                                                                                                                                                                                                                        ;Ярмарка производителей из города Минск                                                                                                                                                                                                                        ;ул. Ереванская, вл. 17                                                                                                                                                                                                                                        ;11020,2727;-4116,4171;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮАО                                                                                                                                                                                                                                                           ;25.03.2013;31.03.2013;12:00:00 AM;                                                                                                    
15;Ярмарка производителей из города Курск                                                                                                                                                                                                                        ;Ярмарка производителей из города Курск                                                                                                                                                                                                                        ;ул. Профсоюзная, вл. 41                                                                                                                                                                                                                                       ;3636,0668;331,0033;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮЗАО                                                                                                                                                                                                                                                          ;26.03.2013;31.03.2013;12:00:00 AM;                                                                                                    
18;Ярмарка производителей из города Калуга                                                                                                                                                                                                                       ;Ярмарка производителей из города Калуга                                                                                                                                                                                                                       ;Можайское шоссе, вл. 54                                                                                                                                                                                                                                       ;-6119,4774;5520,6116;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЗАО                                                                                                                                                                                                                                                           ;25.03.2013;31.03.2013;12:00:00 AM;                                                                                                    
28;Ярмарка производителей из города Ярославль                                                                                                                                                                                                                    ;Ярмарка производителей из города Ярославль                                                                                                                                                                                                                    ;ул. Школьная, вл.34-38                                                                                                                                                                                                                                        ;11110,4967;8758,9344;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;22.03.2013;29.03.2013;12:00:00 AM;                                                                                                    
41;Ярмарка производителей из города Смоленск (Вымпел)                                                                                                                                                                                                            ;Ярмарка производителей из города Смоленск (Вымпел)                                                                                                                                                                                                            ;ул. Окская, вл. 3-5                                                                                                                                                                                                                                           ;37,754268;55,712541;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮВАО                                                                                                                                                                                                                                                          ;10.04.2013;15.04.2013;12:00:00 AM;                                                                                                    
42;Ярмарка производителей из города Витебск                                                                                                                                                                                                                      ;Ярмарка производителей из города Витебск                                                                                                                                                                                                                      ;ул. Окская, вл. 3-5                                                                                                                                                                                                                                           ;37,754268;55,712541;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮВАО                                                                                                                                                                                                                                                          ;22.04.2013;28.04.2013;12:00:00 AM;                                                                                                    
44;Ярмарка производителей из города Брест                                                                                                                                                                                                                        ;Ярмарка производителей из города Брест                                                                                                                                                                                                                        ;ул. Окская, вл. 3-5                                                                                                                                                                                                                                           ;37,754268;55,712541;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮВАО                                                                                                                                                                                                                                                          ;01.04.2013;07.04.2013;12:00:00 AM;                                                                                                    
45;Ярмарка производителей из города Курск (Курская коренская ярмарка)                                                                                                                                                                                            ;Ярмарка производителей из города Курск (Курская коренская ярмарка)                                                                                                                                                                                            ;ул. Ереванская, вл. 17                                                                                                                                                                                                                                        ;37,674625;55,630757;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮАО                                                                                                                                                                                                                                                           ;01.04.2013;04.04.2013;12:00:00 AM;                                                                                                    
