"1_Номер разрешения";"1_Номер ТС";"1_Наименование";"1_Номер бланка разрешения";"1_Марка, модель ТС";"1_ИНН";"1_ОГРН"
"09015";"ЕО15877";"ООО ""НЖТ-ВОСТОК""";"009177";"FORD FOCUS";"7719750140";"1107746402246"
"09003";"ЕО18377";"ООО ""НЖТ-ЗАПАД""";"009165";"FORD FOCUS";"7719755444";"1107746566542"
"09012";"ЕО15577";"ООО ""НЖТ-ВОСТОК""";"009174";"FORD FOCUS";"7719750140";"1107746402246"
"09017";"ЕО16077";"ООО ""НЖТ-ВОСТОК""";"009179";"FORD FOCUS";"7719750140";"1107746402246"
"09018";"ЕО18777";"ООО ""НЖТ-ВОСТОК""";"009180";"FORD FOCUS";"7719750140";"1107746402246"
"09022";"ЕО19177";"ООО ""НЖТ-ВОСТОК""";"009184";"FORD FOCUS";"7719750140";"1107746402246"
"09028";"Х097НН197";"БЕЗРУКОВ СЕРГЕЙ ВЛАДИМИРОВИЧ";"009190";"FORD FOCUS";"500104169559";"311774624200761"
"09036";"Н275УР199";"КАРПОВА НАТАЛИЯ ВАСИЛЬЕВНА";"009205";"PEUGEOT 308";"500703837685";"306770000554475"
"09037";"Р385ОК190";"ЦОЙ АЛЛА КОНСТАНТИНОВНА";"009196";"CHEVROLET LACETTI";"151000103115";"311500926500010"
"09041";"А448ХР21";"Михайлов Виталий Витальевич";"009213";"TOYOTA CAMRY";"210601260598";"311213407500029"
"09042";"С804УН34";"БУРДЕЛЕВ ДЕНИС ВАСИЛЬЕВИЧ";"016652";"CHEVROLET KLAN (J200/CHEVROLET)";"344500282675";"310346033600062"
"09043";"Х991УТ150";"Крутилин Владимир Николаевич";"009214";"Skoda Octavia TOUR";"500100663164";"310500125200040"
"09044";"О718РА177";"ВЕТЧИНОВ ПЕТР ГАВРИЛОВИЧ";"009207";"MITSUBISHI LANCER 1.6";"771412147640";"311774611600500"
"09047";"С575ОА199";"АРМАШОВ ВЛАДИМИР БОРИСОВИЧ";"009208";"MAZDA 5";"771604351416";"310774632900464"
"09048";"Т488ВС199";"ЕГОРОВ АЛЕКСАНДР АЛЕКСАНДРОВИЧ";"009200";"OPEL ZAFIRA";"772425820590";"311774621401155"
"09050";"О810ОХ190";"Тиунов Андрей Юрьевич";"009217";"NISSAN NOTE";"772329939730";"310502714000050"
"09054";"Р037МЕ161";"АГАСЯН АЛЕКСАНДР АПЕТНАКОВИЧ";"009203";"RENAULT SR";"614800805004";"308614834400016"
"09057";"Н744ХН199";"Блинов Михаил Александрович";"009219";"Subaru Impreza";"773376472807";"311774602100122"
