0_ID;1_Вид транспорта;1_Наименование проездного докумета;1_Стоимость проездного документа;1_Срок действия проездного докумета;0_Использование транспортного приложения к банковской карте
15;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 50 поездок в течение календарного месяца;1400.0;С момента изготовления на срок действия банковской карты;1
20;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 55 поездок в течение календарного месяца;1540.0;С момента изготовления на срок действия банковской карты;1
25;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент рабочего дня на 12 месяцев;10200.0;12 месяцев;1
30;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 63 поездки в течение календарного месяца;1764.0;С момента изготовления на срок действия банковской карты;1
35;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 68 поездок в течение календарного месяца;1904.0;С момента изготовления на срок действия банковской карты;1
40;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 3 поездки в течение календарного месяца;78.0;С момента изготовления на срок действия банковской карты;1
45;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 8 поездок в течение календарного месяца;208.0;С момента изготовления на срок действия банковской карты;1
50;Московско-Тверская пригородная пассажирская компания;Билет. 10 дат;340.0;1 месяц;1
55;Московско-Тверская пригородная пассажирская компания;Билет. 15 дат;510.0;1 месяц;1
60;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 13 поездок в течение календарного месяца;338.0;С момента изготовления на срок действия банковской карты;1
65;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 18 поездок в течение календарного месяца;468.0;С момента изготовления на срок действия банковской карты;1
70;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 23 поездки в течение календарного месяца;598.0;С момента изготовления на срок действия банковской карты;1
75;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 28 поездок в течение календарного месяца;728.0;С момента изготовления на срок действия банковской карты;1
80;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 33 поездки в течение календарного месяца;858.0;С момента изготовления на срок действия банковской карты;1
85;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 38 поездок в течение календарного месяца;988.0;С момента изготовления на срок действия банковской карты;0
90;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 43 поездки в течение календарного месяца;1118.0;С момента изготовления на срок действия банковской карты;0
95;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 48 поездок в течение календарного месяца;1248.0;С момента изготовления на срок действия банковской карты;0
100;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 53 поездки в течение календарного месяца;1378.0;С момента изготовления на срок действия банковской карты;0
105;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 58 поездок в течение календарного месяца;1508.0;С момента изготовления на срок действия банковской карты;0
110;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 63 поездки в течение календарного месяца;1638.0;С момента изготовления на срок действия банковской карты;0
115;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 68 поездок в течение календарного месяца;1768.0;С момента изготовления на срок действия банковской карты;1
120;Автобус;Пригород 3;33.0;День продажи;1
267;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 22 поездки в течение календарного месяца;616.0;С момента изготовления на срок действия банковской карты;
273;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 28 поездок в течение календарного месяца;784.0;С момента изготовления на срок действия банковской карты;
279;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 34 поездки в течение календарного месяца;952.0;С момента изготовления на срок действия банковской карты;
5;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 40 поездок в течение календарного месяца;1120.0;С момента изготовления на срок действия банковской карты;0
10;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 45 поездок в течение календарного месяца;1260.0;С момента изготовления на срок действия банковской карты;0
14;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 49 поездок в течение календарного месяца;1372.0;С момента изготовления на срок действия банковской карты;0
19;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 54 поездки в течение календарного месяца;1512.0;С момента изготовления на срок действия банковской карты;1
24;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент рабочего дня на 6 месяцев;5100.0;6 месяцев;1
29;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 62 поездки в течение календарного месяца;1736.0;С момента изготовления на срок действия банковской карты;1
34;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 67 поездок в течение календарного месяца;1876.0;С момента изготовления на срок действия банковской карты;1
39;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 2 поездки в течение календарного месяца;52.0;С момента изготовления на срок действия банковской карты;1
44;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 7 поездок в течение календарного месяца;182.0;С момента изготовления на срок действия банковской карты;1
49;Московско-Тверская пригородная пассажирская компания;Билет. 9 дат;310.0;1 месяц;1
54;Московско-Тверская пригородная пассажирская компания;Билет. 14 дат;480.0;1 месяц;1
59;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 12 поездок в течение календарного месяца;312.0;С момента изготовления на срок действия банковской карты;1
64;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 17 поездок в течение календарного месяца;442.0;С момента изготовления на срок действия банковской карты;1
69;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 22 поездки в течение календарного месяца;572.0;С момента изготовления на срок действия банковской карты;1
74;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 27 поездок в течение календарного месяца;702.0;С момента изготовления на срок действия банковской карты;1
79;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 32 поездки в течение календарного месяца;832.0;С момента изготовления на срок действия банковской карты;1
84;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 37 поездок в течение календарного месяца;962.0;С момента изготовления на срок действия банковской карты;1
89;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 42 поездки в течение календарного месяца;1092.0;С момента изготовления на срок действия банковской карты;0
94;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 47 поездок в течение календарного месяца;1222.0;С момента изготовления на срок действия банковской карты;0
99;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 52 поездки в течение календарного месяца;1352.0;С момента изготовления на срок действия банковской карты;0
104;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 57 поездок в течение календарного месяца;1482.0;С момента изготовления на срок действия банковской карты;0
109;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 62 поездки в течение календарного месяца;1612.0;С момента изготовления на срок действия банковской карты;0
114;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 67 поездок в течение календарного месяца;1742.0;С момента изготовления на срок действия банковской карты;1
119;Автобус;Пригород 2;25.0;День продажи;1
124;Автобус;Пригород 7;67.0;День продажи;1
128;Автобус;Пригород 11;100.0;День продажи;1
133;Автобус;Пригород 16;142.0;День продажи;1
138;Центральная пригородная пассажирская компания;Билет. 10 поездок;235.0;30 дней с даты оформления абонементного билета;1
143;Центральная пригородная пассажирская компания;Билет. Ручная кладь;120.0;указанная дата, но не более, чем 10 дней от даты продажи;1
148;Центральная пригородная пассажирская компания;Билет. Абонемент ежедневный на 15 дней;520.0;1 месяц;1
153;Центральная пригородная пассажирская компания;Билет. Абонемент ежедневный на 3 месяца;3120.0;3 месяца;1
158;Центральная пригородная пассажирская компания;Билет. Абонемент рабочего дня на 10 дней;292.0;1 месяц;1
163;Центральная пригородная пассажирская компания;Билет. Абонемент рабочего дня на 2 месяца;1748.0;2 месяца;1
168;Центральная пригородная пассажирская компания;Билет. Абонемент рабочего дня на 12 месяцев;10488.0;12 месяцев;1
173;Московско-Тверская пригородная пассажирская компания;Билет. "Большая Москва" на месяц;1040.0;1 месяц;1
178;Московско-Тверская пригородная пассажирская компания;Билет. Животные/велосипед;40.0;указанная дата, но не более, чем 10 дней от даты продажи;1
183;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент ежедневный на 10 дней;320.0;1 месяц;0
188;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент ежедневный на 2 месяца;2080.0;2 месяца;0
193;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент ежедневный на 12 месяцев;12480.0;12 месяцев;0
198;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент рабочего дня на 1 месяц;850.0;1 месяц;0
203;Автобус, троллейбус, трамвай;На провоз не более 1 места ручной клади;50.0;5 дней, включая день продажи;0
208;Автобус, троллейбус, трамвай;Не более 11 поездок;200.0;90 дней, включая день продажи;0
213;Автобус;Пригородный автобус;1600.0;Календарный месяц;0
