0_OBJECTID;0_UID;0_Название_объекта;0_Подпись;Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;Направление;Услуга/скорость;0_MODDATE;0_MODUSER;0_SHAPE_WGS_84;0_SHAPE_WGS_84___Pseudo_Mercator
1;61;Комплекс фото-видеофиксации нарушений ПДД;Энтузиастов шоссе, д.2с1;Энтузиастов шоссе, д.2с1;37.69045;55.74748333;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.74748339878936 37.6904499311052);POINT (4195681.694100004 7508310.098500006)
2;62;Комплекс фото-видеофиксации нарушений ПДД;Андропова проспект, д.42К1 ИСПР ССЫЛКА;Андропова проспект, д.42К1 ИСПР ССЫЛКА;37.66127778;55.66905556;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.669055625016874 37.66127770639543);POINT (4192434.256900005 7492814.113600008)
3;63;Комплекс фото-видеофиксации нарушений ПДД;Аминьевское шоссе, д.28К1;Аминьевское шоссе, д.28К1;37.45213333;55.71731667;;;;;;к Можайскому шоссе;IP VPN / 4 Мбит;;;POINT (55.717316730353254 37.45213326696174);POINT (4169152.404400002 7502345.999700002)
4;64;Комплекс фото-видеофиксации нарушений ПДД;Андропова проспект, ул. Садовая Слобода ИСПР ССЫЛКА;Андропова проспект, ул. Садовая Слобода ИСПР ССЫЛКА;37.66127778;55.66905556;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.669055625016874 37.66127770639543);POINT (4192434.256900005 7492814.113600008)
5;65;Комплекс фото-видеофиксации нарушений ПДД;Бережковская наб., д.12;Бережковская наб., д.12;37.564800000000005;55.7376;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.73760006458723 37.56479993396343);POINT (4181694.4004000053 7506355.607000008)
6;66;Комплекс фото-видеофиксации нарушений ПДД;Бережковская наб., д.22;Бережковская наб., д.22;37.55216667;55.73096667;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.730966731456604 37.55216660093269);POINT (4180288.0642000027 7505044.101200007)
7;67;Комплекс фото-видеофиксации нарушений ПДД;Ленинградский проспект, д.18;Ленинградский проспект, д.18;37.57518333;55.781800000000004;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.78180006218247 37.575183268380094);POINT (4182850.267900005 7515100.281100005)
8;68;Комплекс фото-видеофиксации нарушений ПДД;Ленинградский проспект, д.32;Ленинградский проспект, д.32;37.5675;55.78498333;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.78498339477759 37.56749993643252);POINT (4181994.9633000046 7515730.465000004)
9;69;Комплекс фото-видеофиксации нарушений ПДД;Ленинградский проспект, д.36;Ленинградский проспект, д.36;37.56027778;55.78838889;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.788388950524485 37.56027771331352);POINT (4181190.9891000018 7516404.698000006)
10;70;Комплекс фото-видеофиксации нарушений ПДД;Ленинградский проспект, д.37;Ленинградский проспект, д.37;37.54485;55.79418333;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.794183393379015 37.5448499370296);POINT (4179473.5769000053 7517552.019100003)
11;71;Комплекс фото-видеофиксации нарушений ПДД;Ленинградский проспект, д.43К1;Ленинградский проспект, д.43К1;37.53563333;55.79836667;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.79836672737787 37.53563327072355);POINT (4178447.5823000036 7518380.440800004)
12;72;Комплекс фото-видеофиксации нарушений ПДД;Ленинградский проспект, д.64;Ленинградский проспект, д.64;37.52897222;55.80197222;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.801972281981804 37.52897216048387);POINT (4177706.0709000044 7519094.516800009)
13;73;Комплекс фото-видеофиксации нарушений ПДД;Ленинградское шоссе, д. 13к1;Ленинградское шоссе, д. 13к1;37.49953333;55.81751667;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.817516725417505 37.49953327267862);POINT (4174428.948900003 7522173.833500005)
14;74;Комплекс фото-видеофиксации нарушений ПДД;Ленинградское шоссе, д. 8с1;Ленинградское шоссе, д. 8с1;37.49953333;55.81751667;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.817516725417505 37.49953327267862);POINT (4174428.948900003 7522173.833500005)
15;75;Комплекс фото-видеофиксации нарушений ПДД;Липецкая ул. Д.10;Липецкая ул. Д.10;37.67191667;55.59766667;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.597666740585254 37.67191659084916);POINT (4193618.5721000023 7478735.872000009)
16;76;Комплекс фото-видеофиксации нарушений ПДД;Липецкая ул. Д.40;Липецкая ул. Д.40;37.6789;55.58456667;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.584566741353946 37.67889992228971);POINT (4194395.953000005 7476155.269700006)
17;77;Комплекс фото-видеофиксации нарушений ПДД;Мира проспект, д.184К1;Мира проспект, д.184К1;37.64996667;55.82866667;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.82866672805775 37.64996660452971);POINT (4191175.110800002 7524383.379800007)
18;78;Комплекс фото-видеофиксации нарушений ПДД;Мира проспект, д.73;Мира проспект, д.73;37.63563889;55.78877778;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.78877784045158 37.63563882429434);POINT (4189580.149600003 7516481.694300003)
19;79;Комплекс фото-видеофиксации нарушений ПДД;Мичуринский проспект д.80;Мичуринский проспект д.80;37.45601667;55.67258333;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.67258339881552 37.45601659949337);POINT (4169584.695000004 7493510.473700002)
20;80;Комплекс фото-видеофиксации нарушений ПДД;Мичуринский проспект, напротив д.8к2 по ул.Раменки;Мичуринский проспект, напротив д.8к2 по ул.Раменки;37.49013333;55.69276667;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.692766732172245 37.49013326471465);POINT (4173382.544800002 7497495.743000008)
21;81;Комплекс фото-видеофиксации нарушений ПДД;Пятницкое шоссе д.20;Пятницкое шоссе д.20;37.37951667;55.84416667;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.844166721623445 37.37951660888691);POINT (4161068.7550000027 7527455.996900007)
22;82;Комплекс фото-видеофиксации нарушений ПДД;Пятницкое шоссе д.20;Пятницкое шоссе д.20;37.37653333;55.84601667;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.846016721609125 37.3765332759806);POINT (4160736.6519000046 7527822.810600005)
23;83;Комплекс фото-видеофиксации нарушений ПДД;Свободы ул., д.79;Свободы ул., д.79;37.44858333;55.86241667;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.862416722052856 37.44858327497756);POINT (4168757.2211000025 7531075.328200005)
24;84;Комплекс фото-видеофиксации нарушений ПДД;Свободы ул., д.79;Свободы ул., д.79;37.44858333;55.86241667;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.862416722052856 37.44858327497756);POINT (4168757.2211000025 7531075.328200005)
25;85;Комплекс фото-видеофиксации нарушений ПДД;Севастопольский проспект д.51к1;Севастопольский проспект д.51к1;37.5835;55.66791667;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.66791673467982 37.58349992877263);POINT (4183776.0743000023 7492589.317300007)
26;86;Комплекс фото-видеофиксации нарушений ПДД;Остравитянова пр-т., д.53;Остравитянова пр-т., д.53;37.54218333;55.63565;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.635650068701366 37.54218326115924);POINT (4179176.723900005 7486223.1792000085)
27;87;Комплекс фото-видеофиксации нарушений ПДД;Ярославское шоссе д.28;Ярославское шоссе д.28;37.69611667;55.86273333;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.862733392820765 37.69611660452874);POINT (4196312.505300004 7531138.145200007)
28;88;Комплекс фото-видеофиксации нарушений ПДД;Ярославское шоссе д.51;Ярославское шоссе д.51;37.68876667;55.8594;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.85940005970533 37.688766605043725);POINT (4195494.307100002 7530476.947900005)
29;89;Комплекс фото-видеофиксации нарушений ПДД;Щелковское шоссе, д.52 корп.1;Щелковское шоссе, д.52 корп.1;37.79538333;55.80993333;;;;;;В область;IP VPN / 4 Мбит;;;POINT (55.809933396851584 37.79538326593057);POINT (4207362.819500003 7520671.440800004)
30;90;Комплекс фото-видеофиксации нарушений ПДД;Щелковское шоссе, д.75/2 на расстоянии 100 м до Уральской ул.;Щелковское шоссе, д.75/2 на расстоянии 100 м до Уральской ул.;37.80026667;55.81035;;;;;;В центр;IP VPN / 4 Мбит;;;POINT (55.81035006401653 37.800266600341516);POINT (4207906.429800004 7520753.982400008)
31;91;Комплекс фото-видеофиксации нарушений ПДД;Щелковское шоссе, д.82, между 13-й Парковой ул. и 15-й Парковой ул.;Щелковское шоссе, д.82, между 13-й Парковой ул. и 15-й Парковой ул.;37.81581667;55.81091667;;;;;;В область;IP VPN / 4 Мбит;;;POINT (55.81091673189583 37.81581659960637);POINT (4209637.447800003 7520866.240500003)
32;92;Комплекс фото-видеофиксации нарушений ПДД;Андропова - проектируемый проезд 3888;Андропова - проектируемый проезд 3888;37.6488;55.65533333;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.655333402582855 37.648799927435924);POINT (4191045.2369000018 7490106.031100005)
33;93;Комплекс фото-видеофиксации нарушений ПДД;Андропова - проектируемый проезд 3888;Андропова - проектируемый проезд 3888;37.6488;55.65533333;;;;;;В область;IP VPN / 4 Мбит;;;POINT (55.655333402582855 37.648799927435924);POINT (4191045.2369000018 7490106.031100005)
34;94;Комплекс фото-видеофиксации нарушений ПДД;Щелковское шоссе, между 15 Парковой ул. и Чусовской ул.;Щелковское шоссе, между 15 Парковой ул. и Чусовской ул.;37.81263333;55.8108;;;;;;В центр;IP VPN / 4 Мбит;;;POINT (55.81080006495613 37.812633266683505);POINT (4209283.080800004 7520843.128400005)
