0_ID;1_Полное наименование;1_Краткое наименование;1_Номер;1_Тип учреждения;1_Вид учреждения;0_INN;0_OGRN;0_KPP;0_Учредитель;0_Тип собственности;1_Организационно-правовая форма;1_Подчинение;0_Директор;1_Юридический адрес;1_Телефон;1_Адрес электронной почты;1_Сайт учреждения
134;" Государственное бюджетное образовательное учреждение города Москвы гимназия № 1505 ""Московская городская педагогическая гимназия-лаборатория"""; ГБОУ Гимназия № 1505; 1505; Общеобразовательное учреждение; Гимназия; 7718084659; 007022179; 771801001; Департамент образования города Москвы; Государственное; Бюджетное; Восточное окружное управление образования; Наумов Леонид Анатольевич; 107061, г. Москва, улица 2-я Пугачевская, дом 6А;(495) 963-76-77; gym1505@mail.ru;" gym1505.ru; gymg1505.mskobr.ru"
403;" Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов № 1690 ""Преображенская школа"""; ГБОУ Преображенская школа №1690; 1690; Общеобразовательное учреждение; Средняя общеобразовательная школа с углубленным изучением отдельных предметов; 7718095724; 77№012387121; 771801001; Департамент образования города Москвы; Государственное; Бюджетное; Восточное окружное управление образования; Клюхина Александра Игоревна; 107061, г. Москва, 2-я Пугачевская улица, дом 10;(499) 161-13-40; preobrazh-1690@yandex.ru; sch1690.mskobr.ru
440; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 12; ГБОУ СОШ № 12; 12; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7729403843; 002.067.850; 772901001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Иванова Светлана Павловна; 119136 г.Москва, 2-й Сетуньский проезд, д. 9;(499) 795-51-94;" school12ramenki@list.ru; sch12.ivanova@gmail.com"; sch12.mskzapad.ru
442; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 14; ГБОУ СОШ № 14; 14; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7729423688; 012105914; 772901001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Сёмина Александра Владимировна; 119602, г. Москва, ул. Академика Анохина, д. 32;(495) 437-81-29; sch14@list.ru;" sch14.mskzapad.ru; shkola14zao.ru"
444; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 37; ГБОУ СОШ № 37; 37; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7729410230; 002.042.324; 772901001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Адрова Ирина Анатольевна; 119192, г. Москва, ул. Столетова, д. 3;(499) 739-35-28;" sch37@list.ru; sch-sad37@mail.ru"; sch37.mskzapad.ru
445; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 38; ГБОУ СОШ № 38; 38; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7729415983; 4719-2; 772901001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Поповцева Людмила Юрьевна; 119192 г.Москва, Мичуринский проспект, д. 42;(495) 931-54-00; sch_38@inbox.ru; sch38.mskzapad.ru
446; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 41; ГБОУ СОШ № 41; 41; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7732111054; серия 77 ОП № 012070084; 772901001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Шемягина Александра Петровна; 119027 г.Москва, ул Большая Внуковская, д. 4;(495) 736-11-10;" shk4155@yandex.ru; dou906@mail.ru; dou1357@mail.ru; doy2569@mail.ru";" sch41.mskzapad.ru; dskv906.mskzapad.ru; dsovp1357.mskzapad.ru; ds2569.mskzapad.ru"
449; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 56 имени академика В.А. Легасова; ГБОУ СОШ № 56 имени академика В.А. Легасова; 56; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7730029051; 1037739281513; 773001001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Кондратенко Вера Даниловна; 121151 г.Москва, Кутузовский проспект, д. 22 А;(499) 243-63-10; sch56@inbox.ru;" sch56.mskzapad.ru; schools.keldysh.ru/sch56/"
452; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 61; ГБОУ СОШ № 61; 61; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731172865; АА 151742; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Вакурова Ольга Федоровна; 121471 г. Москва, ул. Рябиновая, д.8, корп.2;(495) 443-32-14; sch61@bk.ru; sch61.mskzapad.ru/
453; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 63; ГБОУ СОШ № 63; 63; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731062894; 1027700163260; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Скрыпник Сергей Павлович; 121609 г. Москва, ул. Крылатские холмы, д.23;(495) 413-06-15; sch63s@yandex.ru; sch63.mskzapad.ru
455; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 65; ГБОУ СОШ № 65; 65; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731172738; 002.062.753; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Воронова Елена Анатольевна; 121354,г.Москва, ул.Кутузова, д.20;(495) 447-12-57; school65.05@mail.ru; sch65.mskzapad.ru
456; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 71; ГБОУ СОШ № 71; 71; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731173241; 1027739823363; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Митин Михаил Иванович; 121433 г.Москва, ул. Б.Филевская, д. 39, корп. 1;(499) 144-48-07; shkola71@mail.ru; 71.school.ru/
457; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 72; ГБОУ СОШ № 72; 72; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7730027368; 5446-2; 773001001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Зыкова Татьяна Георгиевна; 121309 г.Москва, ул. Б.Филевская, д.15;(499) 145-16-48; school72@gmail.com; sch72.mskzapad.ru
458; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 73; ГБОУ СОШ № 73; 73; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731173989; 002.063.962; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Евсикова Наталья Ленидовна; 121108 г.Москва, ул. Кастанаевская, д.43;(499) 144-07-79; school_n73@mail.ru; sch73.mskzapad.ru
459; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 74; ГБОУ СОШ № 74; 74; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7729423286; 002.089.756; 772901001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Гусева Ольга Дмитриевна; 119285 г.Москва, ул.Пырьева,д.11;(499) 143-09-95; sch74@rambler.ru; sch74.mskzapad.ru
460; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 75; ГБОУ СОШ № 75; 75; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7730028795; 002.035.776; 773001001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Голощапова Юлия Николаевна; 121170 г.Москва, ул. Поклонная, д. 10, корпус 2;(099) 148-95-53; school75@inbox.ru; sch75.mskzapad.ru
462; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 79; ГБОУ СОШ № 79; 79; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731174855; 1027739816708; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Тищенко Константин Александрович; 121357 г.Москва, ул. Артамонова, д. 2;(499) 445-47-35; sch_79@bk.ru; sch79.mskzapad.ru
463; Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 81; ГБОУ СОШ № 81; 81; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731016746; 1027700472436; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Чукашева Вера Владимировна; 121552 г. Москва, ул. Оршанская, д. 10, корп. 2;(499) 141-24-05; sch81@inbox.ru;" sch81.mskzapad.ru; sch81.ru"
465; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 98; ГБОУ СОШ № 98; 98; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731174245; 002.063.108; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Шабалина Людмила Николаевна; 121433 г. Москва, ул. Малая Филевcкая, д. 26, к. 2;(499) 144-26-65; sch98zao@mail.ru; sch98.mskzapad.ru
466; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 99; ГБОУ СОШ № 99; 99; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731173450; 011752479; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Бодер Дмитрий Израильевич; 121352, г.Москва, ул. Давыдковская, д. 14, корпус 1;(499) 449-09-10; sch99@bk.ru; sch99.mskzapad.ru
473; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 261; ГБОУ СОШ № 261; 261; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731172960; 1027700558808; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Карпов Павел Владимирович; 121108 г.Москва, ул. Кастанаевская, д. 29, корпус 1;(499) 144-59-42;" sch261@sch261.edu.ru; sch261@sch261.ru"; sch261.ru
474; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 262; ГБОУ СОШ; 262; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7731173040; 77 №000690234; 773101001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Локалов Виктор Николаевич; 121108 Москва, ул. Кастанаевская, д. 45;(499) 144-54-49; school262admin@mail.ru; http//:sch262.zao.mskobr.ru
475; Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 323; ГБОУ СОШ № 323; 323; Общеобразовательное учреждение; Средняя общеобразовательная школа; 7729422035; 77-АН 671003; 772901001; Департамент образования города Москвы; Государственное; Бюджетное; Западное окружное управление образования; Звягин Александр Сергеевич; 119415 г.Москва, проспект Вернадского, д. 57;(499) 431-19-82; school323@inbox.ru; sch323.mskzapad.ru
