0_OBJECTID;0_UID;1_Наименование_организации;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Телефон;0_Гарантированный_перечень_услуг_по_погребению_на_безвозмездной_основе;0_MODDATE;0_MODUSER;0_SHAPE_WGS_84;0_SHAPE_WGS_84___Pseudo_Mercator
1;14.0;ОАО «ВМК-1»;ОАО «ВМК-1»;107123 Москва Мажоров пер., 14;37.712013999999996;55.784152;;;;;;785-24-20 (телефон и факс);http://dtu.mos.ru/deyatelnost/ritual1/garantirovannyy_perechen_uslug_po_pogrebeniyu_na_bezvozmezdnoy_osnove.php;;;POINT (4198082.187800005 7515565.886800006);POINT (4198082.187800005 7515565.886800006)
2;15.0;ОАО «Генезис-Сервис»;ОАО «Генезис-Сервис»;109432 Москва, Ленинский просп., 27 к. 8;37.593281999999995;55.71458;;;;;;952-05-90, 952-04-27 (факс);http://dtu.mos.ru/deyatelnost/ritual1/garantirovannyy_perechen_uslug_po_pogrebeniyu_na_bezvozmezdnoy_osnove.php;;;POINT (4184865.0018000044 7501805.175600007);POINT (4184865.0018000044 7501805.175600007)
3;16.0;ОАО «Фирма «Кедр»;ОАО «Фирма «Кедр»;125047 Москва ул. Фадеева, 5;37.598051999999996;55.774710999999996;;;;;;(499) 973-47-06;http://dtu.mos.ru/deyatelnost/ritual1/garantirovannyy_perechen_uslug_po_pogrebeniyu_na_bezvozmezdnoy_osnove.php;;;POINT (4185395.9961000048 7513697.102400005);POINT (4185395.9961000048 7513697.102400005)
4;17.0;ОАО «Санта и Ро»;ОАО «Санта и Ро»;141254, ул. Вешних вод, д. 16;37.702939;55.863473;;;;;;(499) 182-56-56;http://dtu.mos.ru/deyatelnost/ritual1/garantirovannyy_perechen_uslug_po_pogrebeniyu_na_bezvozmezdnoy_osnove.php;;;POINT (4197071.963900004 7531284.872700006);POINT (4197071.963900004 7531284.872700006)
5;18.0;НО ФВРТ;НО ФВРТ;129090 Москва просп. Мира, 14;37.632600000000004;55.774815999999994;;;;;;607-68-30, 607-64-50;http://dtu.mos.ru/deyatelnost/ritual1/garantirovannyy_perechen_uslug_po_pogrebeniyu_na_bezvozmezdnoy_osnove.php;;;POINT (4189241.8620000035 7513717.884000003);POINT (4189241.8620000035 7513717.884000003)
6;19.0;ОАО «Ритуал-Юго-Запад»;ОАО «Ритуал-Юго-Запад»;117593 Москва Новоясеневский просп., 25/20;37.555375;55.602456;;;;;;973-93-00, 425-51-11ф;http://dtu.mos.ru/deyatelnost/ritual1/garantirovannyy_perechen_uslug_po_pogrebeniyu_na_bezvozmezdnoy_osnove.php;;;POINT (4180645.2134000026 7479679.549600005);POINT (4180645.2134000026 7479679.549600005)
7;20.0;ОАО «Последний обряд»;ОАО «Последний обряд»;123098 Москва Гамалеи, 17а;37.456216999999995;55.799219;;;;;;(499) 196-83-82;http://dtu.mos.ru/deyatelnost/ritual1/garantirovannyy_perechen_uslug_po_pogrebeniyu_na_bezvozmezdnoy_osnove.php;;;POINT (4169606.996600002 7518549.238200009);POINT (4169606.996600002 7518549.238200009)
8;21.0;ОАО «Эдем-С»;ОАО «Эдем-С»;105275 Москва просп. Буденного, д. 51-а;37.738092;55.760054999999994;;;;;;673-47-44;http://dtu.mos.ru/deyatelnost/ritual1/garantirovannyy_perechen_uslug_po_pogrebeniyu_na_bezvozmezdnoy_osnove.php;;;POINT (4200985.177300002 7510796.940400004);POINT (4200985.177300002 7510796.940400004)
9;22.0;Щербинский филиал ООО «РСУ»;Щербинский филиал ООО «РСУ»;г. Щербинка, ул. Первомайская, д. 10;37.571252;55.504909;;;;;;(496) 763-76-00;http://dtu.mos.ru/deyatelnost/ritual1/garantirovannyy_perechen_uslug_po_pogrebeniyu_na_bezvozmezdnoy_osnove.php;;;POINT (4182412.6323000044 7460481.814200006);POINT (4182412.6323000044 7460481.814200006)
10;1.0;ГУП «Ритуал»;ГУП «Ритуал»;Москва, ул. Песчаная, д. 3, стр. 10;37.516466;55.802870999999996;;;;;;(499) 157-43-83;http://dtu.mos.ru/deyatelnost/ritual1/garantirovannyy_perechen_uslug_po_pogrebeniyu_na_bezvozmezdnoy_osnove.php;;;POINT (4176313.8846000023 7519272.529000007);POINT (4176313.8846000023 7519272.529000007)
