0_uidnftn;1_Наименование;0_label;1_Трасса маршрута;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;0_moddate;0_moduser;1_Сторона фиксации;1_Административный округ;0_shape_leng
38;Маршрут №14 по ЦАО;Маршрут №14 по ЦАО;ул. Большая Ордынка - ул. Люсиновская - ул. Павла Андреева - ул. Большая Серпуховская - ул. Пятницкая - Лубочный пр-д;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,057024723
39;Маршрут №15 по ЦАО;Маршрут №15 по ЦАО;Болотная ул. - ул. Серафимовича - Софийская наб. - Болотная ул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,028628002
40;Маршрут №16 по ЦАО;Маршрут №16 по ЦАО;ул. Кожевническая - ул. Летниковская - Жуков пр-д - ул. Дубининская;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,029293982
41;Маршрут №17 по ЦАО;Маршрут №17 по ЦАО; ул. Большая Полянка -ул. Житная - ул. Большая Якиманка;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,035282862
42;Маршрут №18 по ЦАО;Маршрут №18 по ЦАО;ул. Делегатская - 2-й Волконский пер. - ул. Самотечная - ул. Садовая-Самотечная;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,018066123
43;Маршрут №20 по ЦАО;Маршрут №20 по ЦАО;ул. Композиторская;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,006625627
44;Маршрут №21 по ЦАО;Маршрут №21 по ЦАО;ул. Казакова - Малый Демидовский пер. - Гороховский пер. - Токмаков пер.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,017089542
45;Маршрут №22 по ЦАО;Маршрут №22 по ЦАО;2-й Красногвардейский пр-д - ул. Тестовская - ул. Антонова-Овсиенко - 1-й Красногвардейский пр-д;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,018062507
46;Маршрут №23 по ЦАО;Маршрут №23 по ЦАО;2-й Красногвардейский пр-д - ул. Тестовская;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,010524769
47;Маршрут №10Б по ЦАО;Маршрут №10Б по ЦАО;Тверской бульвар - Петровский переулок - Странстной бульвар;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЦАО;0,04174641
48;Маршрут №24 по ЦАО;Маршрут №24 по ЦАО;Комсомольская пл. - ул. Краснопрудная - разворот под ТТК - ул. Краснопрудная - Комсомольская пл.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,045458242
49;Маршрут №25 по ЦАО;Маршрут №25 по ЦАО;Рязанский пр. - Южный пр. - Каланчевская ул. - Комсомольская пл.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,006734025
50;Маршрут №29 по ЦАО;Маршрут №29 по ЦАО;Пушкарев пер. д.15 по ул. Сретенка, вдоль д.21/24  д.22  д.20  д.18  д.16  д.12  д.10  д.8  д.6  д.4  Большой Сергиевский переулок, напротив д.12  вдоль д.5  д.7  д.9  д.11  д.16 по ул.Пушкарева  д.15  д.17  д.19  напротив д.24  д.11 по улице Сретенка.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,014883868
51;Маршрут №30 по ЦАО;Маршрут №30 по ЦАО;Потаповский пер. - Сверчков пер. - Армянский пер. - Кривоколенный пер. - Потаповский пер.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,015814824
52;Маршрут №31 по ЦАО;Маршрут №31 по ЦАО;Потаповский пер. - ул. Покровка - Чистопрудный бул. - ул. Мясницкая - Банковский пер. - Кривоколенный пер. - Потаповский пер.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,024907481
