0_ID;1_Дата формирования статистики;1_Общее количество зафиксированных нарушений;1_Общее количество нарушений по скорости;1_Общее количество нарушений по полосе общественного транспорта;1_Общее количество нарушений по пропускам ТТК;1_Общее количество нарушений по парковке;1_Общее количество оформленных нарушений;1_Общее количество оформленных нарушений по скорости;1_Общее количество оформленных нарушений по полосе общественного транспорта;1_Общее количество оформленных нарушений по пропускам ТТК;1_Общее количество оформленных нарушений по парковке
2;2013-01-02T00:00:00.000+03:00;14693;12822;0;0;1463;5204;4848;0;0;356
8;2013-01-08T00:00:00.000+03:00;5686;3812;1;0;1433;2492;2412;0;0;80
14;2013-01-14T00:00:00.000+03:00;24502;1890;14297;0;7603;2537;1334;0;0;1203
20;2013-01-20T00:00:00.000+03:00;5374;2953;0;0;1789;2440;2105;0;0;335
26;2013-01-26T00:00:00.000+03:00;7371;3671;0;0;2786;3007;2502;0;0;195
38;2013-02-07T00:00:00.000+03:00;56497;10701;35365;0;7294;11491;9428;1578;0;485
39;2013-02-08T00:00:00.000+03:00;49359;6927;33320;0;6523;9778;4444;3464;0;1870
40;2013-02-09T00:00:00.000+03:00;18083;13394;0;0;2890;3118;145;0;0;823
51;2013-02-20T00:00:00.000+03:00;64929;13094;39693;0;9036;17558;7403;7435;0;2720
52;2013-02-21T00:00:00.000+03:00;58316;13468;33854;0;8274;15729;7983;3972;0;3774
53;2013-02-22T00:00:00.000+03:00;60519;12952;38483;0;6765;14157;8826;2685;0;2646
61;2013-03-02T00:00:00.000+03:00;14539;6875;0;0;2769;5077;4215;0;0;862
62;2013-03-03T00:00:00.000+03:00;22505;14313;0;0;4530;5826;4745;0;0;1081
65;2013-03-06T00:00:00.000+03:00;62471;7567;33998;0;7554;7381;3994;2914;0;2474
67;2013-03-08T00:00:00.000+03:00;32563;22080;0;0;3468;14606;11878;0;0;727
68;2013-03-09T00:00:00.000+03:00;35950;25950;0;0;4675;16035;15177;0;0;858
71;2013-03-12T00:00:00.000+03:00;65408;15816;40389;0;9203;16152;11178;1759;0;3215
73;2013-03-14T00:00:00.000+03:00;42625;4412;31078;0;7142;4893;2050;345;0;2498
74;2013-03-15T00:00:00.000+03:00;23557;1597;15716;0;6244;2459;518;67;0;1874
