1_Номер маршрута;1_Наименование маршрута;1_Трасса следования ТС;1_Количество ТС;1_ Интервальность движения (минимум);1_Интервальность движения (максимум);1_Протяженность;1_Тип ТС;1_Режим работы (рабочие/выходные, начало);1_Режим работы (рабочие/выходные, окончание);1_Наименовние перевозчика;0_Координаты Х;0_Координаты Y
638м;"ст.м.""""Щукинская"""" - ул.4-я Мякининская";"ст.м.""""Щукинская"""" - Новощукинская улица - Строгинское шоссе - Маршала Катукова улица - Таллиннская улица - Строгинский бульвар - ст.м.""""Строгино"""" - Кулакова улица - Мякининский проезд - 4-я Мякининская улица";7;5;15;14;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа Автолайн""""";;
639м;"НАМИ - ст.м.""""Водный стадион""""";"НАМИ - 2-й Лихачевский переулок - Онежская улица - Кронштадтский бульвар - ст.м.""""Водный стадион""""";6;5;10;9,6;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа Автолайн""""";;
640м;"Ст.м.""""Марьино"""" - Новочеркасский бульвар";"Ст.м.""""Марьино"""" (напротив """"Марьинского ТЦ"""" - Новочеркасский бульвар, д.57, к.1) - Люблинская улица - Перерва улица - Донецкая улица - Новочеркасский бульвар - ст.м.""""Марьино"""" (напротив """"Марьинского ТЦ"""" - Новочеркасский бульвар, д.57, к.1)";4;3;7;5,6;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ООО """"СПЕЙССТАЙЛ""""";;
641м;"Ст.м.""""Текстильщики"""" - ул.Маршала Голованова";"Ст.м.""""Текстильщики"""" - Люблинская ул. - маг.""""Москвич"""" - Нижние Поля ул. - МРЭО - Оптовый рынок - Перерва ул. - Маршала Голованова ул. (Батайский проезд, д.№33)";11;4;11;17;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа Автолайн""""";;
642м;"ст.м.""""Юго-Западная"""" - Соловьиный проезд";"ст.м.""""Юго-Западная"""" - Вернадского проспект - Ленинский проспект - МКАД - Карамзина проезд - Голубинская улица - Ясногорская улица (обратно: Тарусская улица) - ст.м.""""Ясенево"""" - Новоясеневский проспект - Литовский бульвар - Рокотова улица - Соловьиный проезд";8;10;15;33;М2 класс В;6.30 / 6.30;21.00 / 21.00;"ОАО """"Группа Автолайн""""";;
643м;"ст.м.""""Сходненская"""" - ул.В.Петушкова";"ст.м.""""Сходненская"""" - Яна Райниса бульвар - Светлогорский проезд - Фабричный проезд - В.Петушкова улица - Трикотажный проезд";5;5;12;9,6;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа Автолайн""""";;
644м;Шипиловский пр.,63 - ул.Тамбовская;Шипиловский пр.,63 - Шипиловский проезд - Шипиловская улица - Задонский проезд - Ореховый бульвар - Ясеневая улица - Тамбовская улица;4;10;20;19;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ООО """"СПЕЙССТАЙЛ""""";;
645м;"ст.м.""""Первомайская"""" - ст.м.""""Новогиреево""""";"Ст.м.""""Первомайская"""" - Парковая 9-я улица - Измайловский бульвар - Парковая 15-я улица - Купавенский Большой проезд - Свободный проспект - ст.м.""""Новогиреево""""";8;5;10;13,8;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа Автолайн""""";;
646м;платф.Перово - платф.Перово;"платф.Перово - Кусковская улица - Плеханова улица - Перовская улица - Владимирская 2-я улица - ст.м.""""Перово"""" - Зелёный проспект - Плеханова улица - Кусковская улица - платф.Перово (кольцевой)";4;5;10;6,5;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ООО """"СПЕЙССТАЙЛ""""";;
647м;"ст.м.""""Теплый Стан"""" - проезд Одоевского";"ст.м.""""Теплый Стан"""" - Новоясеневский проспект - Голубинская улица - Одоевского проезд";3;5;10;6;М2 класс В;7.30 / 7.30;21.00 / 21.00;"ОАО """"Группа Автолайн""""";;
648м;"Ст.м.""""Братиславская"""" - 12-й мкрн. Марьинского парка";"Ст.м.""""Братиславская""""  - Перерва ул. -Верхние Поля ул. - 12 мкрн.Марьинского парка (обратно: Марьинский парк ул. - Белореченская ул. - Перерва ул. - Ст.м.""""Братиславская"""")";8;3;20;5,5;М2 класс В;7.00 / 8.00;21.00 /     22.00;"ООО """"СПЕЙССТАЙЛ""""";;
649м;"ст.м.""""Марьино"""" - ул.Марьинский парк, 43";"ст.м.""""Марьино"""" - Люблинская улица - проезд вдоль Люблинской улицы - Перерва улица - Перервинский бульвар - Марьинский Парк улица - Маршала Баграмяна улица - Маршала Кожедуба улица - ул.Марьинский парк,43";8;5;10;13,6;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ООО """"СПЕЙССТАЙЛ""""";;
650м;"Ст.м.""""Текстильщики"""" -Ст.м.""""Марьино""""";"Ст.м.""""Текстильщики"""" - Люблинская ул. - Нижние Поля ул. - Донецкая ул. - Новочеркасский бульвар - Ст.м.""""Марьино""""";12;4;15;22;М2 класс В;7.00 / 7.00;22.00 / 21.00;"ОАО """"Группа Автолайн""""";;
653м;"ст.м.""""Фили"""" - Филевский бульвар";"ст.м.""""Фили"""" - Новозаводская улица - Береговой проезд - пр.проезд №153 - Филевский бульвар";5;4;10;7,6;М2 класс В;7.00 / 7.00;23.00 / 23.00;"ОАО """"Группа Автолайн""""";;
655м;"Бусиново - ст.м.""""П.-Разумовская""""";"Бусиново - Бусиновская Горка улица - Краснополянская улица - Марш.Федоренко улица - Ижорская улица - Коровинское шоссе - Дмитровское шоссе - Линии Октябрьской железной дороги улица - ст.м.""""П.-Разумовская""""";10;5;15;20,2;М2 класс В;6.30 / 7.00;22.00 / 22.00;"ОАО """"Группа Автолайн""""";;
657м;"ст.м.""""Марьино"""" - ст.м.""""Марьино""""";"ст.м.""""Марьино"""" - Новомарьинская улица - Луговой проезд - Поречная улица - Перервинский бульвар - Новомарьинская улица - Братиславская улица - Перерва улица - ст.м.""""Братиславская"""" - Перерва улица - Подольская улица - Донецкая улица - Батайский проезд - проезд вдоль Люблинской улицы (обратно: разворот через Новочеркасский бульвар) - ст.м.""""Марьино""""";18;4;10;26,4;М2 класс В;6.30 / 6.30;23.00 / 23.00;"ОАО """"Группа Автолайн""""";;
658м;"ст.м.""""Войковская"""" - ул.Базовская";"ст.м.""""Войковская"""" - Старопетровский проезд - Коптевская улица - Коптевский бульвар - Бол.Академическая улица - Линии Октябрьской ж/д улица - ст.м.""""П.-Разумовская"""" - Дмитровское шоссе - Бескудниковский бульвар - 800-летия Москвы улица - Коровинское шоссе - Базовская улица";16;5;12;30,3;М2 класс В;6.00 / 6.00;22.00 / 22.00;"ООО """"Тариконс""""";;
660м;"ст.м.""""Молодежная"""" - Кардиологический центр";"Прямой маршрут: ст.м.""""Молодежная"""" - Ельнинская улица - Молодогвардейская улица - МКАД - 3-я Черепковская улица - Кардиологический центр Обратный маршрут: Кардиологический центр - 3-я Черепковская улица - Рублевское шоссе - Маршала Тимошенко улица - Академика Павлова улица - Оршанская улица - ст.м.""""Молодежная""""";4;7;12;14,2;М2 класс В;6.00 / 6.00;23.00 / 23.00;"ООО """"ТрансАвто""""";;
661м;"ст.м.""""Петровско-Разумовская"""" - ст.м.""""Войковская""""";"Ст.м.""""Петровско-Разумовская"""" - ул.Линии Октябрьской ж.д. - Большая Академическая улица - Космонавта Волкова улица - Ленинградское шоссе - ст.м.""""Войковская""""";6;7;15;16,1;М2 класс В;6.00 / 6.00;21.00 / 21.00;"ООО """"Тариконс""""";;
