1_Протокол;1_Статья;1_Категория нарушения;1_Адреса проверок;1_Административный округ;1_Район;1_Наименование нарушителя;1_ИНН;1_Предписание;1_Устранить до
9095177/4к от 08.11.12, 9095177/4к1 от 08.11.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Скаковая ул., д.19, стр.1;Северный;Беговой;"Общество с ограниченной ответственностью ""РАМКИН И ПАРТНЕРЫ""";7707673821;9095177/4к от 08.11.12;08.дек
9095153/8к от 15.10.12, 9095153/8к1 от 15.10.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Усиевича, д.12;Северный;Аэропорт;"Общество с ограниченной ответственностью ""Галерея-АЛЕКС""";7704520601;9095153/8к от 15.10.12, 9095153/8к1 от 15.10.12;15.ноя
9095525/9к от 06.12.12, 9095525/9к1 от 06.12.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Усиевича, д.12;Северный;Аэропорт;"Общество с ограниченной ответственностью ""Галерея-АЛЕКС""";7704520601;9095525/9к от 06.12.12;15.янв
9095480/к от 22.11.12, 9095480/к1 от 22.11.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Ленинградский просп., вл.72, стр.4;Северный;Аэропорт;"Общество с ограниченной ответственностью ""Сокол Эстейт""";7743753529;9095480/к от 22.11.12;21.дек
9031480 от 19.10.12, 9031480/1 от 19.10.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Открытое ш., вл.14Д;Восточный;Богородское;"Открытое акционерное общество ""СПЕЦТРАНС""";5000001331;9031480 от 19.10.12, 9031480/1 от 19.10.12;18.дек
9031536 от 19.10.12, 9031536/1 от 19.10.12;Ст.6.12;правонарушения в области землепользования;г. Москва, пер. Фигурный, вл.1;Восточный;Преображенское;"Закрытое акционерное общество ""ПРОМЕТЕЙ""";7709133483;9031536 от 19.10.12, 9031536/1 от 19.10.12;19.дек
9004323/1 от 16.10.12, 9004323/3 от 16.10.12;Ст.9.6 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Вавилова, д.57, г. Москва, ул. Вавилова, д.57, стр.1;Юго-Западный;Академический;"Государственное бюджетное учреждение культуры города Москвы ""Государственный Дарвиновский музей""";7704012037;9004323/1 от 16.10.12;17.дек
9095138/1 от 17.10.12, 9095138/2 от 17.10.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Бескудниковский бульв., вл.34, корп.1, стр.3;Северный;Бескудниковский;"Общество с ограниченной ответственностью ""ИВА-92""";7713008598;9095138 от 17.10.12;17.дек
9095412 от 24.10.12, 9095412/2 от 24.10.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, Дубнинская ул., вл.52;Северный;Восточное Дегунино;"Закрытое акционерное общество ""Научное Объединение Разработчиков Аэрокосмических Комплексов и Систем""";7714840713;9095412 от 24.10.12;06.дек
9021932 от 29.10.12, 9021932/2 от 29.10.12;Ст.6.9 п.2;правонарушения в области землепользования;г. Москва, пр. Огородный, вл.2А;Северо-Восточный;Бутырский;"Общество с ограниченной ответственностью ""ДЕРАС""";7715503118;9021932 от 29.10.12, 9021932/2 от 29.10.12;03.дек
